term1,term2,wikipedia_id,entity_id_y,is_cause,is_treat,relation
sugar,diabetes,Sugar,DOID:9351,11,0,cause
sugar,dyslipidemia,Sugar,DOID:3146,3,0,cause
sugar,nonalcoholic fatty liver disease,Sugar,DOID:0080208,3,0,cause
tea,acne,Tea,DOID:6543,9,0,cause
triticum aestivum,Celiac disease,Common wheat,DOID:10608,5,0,cause
turkey,Gastric cancer,Meleagris_gallopavo,DOID:10534,7,0,cause
turkey,Hypertension,Meleagris_gallopavo,DOID:10763,7,0,cause
vanilla,telangiectasia,Vanilla,DOID:1272,3,0,cause
wasabi,hypersensitivity,Wasabi,DOID:1205,10,0,cause
water,campylobacteriosis,Water,DOID:13622,5,0,cause
water,gastroenteritis,Water,DOID:2326,2,0,cause
water,lymphadenitis,Water,DOID:1602,2,0,cause
water,nephrosis,Water,DOID:2527,2,0,cause
water,tuberculosis,Water,DOID:399,3,0,cause
wheat,Celiac Disease,Wheat,DOID:10608,6,0,cause
wheat,Celiac disease,Wheat,DOID:10608,60,0,cause
wheat,Coeliac disease,Wheat,DOID:10608,6,0,cause
wheat,asthma,Wheat,DOID:2841,2,0,cause
wheat,autoimmune disease,Wheat,DOID:417,2,0,cause
wheat,autoimmune disorder,Wheat,DOID:417,26,0,cause
wheat,coeliac disease,Wheat,DOID:10608,13,0,cause
wheat,dermatitis,Wheat,DOID:2723,11,0,cause
wheat,eczema,Wheat,DOID:2723,9,0,cause
wheat,irritable bowel syndrome,Wheat,DOID:9778,2,0,cause
wheat,osteoporosis,Wheat,DOID:11476,11,0,cause
