term1,term2,snomedct,nci_disease,is_cause,is_treat,relation
coffee,atherosclerosis,http://purl.bioontology.org/ontology/SNOMEDCT/901000161107,NCI:C35768,0,4,treat
coffee,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/29263009,NCI:C2985,0,3,treat
coffee,gastric cancer,http://purl.bioontology.org/ontology/SNOMEDCT/29263009,NCI:C3387,0,4,treat
coffee,gout,http://purl.bioontology.org/ontology/SNOMEDCT/29263009,NCI:C34650,0,3,treat
coffee,hyperuricemia,http://purl.bioontology.org/ontology/SNOMEDCT/29263009,NCI:C3961,0,2,treat
coffee,liver disease,http://purl.bioontology.org/ontology/SNOMEDCT/29263009,NCI:C3196,0,4,treat
coffee,obesity,http://purl.bioontology.org/ontology/SNOMEDCT/29263009,NCI:C159658,0,4,treat
coffee,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/29263009,NCI:C26747,0,2,treat
coffee consumption,cancers,http://purl.bioontology.org/ontology/SNOMEDCT/29263009,NCI:C9305,0,2,treat
coffee consumption,colon cancer,http://purl.bioontology.org/ontology/SNOMEDCT/29263009,NCI:C9242,0,2,treat
coriander,neurodegenerative diseases,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,NCI:C27090,0,8,treat
corn,celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/412357001,NCI:C26714,0,2,treat
corn,celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/67324005,NCI:C26714,0,2,treat
corn,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/412357001,NCI:C3117,0,8,treat
cream,peptic ulcer disease,http://purl.bioontology.org/ontology/SNOMEDCT/255621006,NCI:C3318,0,3,treat
dried peas,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/260184002,NCI:C26747,0,4,treat
eating yogurt,lactose intolerance,http://purl.bioontology.org/ontology/SNOMEDCT/102264005,NCI:C3154,0,4,treat
eating yogurt,lactose intolerance,http://purl.bioontology.org/ontology/SNOMEDCT/226863004,NCI:C3154,0,4,treat
egg yolk,chronic kidney disease,http://purl.bioontology.org/ontology/SNOMEDCT/256442007,NCI:C9438,0,3,treat
eggs,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/102262009***http://purl.bioontology.org/ontology/SNOMEDCT/443931000124105,NCI:C2985,0,5,treat
eggs,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/102264005,NCI:C2985,0,5,treat
female,rectal cancer,http://purl.bioontology.org/ontology/SNOMEDCT/16313001,NCI:C9382,0,3,treat
fenugreek,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,NCI:C2985,0,5,treat
fenugreek,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,NCI:C26747,0,9,treat
flour,spina bifida,http://purl.bioontology.org/ontology/SNOMEDCT/63766005,NCI:C101214,0,6,treat
flour is,anaemia,http://purl.bioontology.org/ontology/SNOMEDCT/229944000***http://purl.bioontology.org/ontology/SNOMEDCT/63766005***http://purl.bioontology.org/ontology/SNOMEDCT/412071004,NCI:C2869,0,2,treat
fruit,Alzheimer's disease,http://purl.bioontology.org/ontology/SNOMEDCT/72511004,NCI:C2866,0,2,treat
fruit,allergic disease,http://purl.bioontology.org/ontology/SNOMEDCT/72511004,NCI:C3114,0,3,treat
fruit,allergic rhinitis,http://purl.bioontology.org/ontology/SNOMEDCT/72511004,NCI:C34987,0,2,treat
fruit,arthritis,http://purl.bioontology.org/ontology/SNOMEDCT/72511004,NCI:C2883,0,2,treat
fruit,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/72511004,NCI:C28397,0,5,treat
fruit,bladder cancer,http://purl.bioontology.org/ontology/SNOMEDCT/72511004,NCI:C2901,0,10,treat
fruit,breast cancer,http://purl.bioontology.org/ontology/SNOMEDCT/72511004,NCI:C9335,0,5,treat
fruit,cancers,http://purl.bioontology.org/ontology/SNOMEDCT/72511004,NCI:C9305,0,11,treat
fruit,colon cancer,http://purl.bioontology.org/ontology/SNOMEDCT/72511004,NCI:C9242,0,2,treat
fruit,coronary heart disease,http://purl.bioontology.org/ontology/SNOMEDCT/72511004,NCI:C50625,0,12,treat
fruit,degenerative diseases,http://purl.bioontology.org/ontology/SNOMEDCT/72511004,NCI:C27090,0,4,treat
fruit,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/72511004,NCI:C2985,0,3,treat
fruit,gastric cancer,http://purl.bioontology.org/ontology/SNOMEDCT/72511004,NCI:C3387,0,8,treat
fruit,gestational diabetes mellitus,http://purl.bioontology.org/ontology/SNOMEDCT/72511004,NCI:C34942,0,4,treat
fruit,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/72511004,NCI:C3117,0,15,treat
fruit,liver diseases,http://purl.bioontology.org/ontology/SNOMEDCT/72511004,NCI:C3196,0,2,treat
fruit,nephritis,http://purl.bioontology.org/ontology/SNOMEDCT/72511004,NCI:C26833,0,2,treat
fruit,neurodegenerative diseases,http://purl.bioontology.org/ontology/SNOMEDCT/72511004,NCI:C27090,0,3,treat
fruit,obesity,http://purl.bioontology.org/ontology/SNOMEDCT/72511004,NCI:C159658,0,5,treat
fruit,osteoporosis,http://purl.bioontology.org/ontology/SNOMEDCT/72511004,NCI:C3298,0,5,treat
fruit,renal cell cancer,http://purl.bioontology.org/ontology/SNOMEDCT/72511004,NCI:C9385,0,6,treat
fruit,renal cell carcinoma,http://purl.bioontology.org/ontology/SNOMEDCT/72511004,NCI:C9385,0,5,treat
fruit,stroke,http://purl.bioontology.org/ontology/SNOMEDCT/72511004,NCI:C2938,0,16,treat
fruit,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/72511004,NCI:C26747,0,2,treat
fruits,cancers,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,NCI:C9305,0,2,treat
"fruits,",stroke,http://purl.bioontology.org/ontology/SNOMEDCT/41834005***http://purl.bioontology.org/ontology/SNOMEDCT/411317002,NCI:C2938,0,9,treat
garlic,atherosclerosis,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,NCI:C35768,0,9,treat
garlic,breast cancer,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,NCI:C9335,0,6,treat
garlic,cancers,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,NCI:C9305,0,35,treat
garlic,colon cancer,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,NCI:C9242,0,10,treat
garlic,colorectal adenocarcinoma,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,NCI:C5105,0,3,treat
garlic,colorectal cancer,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,NCI:C4978,0,3,treat
garlic,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,NCI:C2985,0,5,treat
garlic,eclampsia,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,NCI:C87167,0,2,treat
garlic,gastric cancer,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,NCI:C3387,0,8,treat
garlic,gingivitis,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,NCI:C34636,0,3,treat
garlic,hepatoma,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,NCI:C3099,0,3,treat
garlic,hyperglycemia,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,NCI:C26797,0,2,treat
garlic,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,NCI:C3117,0,16,treat
garlic,liver cancer,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,NCI:C34803,0,18,treat
garlic,myocardial infarction,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,NCI:C27996,0,2,treat
garlic,neurodegenerative diseases,http://purl.bioontology.org/ontology/SNOMEDCT/227400003,NCI:C27090,0,8,treat
garlic,periodontal diseases,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,NCI:C63743,0,3,treat
garlic,prostate cancer,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,NCI:C7378,0,16,treat
garlic,renal hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,NCI:C3121,0,2,treat
garlic,stroke,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,NCI:C2938,0,6,treat
ginger,Alzheimer's disease,http://purl.bioontology.org/ontology/SNOMEDCT/227400003,NCI:C2866,0,6,treat
ginger,CRF,http://purl.bioontology.org/ontology/SNOMEDCT/227400003,NCI:C9438,0,3,treat
ginger,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/227400003,NCI:C28397,0,4,treat
ginger,cancers,http://purl.bioontology.org/ontology/SNOMEDCT/227400003,NCI:C9305,0,18,treat
ginger,chronic kidney diseases,http://purl.bioontology.org/ontology/SNOMEDCT/227400003,NCI:C9438,0,3,treat
ginger,colon cancer,http://purl.bioontology.org/ontology/SNOMEDCT/227400003,NCI:C9242,0,2,treat
ginger,colorectal cancer,http://purl.bioontology.org/ontology/SNOMEDCT/227400003,NCI:C4978,0,9,treat
ginger,constipation,http://purl.bioontology.org/ontology/SNOMEDCT/227400003,NCI:C37930,0,7,treat
ginger,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/227400003,NCI:C2985,0,23,treat
ginger,diabetes mellitus,http://purl.bioontology.org/ontology/SNOMEDCT/227400003,NCI:C2985,0,6,treat
ginger,heart diseases,http://purl.bioontology.org/ontology/SNOMEDCT/227400003,NCI:C3079,0,4,treat
ginger,hepatic disorders,http://purl.bioontology.org/ontology/SNOMEDCT/227400003,NCI:C3196,0,5,treat
ginger,hyperglycemia,http://purl.bioontology.org/ontology/SNOMEDCT/227400003,NCI:C26797,0,5,treat
ginger,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/227400003,NCI:C3117,0,6,treat
ginger,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/24515005,NCI:C3117,0,3,treat
ginger,inflammatory bowel diseases,http://purl.bioontology.org/ontology/SNOMEDCT/227400003,NCI:C3138,0,2,treat
ginger,irritable bowel syndrome,http://purl.bioontology.org/ontology/SNOMEDCT/227400003,NCI:C82343,0,9,treat
ginger,liver cancer,http://purl.bioontology.org/ontology/SNOMEDCT/227400003,NCI:C34803,0,9,treat
ginger,migraine,http://purl.bioontology.org/ontology/SNOMEDCT/227400003,NCI:C89715,0,7,treat
ginger,motion sickness,http://purl.bioontology.org/ontology/SNOMEDCT/227400003,NCI:C34824,0,7,treat
ginger,neurodegenerative diseases,http://purl.bioontology.org/ontology/SNOMEDCT/227400003,NCI:C27090,0,8,treat
ginger,neurodegenerative diseases,http://purl.bioontology.org/ontology/SNOMEDCT/412066006***http://purl.bioontology.org/ontology/SNOMEDCT/260180006,NCI:C27090,0,8,treat
ginger,neurodegenerative diseases,http://purl.bioontology.org/ontology/SNOMEDCT/412066006***http://purl.bioontology.org/ontology/SNOMEDCT/412060000,NCI:C27090,0,8,treat
ginger,neurodegenerative diseases,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,NCI:C27090,0,8,treat
ginger,obesity,http://purl.bioontology.org/ontology/SNOMEDCT/227400003,NCI:C159658,0,9,treat
ginger,sinusitis,http://purl.bioontology.org/ontology/SNOMEDCT/227400003,NCI:C128411,0,5,treat
ginseng,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,NCI:C26747,0,9,treat
grape juice,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/226492005***http://purl.bioontology.org/ontology/SNOMEDCT/129559002,NCI:C3117,0,3,treat
grapefruit,Parkinson's disease,http://purl.bioontology.org/ontology/SNOMEDCT/256315005,NCI:C26845,0,3,treat
grapefruit,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/256315005,NCI:C3117,0,5,treat
grapes,atherosclerosis,http://purl.bioontology.org/ontology/SNOMEDCT/901000161107,NCI:C35768,0,4,treat
grapes,breast cancer,http://purl.bioontology.org/ontology/SNOMEDCT/256317002,NCI:C9335,0,10,treat
green tea,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/29263009,NCI:C2985,0,3,treat
green tea,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/901000161107,NCI:C2985,0,3,treat
green tea,prostate cancer,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,NCI:C7378,0,14,treat
hawthorn,Hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/227400003,NCI:C3117,0,11,treat
honey,amnesia,http://purl.bioontology.org/ontology/SNOMEDCT/227598003,NCI:C2867,0,2,treat
honey,colorectal cancer,http://purl.bioontology.org/ontology/SNOMEDCT/227598003,NCI:C4978,0,5,treat
honey,eczema,http://purl.bioontology.org/ontology/SNOMEDCT/227598003,NCI:C2983,0,3,treat
honey,metabolic syndrome,http://purl.bioontology.org/ontology/SNOMEDCT/227598003,NCI:C3235,0,6,treat
honey,psoriasis,http://purl.bioontology.org/ontology/SNOMEDCT/227598003,NCI:C3346,0,3,treat
honey,stroke,http://purl.bioontology.org/ontology/SNOMEDCT/227598003,NCI:C2938,0,2,treat
honey,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/227598003,NCI:C26747,0,4,treat
honey,urinary tract infections,http://purl.bioontology.org/ontology/SNOMEDCT/227598003,NCI:C26934,0,3,treat
lemon,Alzheimer's disease,http://purl.bioontology.org/ontology/SNOMEDCT/735340006,NCI:C2866,0,3,treat
lemon,gastritis,http://purl.bioontology.org/ontology/SNOMEDCT/735340006,NCI:C26780,0,2,treat
lemon,gastroesophageal reflux,http://purl.bioontology.org/ontology/SNOMEDCT/735340006,NCI:C26781,0,2,treat
lemon,pneumonia,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,NCI:C3333,0,10,treat
lemon,pulmonary fibrosis,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,NCI:C26869,0,10,treat
lentils,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/227350006,NCI:C26747,0,4,treat
manner,motion sickness,http://purl.bioontology.org/ontology/SNOMEDCT/227400003,NCI:C34824,0,2,treat
meat,Hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/28647000,NCI:C3117,0,11,treat
meat,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/28647000,NCI:C3117,0,7,treat
milk,cancers,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,NCI:C9305,0,8,treat
milk,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,NCI:C2985,0,15,treat
milk,gout,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,NCI:C34650,0,3,treat
milk,hereditary angioedema,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,NCI:C84758,0,2,treat
milk,lactose intolerance,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,NCI:C3154,0,2,treat
milk,liver disease,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,NCI:C3196,0,9,treat
milk,liver diseases,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,NCI:C3196,0,21,treat
milk,metabolic syndrome,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,NCI:C3235,0,4,treat
milk,stroke,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,NCI:C2938,0,7,treat
milk,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,NCI:C26747,0,2,treat
milk products,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,NCI:C3117,0,4,treat
nuts,atherosclerosis,http://purl.bioontology.org/ontology/SNOMEDCT/256317002,NCI:C35768,0,4,treat
nuts,atherosclerosis,http://purl.bioontology.org/ontology/SNOMEDCT/29263009,NCI:C35768,0,4,treat
nuts,atherosclerosis,http://purl.bioontology.org/ontology/SNOMEDCT/901000161107,NCI:C35768,0,4,treat
nuts,epilepsy,http://purl.bioontology.org/ontology/SNOMEDCT/41834005***http://purl.bioontology.org/ontology/SNOMEDCT/411317002,NCI:C3020,0,6,treat
nuts,stroke,http://purl.bioontology.org/ontology/SNOMEDCT/41834005***http://purl.bioontology.org/ontology/SNOMEDCT/411317002,NCI:C2938,0,6,treat
nuts,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,NCI:C26747,0,3,treat
oats,celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/9424004***http://purl.bioontology.org/ontology/SNOMEDCT/418504009,NCI:C26714,0,5,treat
oats,coeliac disease,http://purl.bioontology.org/ontology/SNOMEDCT/9424004***http://purl.bioontology.org/ontology/SNOMEDCT/418504009,NCI:C26714,0,5,treat
oats,colorectal cancer,http://purl.bioontology.org/ontology/SNOMEDCT/9424004***http://purl.bioontology.org/ontology/SNOMEDCT/418504009,NCI:C4978,0,5,treat
oats,inflammatory bowel disease,http://purl.bioontology.org/ontology/SNOMEDCT/9424004***http://purl.bioontology.org/ontology/SNOMEDCT/418504009,NCI:C3138,0,5,treat
oil or,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/41834005***http://purl.bioontology.org/ontology/SNOMEDCT/411317002,NCI:C2985,0,7,treat
oil or,metabolic syndrome,http://purl.bioontology.org/ontology/SNOMEDCT/41834005***http://purl.bioontology.org/ontology/SNOMEDCT/411317002,NCI:C3235,0,7,treat
olive oil,Alzheimer's disease,http://purl.bioontology.org/ontology/SNOMEDCT/41834005***http://purl.bioontology.org/ontology/SNOMEDCT/411317002,NCI:C2866,0,3,treat
olive oil,Breast Cancer,http://purl.bioontology.org/ontology/SNOMEDCT/41834005***http://purl.bioontology.org/ontology/SNOMEDCT/411317002,NCI:C9335,0,5,treat
olive oil,atherosclerosis,http://purl.bioontology.org/ontology/SNOMEDCT/41834005***http://purl.bioontology.org/ontology/SNOMEDCT/411317002,NCI:C35768,0,3,treat
olive oil,breast cancer,http://purl.bioontology.org/ontology/SNOMEDCT/41834005***http://purl.bioontology.org/ontology/SNOMEDCT/411317002,NCI:C9335,0,21,treat
olive oil,breast tumor,http://purl.bioontology.org/ontology/SNOMEDCT/41834005***http://purl.bioontology.org/ontology/SNOMEDCT/411317002,NCI:C9335,0,4,treat
olive oil,cancers,http://purl.bioontology.org/ontology/SNOMEDCT/41834005***http://purl.bioontology.org/ontology/SNOMEDCT/411317002,NCI:C9305,0,16,treat
olive oil,coronary heart disease,http://purl.bioontology.org/ontology/SNOMEDCT/41834005***http://purl.bioontology.org/ontology/SNOMEDCT/411317002,NCI:C50625,0,16,treat
olive oil,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/41834005***http://purl.bioontology.org/ontology/SNOMEDCT/411317002,NCI:C2985,0,10,treat
olive oil,epilepsy,http://purl.bioontology.org/ontology/SNOMEDCT/41834005***http://purl.bioontology.org/ontology/SNOMEDCT/411317002,NCI:C3020,0,6,treat
olive oil,gastric cancer,http://purl.bioontology.org/ontology/SNOMEDCT/41834005***http://purl.bioontology.org/ontology/SNOMEDCT/411317002,NCI:C3387,0,4,treat
olive oil,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/41834005***http://purl.bioontology.org/ontology/SNOMEDCT/411317002,NCI:C3117,0,10,treat
olive oil,metabolic diseases,http://purl.bioontology.org/ontology/SNOMEDCT/41834005***http://purl.bioontology.org/ontology/SNOMEDCT/411317002,NCI:C3235,0,3,treat
olive oil,metabolic syndrome,http://purl.bioontology.org/ontology/SNOMEDCT/41834005***http://purl.bioontology.org/ontology/SNOMEDCT/411317002,NCI:C3235,0,3,treat
olive oil,neurodegenerative disease,http://purl.bioontology.org/ontology/SNOMEDCT/41834005***http://purl.bioontology.org/ontology/SNOMEDCT/411317002,NCI:C27090,0,7,treat
