term1,term2,ncbi_taxonomy_id,snomedct_disease,is_cause,is_treat,relation
potato,asthma,4113.0,SNOMEDCT_US_2020_09_01:187687003,2,0,cause
potato,dermatitis,4113.0,SNOMEDCT_US_2020_09_01:238538009,8,0,cause
rabbit,atopic dermatitis,9979.0,SNOMEDCT_US_2020_09_01:156331003,3,0,cause
rice,asthma,4530.0,SNOMEDCT_US_2020_09_01:187687003,6,0,cause
rice,urticaria,4530.0,SNOMEDCT_US_2020_09_01:267817001,6,0,cause
rosemary,asthma,39367.0,SNOMEDCT_US_2020_09_01:187687003,3,0,cause
rye,Celiac Disease,4550.0,SNOMEDCT_US_2020_09_01:197477005,6,0,cause
rye,Celiac disease,4550.0,SNOMEDCT_US_2020_09_01:197477005,22,0,cause
rye,celiac disease,4550.0,SNOMEDCT_US_2020_09_01:197477005,13,0,cause
rye,coeliac disease,4550.0,SNOMEDCT_US_2020_09_01:197477005,6,0,cause
rye,dermatitis,4550.0,SNOMEDCT_US_2020_09_01:238538009,7,0,cause
tea,acne,4442.0,SNOMEDCT_US_2020_09_01:11381005,9,0,cause
triticum aestivum,Celiac disease,4565.0,SNOMEDCT_US_2020_09_01:197477005,5,0,cause
turkey,Gastric cancer,9103.0,SNOMEDCT_US_2020_09_01:126824007,7,0,cause
turkey,Hypertension,9103.0,SNOMEDCT_US_2020_09_01:38341003,7,0,cause
vanilla,telangiectasia,51238.0,SNOMEDCT_US_2020_09_01:112641009,3,0,cause
wasabi,hypersensitivity,75806.0,SNOMEDCT_US_2020_09_01:257550005,10,0,cause
wheat,Celiac Disease,4564.0,SNOMEDCT_US_2020_09_01:197477005,6,0,cause
wheat,Celiac disease,4564.0,SNOMEDCT_US_2020_09_01:197477005,60,0,cause
wheat,Coeliac disease,4564.0,SNOMEDCT_US_2020_09_01:197477005,6,0,cause
wheat,asthma,4564.0,SNOMEDCT_US_2020_09_01:187687003,2,0,cause
wheat,coeliac disease,4564.0,SNOMEDCT_US_2020_09_01:197477005,13,0,cause
wheat,dermatitis,4564.0,SNOMEDCT_US_2020_09_01:238538009,11,0,cause
wheat,eczema,4564.0,SNOMEDCT_US_2020_09_01:238538009,9,0,cause
wheat,irritable bowel syndrome,4564.0,SNOMEDCT_US_2020_09_01:155783000,2,0,cause
wheat,osteoporosis,4564.0,SNOMEDCT_US_2020_09_01:156825006,11,0,cause
