term1,term2,foodon,omim_disease,is_cause,is_treat,relation
flour,asthma,http://purl.obolibrary.org/obo/NCBITaxon_4513,OMIM:600807,2,0,cause
flour,asthma,http://purl.obolibrary.org/obo/NCBITaxon_89151***http://purl.obolibrary.org/obo/NCBITaxon_4641,OMIM:600807,2,0,cause
flour dust,asthma,http://purl.obolibrary.org/obo/FOODON_03500035***http://purl.obolibrary.org/obo/FOODON_03420309,OMIM:600807,2,0,cause
fruit,OAS,http://purl.obolibrary.org/obo/PO_0009001,OMIM:206920,14,0,cause
fruit,gastroesophageal reflux,http://purl.obolibrary.org/obo/PO_0009001,OMIM:109350,3,0,cause
garlic,asthma,http://purl.obolibrary.org/obo/CHEBI_33290,OMIM:600807,6,0,cause
garlic,asthma,http://purl.obolibrary.org/obo/NCBITaxon_4682,OMIM:600807,19,0,cause
garlic,hemolytic anemia,http://purl.obolibrary.org/obo/NCBITaxon_4682,OMIM:266120,5,0,cause
lamb,asthma,http://purl.obolibrary.org/obo/FOODON_03411669,OMIM:600807,2,0,cause
liver,Colorectal cancer,http://purl.obolibrary.org/obo/UBERON_0002107,OMIM:114500,5,0,cause
liver,Non-alcoholic fatty liver disease,http://purl.obolibrary.org/obo/UBERON_0002107,OMIM:613387,2,0,cause
liver,Obesity,http://purl.obolibrary.org/obo/UBERON_0002107,OMIM:601665,2,0,cause
liver,Wilson disease,http://purl.obolibrary.org/obo/UBERON_0002107,OMIM:277900,3,0,cause
liver,fatty liver syndrome,http://purl.obolibrary.org/obo/UBERON_0002107,OMIM:228100,2,0,cause
milk,Asthma,http://purl.obolibrary.org/obo/UBERON_0001913,OMIM:600807,3,0,cause
milk,Eosinophilic esophagitis,http://purl.obolibrary.org/obo/UBERON_0001913,OMIM:613412,7,0,cause
milk,acne,http://purl.obolibrary.org/obo/UBERON_0001913,OMIM:604324,2,0,cause
milk,coronary heart disease,http://purl.obolibrary.org/obo/UBERON_0001913,OMIM:614293,5,0,cause
milk,diabetic ketoacidosis,http://purl.obolibrary.org/obo/UBERON_0001913,OMIM:612227,4,0,cause
milk,ovarian cancer,http://purl.obolibrary.org/obo/UBERON_0001913,OMIM:167000,3,0,cause
milk,pancreatitis,http://purl.obolibrary.org/obo/UBERON_0001913,OMIM:167800,8,0,cause
oats,Celiac disease,http://purl.obolibrary.org/obo/FOODON_03315188***http://purl.obolibrary.org/obo/NCBITaxon_4498,OMIM:611598,15,0,cause
onion,asthma,http://purl.obolibrary.org/obo/FOODON_03316347***http://purl.obolibrary.org/obo/NCBITaxon_4679,OMIM:600807,5,0,cause
peach,OAS,http://purl.obolibrary.org/obo/NCBITaxon_3760***http://purl.obolibrary.org/obo/FOODON_03315502***http://purl.obolibrary.org/obo/FOODON_03301719,OMIM:206920,6,0,cause
rabbit,atopic dermatitis,http://purl.obolibrary.org/obo/GAZ_00000558***http://purl.obolibrary.org/obo/NCBITaxon_9103,OMIM:603165,3,0,cause
red wine,breast cancer,http://purl.obolibrary.org/obo/FOODON_03310272,OMIM:114480,3,0,cause
red wine,migraine,http://purl.obolibrary.org/obo/FOODON_03310272,OMIM:157300,4,0,cause
rice,asthma,http://purl.obolibrary.org/obo/NCBITaxon_4530,OMIM:600807,6,0,cause
rye,Celiac Disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,OMIM:611598,6,0,cause
rye,Celiac disease,http://purl.obolibrary.org/obo/FOODON_03315188***http://purl.obolibrary.org/obo/NCBITaxon_4498,OMIM:611598,6,0,cause
rye flour,allergic rhinitis,http://purl.obolibrary.org/obo/FOODON_03301116,OMIM:607154,8,0,cause
salt,gastric cancer,http://purl.obolibrary.org/obo/CHEBI_24866,OMIM:613659,2,0,cause
salt,obesity,http://purl.obolibrary.org/obo/CHEBI_24866,OMIM:601665,2,0,cause
sugar,nonalcoholic fatty liver disease,http://purl.obolibrary.org/obo/FOODON_03420108,OMIM:613387,3,0,cause
sugar,obesity,http://purl.obolibrary.org/obo/FOODON_03307240,OMIM:601665,4,0,cause
thyme,asthma,http://purl.obolibrary.org/obo/NCBITaxon_49992,OMIM:600807,3,0,cause
trigger,asthma,http://purl.obolibrary.org/obo/CHEBI_33290,OMIM:600807,2,0,cause
turkey,Gastric cancer,http://purl.obolibrary.org/obo/GAZ_00000558***http://purl.obolibrary.org/obo/NCBITaxon_9103,OMIM:613659,7,0,cause
wheat,Celiac Disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,OMIM:611598,6,0,cause
white wine,migraine,http://purl.obolibrary.org/obo/FOODON_03310273,OMIM:157300,4,0,cause
wood,asthma,http://purl.obolibrary.org/obo/FOODON_03500035***http://purl.obolibrary.org/obo/FOODON_03420309,OMIM:600807,2,0,cause
