term1,term2,snomedct,snomedct_disease,is_cause,is_treat,relation
chocolate,Pertussis,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,SNOMEDCT_US_2020_09_01:26484003,2,0,cause
chocolate,acne,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,SNOMEDCT_US_2020_09_01:11381005,10,0,cause
chocolate,acne,http://purl.bioontology.org/ontology/SNOMEDCT/29263009,SNOMEDCT_US_2020_09_01:11381005,8,0,cause
chocolate,atrial fibrillation,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,SNOMEDCT_US_2020_09_01:266306001,3,0,cause
chocolate,hyperglycemia,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,SNOMEDCT_US_2020_09_01:144187006,4,0,cause
chocolate,migraine,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,SNOMEDCT_US_2020_09_01:155046006,8,0,cause
chocolate,migraine,http://purl.bioontology.org/ontology/SNOMEDCT/102264005,SNOMEDCT_US_2020_09_01:155046006,7,0,cause
chocolate,obesity,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,SNOMEDCT_US_2020_09_01:5476005,9,0,cause
chocolate milk,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/70813002***http://purl.bioontology.org/ontology/SNOMEDCT/46329000***http://purl.bioontology.org/ontology/SNOMEDCT/102262009,SNOMEDCT_US_2020_09_01:267467004,2,0,cause
cinnamon,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,SNOMEDCT_US_2020_09_01:238538009,3,0,cause
cinnamon,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,SNOMEDCT_US_2020_09_01:257550005,10,0,cause
cinnamon,stomatitis,http://purl.bioontology.org/ontology/SNOMEDCT/227607007,SNOMEDCT_US_2020_09_01:95361005,6,0,cause
cinnamon,telangiectasia,http://purl.bioontology.org/ontology/SNOMEDCT/412070003,SNOMEDCT_US_2020_09_01:112641009,3,0,cause
coffee,acne,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,SNOMEDCT_US_2020_09_01:11381005,8,0,cause
coffee,acne,http://purl.bioontology.org/ontology/SNOMEDCT/29263009,SNOMEDCT_US_2020_09_01:11381005,9,0,cause
corn,rhinitis,http://purl.bioontology.org/ontology/SNOMEDCT/412357001,SNOMEDCT_US_2020_09_01:70076002,3,0,cause
drinking beer,angioedema,http://purl.bioontology.org/ontology/SNOMEDCT/53410008,SNOMEDCT_US_2020_09_01:41291007,5,0,cause
drinking beer,urticaria,http://purl.bioontology.org/ontology/SNOMEDCT/53410008,SNOMEDCT_US_2020_09_01:267817001,5,0,cause
eggs,acne,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,SNOMEDCT_US_2020_09_01:11381005,8,0,cause
eggs,acne,http://purl.bioontology.org/ontology/SNOMEDCT/29263009,SNOMEDCT_US_2020_09_01:11381005,8,0,cause
flour,allergic rhinitis,http://purl.bioontology.org/ontology/SNOMEDCT/63766005,SNOMEDCT_US_2020_09_01:38103000,4,0,cause
flour,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/256307007,SNOMEDCT_US_2020_09_01:187687003,2,0,cause
flour,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/63766005,SNOMEDCT_US_2020_09_01:187687003,26,0,cause
flour,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,SNOMEDCT_US_2020_09_01:187687003,2,0,cause
flour,hypersensitivity pneumonitis,http://purl.bioontology.org/ontology/SNOMEDCT/63766005,SNOMEDCT_US_2020_09_01:155581001,3,0,cause
flour,rhinitis,http://purl.bioontology.org/ontology/SNOMEDCT/63766005,SNOMEDCT_US_2020_09_01:70076002,6,0,cause
flour mill,bronchitis,http://purl.bioontology.org/ontology/SNOMEDCT/63766005,SNOMEDCT_US_2020_09_01:155566007,6,0,cause
"flour,",asthma,http://purl.bioontology.org/ontology/SNOMEDCT/229944000***http://purl.bioontology.org/ontology/SNOMEDCT/63766005***http://purl.bioontology.org/ontology/SNOMEDCT/412071004,SNOMEDCT_US_2020_09_01:187687003,4,0,cause
fruit,gastroesophageal reflux,http://purl.bioontology.org/ontology/SNOMEDCT/72511004,SNOMEDCT_US_2020_09_01:235595009,3,0,cause
fruit,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/72511004,SNOMEDCT_US_2020_09_01:257550005,13,0,cause
fruit,uremia,http://purl.bioontology.org/ontology/SNOMEDCT/72511004,SNOMEDCT_US_2020_09_01:44730006,2,0,cause
garlic,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,SNOMEDCT_US_2020_09_01:187687003,19,0,cause
garlic,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,SNOMEDCT_US_2020_09_01:238538009,6,0,cause
garlic,hemolytic anemia,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,SNOMEDCT_US_2020_09_01:61261009,5,0,cause
garlic,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,SNOMEDCT_US_2020_09_01:257550005,10,0,cause
garlic,rhinitis,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,SNOMEDCT_US_2020_09_01:70076002,12,0,cause
harmful effects,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,SNOMEDCT_US_2020_09_01:38341003,2,0,cause
horseradish,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,SNOMEDCT_US_2020_09_01:257550005,10,0,cause
horseradish,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/51905005,SNOMEDCT_US_2020_09_01:257550005,10,0,cause
horseradish,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,SNOMEDCT_US_2020_09_01:257550005,10,0,cause
horseradish,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/735040003,SNOMEDCT_US_2020_09_01:257550005,10,0,cause
horseradish,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/735047000,SNOMEDCT_US_2020_09_01:257550005,10,0,cause
lamb,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/226942002,SNOMEDCT_US_2020_09_01:187687003,2,0,cause
lemon,endophthalmitis,http://purl.bioontology.org/ontology/SNOMEDCT/735340006,SNOMEDCT_US_2020_09_01:1847009,3,0,cause
lemon,urticaria,http://purl.bioontology.org/ontology/SNOMEDCT/735340006,SNOMEDCT_US_2020_09_01:267817001,3,0,cause
meat,Multiple Sclerosis,http://purl.bioontology.org/ontology/SNOMEDCT/28647000,SNOMEDCT_US_2020_09_01:155023009,3,0,cause
meat,colorectal cancer,http://purl.bioontology.org/ontology/SNOMEDCT/28647000,SNOMEDCT_US_2020_09_01:93854002,3,0,cause
meat,gout,http://purl.bioontology.org/ontology/SNOMEDCT/28647000,SNOMEDCT_US_2020_09_01:90560007,2,0,cause
milk,Asthma,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,SNOMEDCT_US_2020_09_01:187687003,3,0,cause
milk,Breast carcinoma,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,SNOMEDCT_US_2020_09_01:154513000,10,0,cause
milk,Campylobacteriosis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,SNOMEDCT_US_2020_09_01:86500004,4,0,cause
milk,Eosinophilic esophagitis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,SNOMEDCT_US_2020_09_01:235599003,7,0,cause
milk,Hydatidosis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,SNOMEDCT_US_2020_09_01:154414008,2,0,cause
milk,Mastitis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,SNOMEDCT_US_2020_09_01:155952005,7,0,cause
milk,Rift Valley fever,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,SNOMEDCT_US_2020_09_01:7077006,2,0,cause
milk,Tick-borne encephalitis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,SNOMEDCT_US_2020_09_01:16901001,4,0,cause
milk,acne,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,SNOMEDCT_US_2020_09_01:11381005,2,0,cause
milk,amenorrhea,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,SNOMEDCT_US_2020_09_01:156034000,5,0,cause
milk,campylobacteriosis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,SNOMEDCT_US_2020_09_01:86500004,2,0,cause
milk,coronary heart disease,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,SNOMEDCT_US_2020_09_01:53741008,5,0,cause
milk,diabetic ketoacidosis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,SNOMEDCT_US_2020_09_01:154671004,4,0,cause
milk,diarrhea,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,SNOMEDCT_US_2020_09_01:154268000,5,0,cause
milk,eczema,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,SNOMEDCT_US_2020_09_01:238538009,2,0,cause
milk,hyperphosphatemia,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,SNOMEDCT_US_2020_09_01:20165001,2,0,cause
milk,hyperprolactinemia,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,SNOMEDCT_US_2020_09_01:190468001,2,0,cause
milk,invasive ductal carcinoma,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,SNOMEDCT_US_2020_09_01:408643008,3,0,cause
milk,myocarditis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,SNOMEDCT_US_2020_09_01:50920009,2,0,cause
milk,ovarian cancer,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,SNOMEDCT_US_2020_09_01:123843001,3,0,cause
milk,pancreatitis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,SNOMEDCT_US_2020_09_01:393591004,8,0,cause
milk,urticaria,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,SNOMEDCT_US_2020_09_01:267817001,2,0,cause
milk products,campylobacteriosis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,SNOMEDCT_US_2020_09_01:86500004,3,0,cause
mustard,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,SNOMEDCT_US_2020_09_01:257550005,10,0,cause
mustard,pancreatitis,http://purl.bioontology.org/ontology/SNOMEDCT/51905005,SNOMEDCT_US_2020_09_01:393591004,3,0,cause
oats,Celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/9424004***http://purl.bioontology.org/ontology/SNOMEDCT/418504009,SNOMEDCT_US_2020_09_01:197477005,15,0,cause
oats,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/9424004***http://purl.bioontology.org/ontology/SNOMEDCT/418504009,SNOMEDCT_US_2020_09_01:238538009,11,0,cause
onion,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/735047000,SNOMEDCT_US_2020_09_01:187687003,5,0,cause
other meat,campylobacteriosis,http://purl.bioontology.org/ontology/SNOMEDCT/28647000,SNOMEDCT_US_2020_09_01:86500004,2,0,cause
peach,urticaria,http://purl.bioontology.org/ontology/SNOMEDCT/735049002,SNOMEDCT_US_2020_09_01:267817001,12,0,cause
potato,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/227282006,SNOMEDCT_US_2020_09_01:187687003,2,0,cause
potato,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/256319004,SNOMEDCT_US_2020_09_01:238538009,4,0,cause
potato,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/735053000,SNOMEDCT_US_2020_09_01:238538009,4,0,cause
red wine,breast cancer,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,SNOMEDCT_US_2020_09_01:254837009,3,0,cause
red wine,diarrhea,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,SNOMEDCT_US_2020_09_01:154268000,8,0,cause
red wine,diarrhoea,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,SNOMEDCT_US_2020_09_01:154268000,5,0,cause
red wine,irritable bowel syndrome,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,SNOMEDCT_US_2020_09_01:155783000,4,0,cause
red wine,migraine,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,SNOMEDCT_US_2020_09_01:155046006,4,0,cause
related cereal,Celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/23182003,SNOMEDCT_US_2020_09_01:197477005,8,0,cause
rice,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/67324005,SNOMEDCT_US_2020_09_01:187687003,6,0,cause
rice,urticaria,http://purl.bioontology.org/ontology/SNOMEDCT/67324005,SNOMEDCT_US_2020_09_01:267817001,6,0,cause
rosemary,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/227410007,SNOMEDCT_US_2020_09_01:187687003,3,0,cause
rye,Celiac Disease,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,SNOMEDCT_US_2020_09_01:197477005,6,0,cause
rye,Celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/23182003,SNOMEDCT_US_2020_09_01:197477005,8,0,cause
rye,Celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/9424004***http://purl.bioontology.org/ontology/SNOMEDCT/418504009,SNOMEDCT_US_2020_09_01:197477005,6,0,cause
rye flour,allergic rhinitis,http://purl.bioontology.org/ontology/SNOMEDCT/63766005,SNOMEDCT_US_2020_09_01:38103000,8,0,cause
soy milk,hyperphosphatemia,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,SNOMEDCT_US_2020_09_01:20165001,2,0,cause
sugar,obesity,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,SNOMEDCT_US_2020_09_01:5476005,4,0,cause
tea,acne,http://purl.bioontology.org/ontology/SNOMEDCT/29263009,SNOMEDCT_US_2020_09_01:11381005,8,0,cause
thyme,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/227413009,SNOMEDCT_US_2020_09_01:187687003,3,0,cause
unpasteurized animal milk,campylobacteriosis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,SNOMEDCT_US_2020_09_01:86500004,3,0,cause
vegetable oil,pneumonia,http://purl.bioontology.org/ontology/SNOMEDCT/22836000***http://purl.bioontology.org/ontology/SNOMEDCT/412552006,SNOMEDCT_US_2020_09_01:266391003,2,0,cause
wasabi,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/735040003,SNOMEDCT_US_2020_09_01:257550005,10,0,cause
water,campylobacteriosis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,SNOMEDCT_US_2020_09_01:86500004,3,0,cause
wheat,Celiac Disease,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,SNOMEDCT_US_2020_09_01:197477005,6,0,cause
wheat flour,urticaria,http://purl.bioontology.org/ontology/SNOMEDCT/229944000***http://purl.bioontology.org/ontology/SNOMEDCT/63766005***http://purl.bioontology.org/ontology/SNOMEDCT/412071004,SNOMEDCT_US_2020_09_01:267817001,7,0,cause
white bread,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/226559002***http://purl.bioontology.org/ontology/SNOMEDCT/226590000,SNOMEDCT_US_2020_09_01:267467004,4,0,cause
white wine,migraine,http://purl.bioontology.org/ontology/SNOMEDCT/67990004***http://purl.bioontology.org/ontology/SNOMEDCT/35748005,SNOMEDCT_US_2020_09_01:155046006,4,0,cause
wine,diarrhea,http://purl.bioontology.org/ontology/SNOMEDCT/35748005,SNOMEDCT_US_2020_09_01:154268000,4,0,cause
