term1,term2,ncbi_taxonomy_id,omim_disease,is_cause,is_treat,relation
tea,obesity,4442.0,OMIM:601665,0,13,treat
tea,osteoporosis,4442.0,OMIM:166710,0,2,treat
thistle,Type 2 diabetes mellitus,41549.0,OMIM:601283,0,6,treat
vaccinium macrocarpon,psoriasis,13750.0,OMIM:PS177900,0,3,treat
vaccinium vitis-idaea,obesity,180772.0,OMIM:601665,0,4,treat
watermelon,prostate cancer,3654.0,OMIM:608658,0,5,treat
wheat,neural tube defects,4564.0,OMIM:301410,0,5,treat
zea mays,celiac disease,4577.0,OMIM:611598,0,2,treat
zingiber officinale,colorectal cancer,94328.0,OMIM:114500,0,5,treat
zingiber officinale,hepatoma,94328.0,OMIM:114550,0,2,treat
zingiber officinale,motion sickness,94328.0,OMIM:158280,0,2,treat
zingiber officinale,obesity,94328.0,OMIM:601665,0,5,treat
zingiber officinale,type 2 diabetes mellitus,94328.0,OMIM:601283,0,3,treat
