term1,term2,foodon,nci_disease,is_cause,is_treat,relation
salt,diabetes,http://purl.obolibrary.org/obo/FOODON_03420108,NCI:C2985,3,0,cause
salt,gastric cancer,http://purl.obolibrary.org/obo/CHEBI_24866,NCI:C3387,2,0,cause
salt,obesity,http://purl.obolibrary.org/obo/CHEBI_24866,NCI:C159658,2,0,cause
soy milk,hyperphosphatemia,http://purl.obolibrary.org/obo/UBERON_0001913,NCI:C113750,2,0,cause
sugar,diabetes,http://purl.obolibrary.org/obo/CHEBI_24866,NCI:C2985,3,0,cause
sugar,diabetes,http://purl.obolibrary.org/obo/FOODON_03420108,NCI:C2985,5,0,cause
sugar,obesity,http://purl.obolibrary.org/obo/FOODON_03307240,NCI:C159658,4,0,cause
thyme,asthma,http://purl.obolibrary.org/obo/NCBITaxon_49992,NCI:C28397,3,0,cause
trigger,asthma,http://purl.obolibrary.org/obo/CHEBI_33290,NCI:C28397,2,0,cause
turkey,Gastric cancer,http://purl.obolibrary.org/obo/GAZ_00000558***http://purl.obolibrary.org/obo/NCBITaxon_9103,NCI:C3387,7,0,cause
turkey,Hypertension,http://purl.obolibrary.org/obo/GAZ_00000558***http://purl.obolibrary.org/obo/NCBITaxon_9103,NCI:C3117,7,0,cause
vegetable oil,pneumonia,http://purl.obolibrary.org/obo/FOODON_03305263***http://purl.obolibrary.org/obo/FOODON_03310387,NCI:C3333,2,0,cause
wasabi,hypersensitivity,http://purl.obolibrary.org/obo/FOODON_03316284,NCI:C3114,10,0,cause
water,gastroenteritis,http://purl.obolibrary.org/obo/ENVO_00002006,NCI:C34632,2,0,cause
water,lymphadenitis,http://purl.obolibrary.org/obo/ENVO_00002006,NCI:C26978,2,0,cause
wheat,Celiac Disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,NCI:C26714,6,0,cause
white bread,diabetes,http://purl.obolibrary.org/obo/FOODON_03301055,NCI:C2985,4,0,cause
white wine,migraine,http://purl.obolibrary.org/obo/FOODON_03310273,NCI:C89715,4,0,cause
wood,asthma,http://purl.obolibrary.org/obo/FOODON_03500035***http://purl.obolibrary.org/obo/FOODON_03420309,NCI:C28397,2,0,cause
