term1,term2,snomedct,efo_disease,is_cause,is_treat,relation
milk,pancreatitis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,EFO:0000278,8,0,cause
mustard,pancreatitis,http://purl.bioontology.org/ontology/SNOMEDCT/51905005,EFO:0000278,3,0,cause
oats,Celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/9424004***http://purl.bioontology.org/ontology/SNOMEDCT/418504009,EFO:0001060,15,0,cause
onion,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/735047000,EFO:0000270,5,0,cause
potato,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/227282006,EFO:0000270,2,0,cause
red wine,migraine,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,EFO:0003821,4,0,cause
related cereal,Celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/23182003,EFO:0001060,8,0,cause
rice,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/67324005,EFO:0000270,6,0,cause
rosemary,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/227410007,EFO:0000270,3,0,cause
rye,Celiac Disease,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,EFO:0001060,6,0,cause
rye,Celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/23182003,EFO:0001060,8,0,cause
rye,Celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/9424004***http://purl.bioontology.org/ontology/SNOMEDCT/418504009,EFO:0001060,6,0,cause
rye flour,allergic rhinitis,http://purl.bioontology.org/ontology/SNOMEDCT/63766005,EFO:0003956,8,0,cause
sugar,obesity,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,EFO:0001073,4,0,cause
thyme,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/227413009,EFO:0000270,3,0,cause
wheat,Celiac Disease,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,EFO:0001060,6,0,cause
white wine,migraine,http://purl.bioontology.org/ontology/SNOMEDCT/67990004***http://purl.bioontology.org/ontology/SNOMEDCT/35748005,EFO:0003821,4,0,cause
