term1,term2,itis_id,umls_disease,is_cause,is_treat,relation
hibiscus sabdariffa,diabetes,503001.0,UMLS_CUI:C0011849,0,3,treat
hibiscus sabdariffa,hypertension,503001.0,UMLS_CUI:C0020538,0,7,treat
hibiscus sabdariffa,obesity,503001.0,UMLS_CUI:C0028754,0,2,treat
ipomoea batatas,hyperglycemia,30764.0,UMLS_CUI:C0020456,0,4,treat
ipomoea batatas,type 2 diabetes,30764.0,UMLS_CUI:C0011860,0,4,treat
ipomoea batatas,type 2 diabetes mellitus,30764.0,UMLS_CUI:C0011860,0,3,treat
kiwi,hypertension,506775.0,UMLS_CUI:C0020538,0,8,treat
lemon,Alzheimer's disease,28885.0,UMLS_CUI:C0002395,0,3,treat
lemon,allergic rhinitis,28885.0,UMLS_CUI:C0002103,0,2,treat
lemon,asthma,28885.0,UMLS_CUI:C0004096,0,2,treat
lemon,gastritis,28885.0,UMLS_CUI:C0017152,0,2,treat
lemon,gastroesophageal reflux,28885.0,UMLS_CUI:C0017168,0,2,treat
lemon,pneumonia,28885.0,UMLS_CUI:C0032285,0,10,treat
lemon,pulmonary fibrosis,28885.0,UMLS_CUI:C0034069,0,10,treat
lentils,type 2 diabetes,503364.0,UMLS_CUI:C0011860,0,4,treat
linum usitatissimum,migraine,29226.0,UMLS_CUI:C0149931,0,3,treat
lupinus albus,celiac disease,503572.0,UMLS_CUI:C0007570,0,2,treat
mangifera indica,asthma,28803.0,UMLS_CUI:C0004096,0,2,treat
millet,diabetes mellitus,40946.0,UMLS_CUI:C0011849,0,4,treat
momordica charantia,diabetes,22399.0,UMLS_CUI:C0011849,0,2,treat
momordica charantia,hyperglycemia,22399.0,UMLS_CUI:C0020456,0,4,treat
mulberry,dyslipidemia,19064.0,UMLS_CUI:C0023772,0,3,treat
mulberry,obesity,19064.0,UMLS_CUI:C0028754,0,3,treat
oat,diabetes,41459.0,UMLS_CUI:C0011849,0,16,treat
opuntia,diabetes,19686.0,UMLS_CUI:C0011849,0,2,treat
opuntia,diabetes mellitus,19686.0,UMLS_CUI:C0011849,0,5,treat
oryza sativa,celiac disease,41976.0,UMLS_CUI:C0007570,0,2,treat
oryza sativa,diabetes,41976.0,UMLS_CUI:C0011849,0,3,treat
panax,alopecia,29398.0,UMLS_CUI:C0002170,0,2,treat
panax,amnesia,29398.0,UMLS_CUI:C0002625,0,2,treat
panax,dementia,29398.0,UMLS_CUI:C0154319,0,3,treat
panax,diabetes,29398.0,UMLS_CUI:C0011849,0,2,treat
panax,hyperglycemia,29398.0,UMLS_CUI:C0020456,0,3,treat
panax,hypertension,29398.0,UMLS_CUI:C0020538,0,3,treat
panax,metabolic diseases,29398.0,UMLS_CUI:C0025517,0,2,treat
panax,migraine,29398.0,UMLS_CUI:C0149931,0,3,treat
panax,obesity,29398.0,UMLS_CUI:C0028754,0,2,treat
panax,stroke,29398.0,UMLS_CUI:C0007820,0,2,treat
papaya,prostate cancer,22324.0,UMLS_CUI:C0033578,0,15,treat
pear,diabetes mellitus,25295.0,UMLS_CUI:C0011849,0,2,treat
pear,metabolic diseases,25295.0,UMLS_CUI:C0025517,0,2,treat
piper nigrum,cancers,18310.0,UMLS_CUI:C0006826,0,15,treat
pisum sativum,anemia,26867.0,UMLS_CUI:C0002871,0,2,treat
pisum sativum,asthma,26867.0,UMLS_CUI:C0004096,0,2,treat
pisum sativum,measles,26867.0,UMLS_CUI:C0025007,0,2,treat
pisum sativum,syphilis,26867.0,UMLS_CUI:C0007939,0,2,treat
pisum sativum,yellow fever,26867.0,UMLS_CUI:C0043395,0,2,treat
pomegranate,colon cancer,27278.0,UMLS_CUI:C0007102,0,10,treat
pomegranate,liver cancer,27278.0,UMLS_CUI:C0854795,0,9,treat
pomegranate,prostate cancer,27278.0,UMLS_CUI:C0033578,0,5,treat
potato,renal cell carcinoma,505272.0,UMLS_CUI:C0007134,0,20,treat
prickly pear,diabetes,19686.0,UMLS_CUI:C0011849,0,3,treat
prunus,diarrhea,24762.0,UMLS_CUI:C0013369,0,3,treat
punica granatum,cystitis,27278.0,UMLS_CUI:C0010692,0,3,treat
punica granatum,diarrhea,27278.0,UMLS_CUI:C0013369,0,2,treat
punica granatum,psoriasis,27278.0,UMLS_CUI:C0033860,0,3,treat
raphanus sativus,anemia,23290.0,UMLS_CUI:C0002871,0,2,treat
raphanus sativus,asthma,23290.0,UMLS_CUI:C0004096,0,2,treat
raphanus sativus,measles,23290.0,UMLS_CUI:C0025007,0,2,treat
rice,atopic dermatitis,41976.0,UMLS_CUI:C0011615,0,3,treat
rice,celiac disease,41976.0,UMLS_CUI:C0007570,0,2,treat
rice,diabetes,41976.0,UMLS_CUI:C0011849,0,3,treat
saffron,asthma,501794.0,UMLS_CUI:C0004096,0,3,treat
saffron,cancers,501794.0,UMLS_CUI:C0006826,0,30,treat
sisymbrium,anemia,23311.0,UMLS_CUI:C0002871,0,2,treat
sisymbrium,asthma,23311.0,UMLS_CUI:C0004096,0,2,treat
sisymbrium,measles,23311.0,UMLS_CUI:C0025007,0,2,treat
sisymbrium,syphilis,23311.0,UMLS_CUI:C0007939,0,2,treat
sisymbrium,yellow fever,23311.0,UMLS_CUI:C0043395,0,2,treat
soy bean,pancreatitis,26716.0,UMLS_CUI:C0030305,0,4,treat
strawberry,hypertension,24630.0,UMLS_CUI:C0020538,0,2,treat
sweet potato,malignant tumor,30764.0,UMLS_CUI:C0006826,0,2,treat
sweet potato,renal cell carcinoma,30764.0,UMLS_CUI:C0007134,0,20,treat
tea,breast cancer,506801.0,UMLS_CUI:C0006142,0,10,treat
tea,colon cancer,506801.0,UMLS_CUI:C0007102,0,9,treat
tea,colorectal cancer,506801.0,UMLS_CUI:C0346629,0,3,treat
tea,coronary disease,506801.0,UMLS_CUI:C0151744,0,8,treat
tea,dementia,506801.0,UMLS_CUI:C0154319,0,3,treat
tea,diabetes,506801.0,UMLS_CUI:C0011849,0,8,treat
tea,hypertension,506801.0,UMLS_CUI:C0020538,0,5,treat
tea,liver disease,506801.0,UMLS_CUI:C0023895,0,2,treat
tea,metabolic syndrome,506801.0,UMLS_CUI:C0025517,0,2,treat
tea,obesity,506801.0,UMLS_CUI:C0028754,0,13,treat
tea,osteoporosis,506801.0,UMLS_CUI:C0029456,0,2,treat
tea,stroke,506801.0,UMLS_CUI:C0007820,0,4,treat
thistle,Type 2 diabetes mellitus,36334.0,UMLS_CUI:C0011860,0,6,treat
thistle,liver diseases,36334.0,UMLS_CUI:C0023895,0,9,treat
trigonella foenum-graecum,diabetes,505590.0,UMLS_CUI:C0011849,0,14,treat
triticum aestivum,diarrhea,42237.0,UMLS_CUI:C0013369,0,2,treat
turmeric,liver cancer,42394.0,UMLS_CUI:C0854795,0,45,treat
vaccinium macrocarpon,psoriasis,23599.0,UMLS_CUI:C0033860,0,3,treat
vaccinium macrocarpon,urinary tract infections,23599.0,UMLS_CUI:C0149523,0,4,treat
vaccinium vitis-idaea,obesity,505637.0,UMLS_CUI:C0028754,0,4,treat
watermelon,hypertension,22356.0,UMLS_CUI:C0020538,0,8,treat
watermelon,prostate cancer,22356.0,UMLS_CUI:C0033578,0,5,treat
wheat,spina bifida,42236.0,UMLS_CUI:C0080178,0,2,treat
zea mays,celiac disease,42269.0,UMLS_CUI:C0007570,0,2,treat
zingiber officinale,arthritis,42402.0,UMLS_CUI:C0003864,0,4,treat
zingiber officinale,bronchitis,42402.0,UMLS_CUI:C0149514,0,3,treat
zingiber officinale,cancers,42402.0,UMLS_CUI:C0006826,0,16,treat
zingiber officinale,colorectal cancer,42402.0,UMLS_CUI:C0346629,0,5,treat
zingiber officinale,constipation,42402.0,UMLS_CUI:C0009806,0,7,treat
zingiber officinale,dementia,42402.0,UMLS_CUI:C0154319,0,4,treat
zingiber officinale,diabetes mellitus,42402.0,UMLS_CUI:C0011849,0,4,treat
zingiber officinale,diarrhea,42402.0,UMLS_CUI:C0013369,0,10,treat
zingiber officinale,diarrhoea,42402.0,UMLS_CUI:C0013369,0,2,treat
zingiber officinale,dysentery,42402.0,UMLS_CUI:C0013369,0,3,treat
zingiber officinale,gastrointestinal diseases,42402.0,UMLS_CUI:C0012242,0,2,treat
zingiber officinale,gastrointestinal disorders,42402.0,UMLS_CUI:C0012242,0,5,treat
zingiber officinale,helminthiasis,42402.0,UMLS_CUI:C0018889,0,4,treat
zingiber officinale,hyperglycemia,42402.0,UMLS_CUI:C0020456,0,6,treat
zingiber officinale,hypertension,42402.0,UMLS_CUI:C0020538,0,7,treat
zingiber officinale,infectious diseases,42402.0,UMLS_CUI:C0001485,0,4,treat
zingiber officinale,motion sickness,42402.0,UMLS_CUI:C0026603,0,2,treat
zingiber officinale,obesity,42402.0,UMLS_CUI:C0028754,0,5,treat
zingiber officinale,type 2 diabetes mellitus,42402.0,UMLS_CUI:C0011860,0,3,treat
zingiber officinale,ulcerative colitis,42402.0,UMLS_CUI:C0375359,0,2,treat
