term1,term2,ncbi_taxonomy_id,snomedct_disease,is_cause,is_treat,relation
capsicum annuum,measles,4072.0,SNOMEDCT_US_2020_09_01:154338006,0,12,treat
capsicum annuum,syphilis,4072.0,SNOMEDCT_US_2020_09_01:736686006,0,12,treat
cauliflower,arthritis,3715.0,SNOMEDCT_US_2020_09_01:372091005,0,2,treat
chives,colorectal cancer,74900.0,SNOMEDCT_US_2020_09_01:93854002,0,5,treat
chives,prostate cancer,74900.0,SNOMEDCT_US_2020_09_01:93974005,0,18,treat
cichorium intybus,type 2 diabetes mellitus,13427.0,SNOMEDCT_US_2020_09_01:44054006,0,3,treat
cinnamomum,diabetes,13428.0,SNOMEDCT_US_2020_09_01:267467004,0,2,treat
cinnamomum,gastritis,13428.0,SNOMEDCT_US_2020_09_01:155711008,0,2,treat
cinnamomum,type 2 diabetes mellitus,13428.0,SNOMEDCT_US_2020_09_01:44054006,0,6,treat
cinnamon,Alzheimer's disease,13428.0,SNOMEDCT_US_2020_09_01:73768007,0,10,treat
cinnamon,diabetes,13428.0,SNOMEDCT_US_2020_09_01:267467004,0,34,treat
cinnamon,diabetes mellitus,13428.0,SNOMEDCT_US_2020_09_01:267467004,0,18,treat
cinnamon,diarrhea,13428.0,SNOMEDCT_US_2020_09_01:154268000,0,3,treat
cinnamon,gastric diseases,13428.0,SNOMEDCT_US_2020_09_01:196598004,0,3,treat
cinnamon,glucose intolerance,13428.0,SNOMEDCT_US_2020_09_01:267426009,0,6,treat
cinnamon,metabolic syndrome,13428.0,SNOMEDCT_US_2020_09_01:75934005,0,21,treat
cinnamon,neurodegenerative diseases,13428.0,SNOMEDCT_US_2020_09_01:362975008,0,40,treat
cinnamon,obesity,13428.0,SNOMEDCT_US_2020_09_01:5476005,0,6,treat
cinnamon,type 2 diabetes,13428.0,SNOMEDCT_US_2020_09_01:44054006,0,63,treat
cinnamon,type 2 diabetes mellitus,13428.0,SNOMEDCT_US_2020_09_01:44054006,0,6,treat
cinnamon,type-2 diabetes,13428.0,SNOMEDCT_US_2020_09_01:44054006,0,7,treat
citrus maxima,hypertension,37334.0,SNOMEDCT_US_2020_09_01:38341003,0,2,treat
coconut,atopic dermatitis,13894.0,SNOMEDCT_US_2020_09_01:156331003,0,10,treat
coffee,adenomas,13442.0,SNOMEDCT_US_2020_09_01:443416007,0,2,treat
coffee,alcoholic liver cirrhosis,13442.0,SNOMEDCT_US_2020_09_01:420054005,0,2,treat
coffee,atherosclerosis,13442.0,SNOMEDCT_US_2020_09_01:155414001,0,12,treat
coffee,diabetes,13442.0,SNOMEDCT_US_2020_09_01:267467004,0,5,treat
coffee,gastric cancer,13442.0,SNOMEDCT_US_2020_09_01:126824007,0,4,treat
coffee,gout,13442.0,SNOMEDCT_US_2020_09_01:90560007,0,3,treat
coffee,hyperuricemia,13442.0,SNOMEDCT_US_2020_09_01:271198001,0,2,treat
coffee,liver disease,13442.0,SNOMEDCT_US_2020_09_01:62857009,0,4,treat
coffee,obesity,13442.0,SNOMEDCT_US_2020_09_01:5476005,0,4,treat
coffee,type 2 diabetes,13442.0,SNOMEDCT_US_2020_09_01:44054006,0,4,treat
coriander,neurodegenerative diseases,4047.0,SNOMEDCT_US_2020_09_01:362975008,0,8,treat
corn,celiac disease,4577.0,SNOMEDCT_US_2020_09_01:197477005,0,6,treat
corn,hypertension,4577.0,SNOMEDCT_US_2020_09_01:38341003,0,8,treat
crocus sativus,asthma,82528.0,SNOMEDCT_US_2020_09_01:187687003,0,2,treat
crocus sativus,cancers,82528.0,SNOMEDCT_US_2020_09_01:269513004,0,15,treat
cucurbita,alopecia,3660.0,SNOMEDCT_US_2020_09_01:270504008,0,2,treat
curcuma longa,asthma,136217.0,SNOMEDCT_US_2020_09_01:187687003,0,4,treat
curcuma longa,cancers,136217.0,SNOMEDCT_US_2020_09_01:269513004,0,15,treat
curcuma longa,diabetes,136217.0,SNOMEDCT_US_2020_09_01:267467004,0,10,treat
curcuma longa,heart diseases,136217.0,SNOMEDCT_US_2020_09_01:194707003,0,4,treat
curcuma longa,hepatic disorders,136217.0,SNOMEDCT_US_2020_09_01:62857009,0,5,treat
curcuma longa,hyperglycemia,136217.0,SNOMEDCT_US_2020_09_01:144187006,0,5,treat
curcuma longa,neurodegenerative diseases,136217.0,SNOMEDCT_US_2020_09_01:362975008,0,2,treat
curcuma longa,obesity,136217.0,SNOMEDCT_US_2020_09_01:5476005,0,5,treat
curcuma longa,rheumatoid arthritis,136217.0,SNOMEDCT_US_2020_09_01:156471009,0,2,treat
curcuma longa,sinusitis,136217.0,SNOMEDCT_US_2020_09_01:195649005,0,5,treat
fenugreek,diabetes,78534.0,SNOMEDCT_US_2020_09_01:267467004,0,5,treat
fenugreek,type 2 diabetes,78534.0,SNOMEDCT_US_2020_09_01:44054006,0,9,treat
ficus carica,constipation,3494.0,SNOMEDCT_US_2020_09_01:363693003,0,3,treat
garcinia mangostana,diarrhea,58228.0,SNOMEDCT_US_2020_09_01:154268000,0,2,treat
garlic,arteriosclerosis,4682.0,SNOMEDCT_US_2020_09_01:195251000,0,4,treat
garlic,atherosclerosis,4682.0,SNOMEDCT_US_2020_09_01:155414001,0,23,treat
garlic,breast cancer,4682.0,SNOMEDCT_US_2020_09_01:254837009,0,17,treat
garlic,cancers,4682.0,SNOMEDCT_US_2020_09_01:269513004,0,50,treat
garlic,colon cancer,4682.0,SNOMEDCT_US_2020_09_01:363406005,0,10,treat
garlic,colorectal adenocarcinoma,4682.0,SNOMEDCT_US_2020_09_01:408645001,0,4,treat
garlic,colorectal cancer,4682.0,SNOMEDCT_US_2020_09_01:93854002,0,8,treat
garlic,diabetes,4682.0,SNOMEDCT_US_2020_09_01:267467004,0,20,treat
garlic,eclampsia,4682.0,SNOMEDCT_US_2020_09_01:156111007,0,2,treat
garlic,gastric cancer,4682.0,SNOMEDCT_US_2020_09_01:126824007,0,8,treat
garlic,gingivitis,4682.0,SNOMEDCT_US_2020_09_01:196355002,0,3,treat
garlic,hepatoma,4682.0,SNOMEDCT_US_2019_09_01:109841003,0,3,treat
garlic,hyperglycemia,4682.0,SNOMEDCT_US_2020_09_01:144187006,0,2,treat
garlic,hypertension,4682.0,SNOMEDCT_US_2020_09_01:38341003,0,29,treat
garlic,kidney diseases,4682.0,SNOMEDCT_US_2020_09_01:266612003,0,4,treat
garlic,liver cancer,4682.0,SNOMEDCT_US_2020_09_01:187771009,0,18,treat
garlic,liver diseases,4682.0,SNOMEDCT_US_2020_09_01:62857009,0,4,treat
garlic,malaria,4682.0,SNOMEDCT_US_2020_09_01:154374002,0,4,treat
garlic,mammary cancer,4682.0,SNOMEDCT_US_2020_09_01:254837009,0,14,treat
garlic,metabolic diseases,4682.0,SNOMEDCT_US_2020_09_01:75934005,0,3,treat
garlic,myocardial infarction,4682.0,SNOMEDCT_US_2020_09_01:66514008,0,2,treat
garlic,neurodegenerative diseases,4682.0,SNOMEDCT_US_2020_09_01:362975008,0,8,treat
garlic,periodontal diseases,4682.0,SNOMEDCT_US_2020_09_01:196354003,0,3,treat
garlic,prostate cancer,4682.0,SNOMEDCT_US_2020_09_01:93974005,0,19,treat
garlic,renal hypertension,4682.0,SNOMEDCT_US_2020_09_01:194775007,0,2,treat
garlic,stroke,4682.0,SNOMEDCT_US_2020_09_01:266312006,0,6,treat
ginger,Alzheimer's disease,94328.0,SNOMEDCT_US_2020_09_01:73768007,0,9,treat
ginger,CRF,94328.0,SNOMEDCT_US_2020_09_01:155856009,0,3,treat
ginger,adenomas,94328.0,SNOMEDCT_US_2020_09_01:443416007,0,5,treat
ginger,arthritis,94328.0,SNOMEDCT_US_2020_09_01:372091005,0,4,treat
ginger,asthma,94328.0,SNOMEDCT_US_2020_09_01:187687003,0,7,treat
ginger,bronchitis,94328.0,SNOMEDCT_US_2020_09_01:155566007,0,3,treat
ginger,cancers,94328.0,SNOMEDCT_US_2020_09_01:269513004,0,33,treat
ginger,chronic kidney diseases,94328.0,SNOMEDCT_US_2020_09_01:155856009,0,3,treat
ginger,colon cancer,94328.0,SNOMEDCT_US_2020_09_01:363406005,0,2,treat
ginger,colorectal cancer,94328.0,SNOMEDCT_US_2020_09_01:93854002,0,9,treat
ginger,constipation,94328.0,SNOMEDCT_US_2020_09_01:363693003,0,14,treat
ginger,diabetes,94328.0,SNOMEDCT_US_2020_09_01:267467004,0,26,treat
ginger,diabetes mellitus,94328.0,SNOMEDCT_US_2020_09_01:267467004,0,6,treat
ginger,diarrhea,94328.0,SNOMEDCT_US_2020_09_01:154268000,0,17,treat
ginger,diarrhoea,94328.0,SNOMEDCT_US_2020_09_01:154268000,0,9,treat
ginger,dysentery,94328.0,SNOMEDCT_US_2020_09_01:154268000,0,3,treat
ginger,gastrointestinal disease,94328.0,SNOMEDCT_US_2020_09_01:53619000,0,3,treat
ginger,gastrointestinal diseases,94328.0,SNOMEDCT_US_2020_09_01:53619000,0,2,treat
ginger,gastrointestinal disorders,94328.0,SNOMEDCT_US_2020_09_01:53619000,0,3,treat
ginger,heart diseases,94328.0,SNOMEDCT_US_2020_09_01:194707003,0,4,treat
ginger,hepatic disorders,94328.0,SNOMEDCT_US_2020_09_01:62857009,0,5,treat
ginger,hyperglycemia,94328.0,SNOMEDCT_US_2020_09_01:144187006,0,5,treat
ginger,hypertension,94328.0,SNOMEDCT_US_2020_09_01:38341003,0,13,treat
ginger,inflammatory bowel diseases,94328.0,SNOMEDCT_US_2020_09_01:155759008,0,2,treat
ginger,irritable bowel syndrome,94328.0,SNOMEDCT_US_2020_09_01:155783000,0,9,treat
ginger,liver cancer,94328.0,SNOMEDCT_US_2020_09_01:187771009,0,9,treat
ginger,migraine,94328.0,SNOMEDCT_US_2020_09_01:155046006,0,8,treat
ginger,motion sickness,94328.0,SNOMEDCT_US_2020_09_01:37031009,0,12,treat
ginger,neurodegenerative diseases,94328.0,SNOMEDCT_US_2020_09_01:362975008,0,32,treat
ginger,obesity,94328.0,SNOMEDCT_US_2020_09_01:5476005,0,14,treat
ginger,sinusitis,94328.0,SNOMEDCT_US_2020_09_01:195649005,0,5,treat
ginkgo biloba,asthma,3311.0,SNOMEDCT_US_2020_09_01:187687003,0,4,treat
ginseng,amnesia,4054.0,SNOMEDCT_US_2020_09_01:247606008,0,2,treat
ginseng,diabetes,4054.0,SNOMEDCT_US_2020_09_01:267467004,0,15,treat
ginseng,hyperglycemia,4054.0,SNOMEDCT_US_2020_09_01:144187006,0,2,treat
ginseng,hypertension,4054.0,SNOMEDCT_US_2020_09_01:38341003,0,3,treat
ginseng,metabolic diseases,4054.0,SNOMEDCT_US_2020_09_01:75934005,0,2,treat
ginseng,migraine,4054.0,SNOMEDCT_US_2020_09_01:155046006,0,3,treat
ginseng,obesity,4054.0,SNOMEDCT_US_2020_09_01:5476005,0,4,treat
ginseng,stroke,4054.0,SNOMEDCT_US_2020_09_01:266312006,0,2,treat
ginseng,type 2 diabetes,4054.0,SNOMEDCT_US_2020_09_01:44054006,0,22,treat
glycine max,osteoporosis,3847.0,SNOMEDCT_US_2020_09_01:156825006,0,2,treat
gossypium,diarrhea,3633.0,SNOMEDCT_US_2020_09_01:154268000,0,2,treat
grape,atherosclerosis,3603.0,SNOMEDCT_US_2020_09_01:155414001,0,3,treat
grape,colon cancer,3603.0,SNOMEDCT_US_2020_09_01:363406005,0,11,treat
grape,diabetes,3603.0,SNOMEDCT_US_2020_09_01:267467004,0,2,treat
grape,mammary tumor,3603.0,SNOMEDCT_US_2020_09_01:254837009,0,2,treat
grape,prostate cancer,3603.0,SNOMEDCT_US_2020_09_01:93974005,0,2,treat
grapefruit,Parkinson's disease,37656.0,SNOMEDCT_US_2020_09_01:49049000,0,3,treat
grapefruit,hypertension,37656.0,SNOMEDCT_US_2020_09_01:38341003,0,5,treat
hibiscus sabdariffa,diabetes,183260.0,SNOMEDCT_US_2020_09_01:267467004,0,3,treat
hibiscus sabdariffa,hypertension,183260.0,SNOMEDCT_US_2020_09_01:38341003,0,7,treat
hibiscus sabdariffa,obesity,183260.0,SNOMEDCT_US_2020_09_01:5476005,0,2,treat
ipomoea batatas,hyperglycemia,4120.0,SNOMEDCT_US_2020_09_01:144187006,0,4,treat
ipomoea batatas,type 2 diabetes,4120.0,SNOMEDCT_US_2020_09_01:44054006,0,4,treat
ipomoea batatas,type 2 diabetes mellitus,4120.0,SNOMEDCT_US_2020_09_01:44054006,0,3,treat
kiwi,hypertension,3625.0,SNOMEDCT_US_2020_09_01:38341003,0,8,treat
lemon,Alzheimer's disease,2708.0,SNOMEDCT_US_2020_09_01:73768007,0,3,treat
lemon,allergic rhinitis,2708.0,SNOMEDCT_US_2020_09_01:38103000,0,2,treat
lemon,asthma,2708.0,SNOMEDCT_US_2020_09_01:187687003,0,2,treat
lemon,gastritis,2708.0,SNOMEDCT_US_2020_09_01:155711008,0,2,treat
lemon,gastroesophageal reflux,2708.0,SNOMEDCT_US_2020_09_01:235595009,0,2,treat
lemon,pneumonia,2708.0,SNOMEDCT_US_2020_09_01:266391003,0,10,treat
lemon,pulmonary fibrosis,2708.0,SNOMEDCT_US_2020_09_01:155613001,0,10,treat
lentils,type 2 diabetes,3864.0,SNOMEDCT_US_2020_09_01:44054006,0,4,treat
linum usitatissimum,migraine,4006.0,SNOMEDCT_US_2020_09_01:155046006,0,3,treat
lupinus albus,celiac disease,3870.0,SNOMEDCT_US_2020_09_01:197477005,0,2,treat
mangifera indica,asthma,29780.0,SNOMEDCT_US_2020_09_01:187687003,0,2,treat
millet,diabetes mellitus,4540.0,SNOMEDCT_US_2020_09_01:267467004,0,4,treat
momordica charantia,diabetes,3673.0,SNOMEDCT_US_2020_09_01:267467004,0,2,treat
momordica charantia,hyperglycemia,3673.0,SNOMEDCT_US_2020_09_01:144187006,0,4,treat
mulberry,obesity,3497.0,SNOMEDCT_US_2020_09_01:5476005,0,3,treat
oat,diabetes,4498.0,SNOMEDCT_US_2020_09_01:267467004,0,16,treat
opuntia,diabetes,106975.0,SNOMEDCT_US_2020_09_01:267467004,0,2,treat
opuntia,diabetes mellitus,106975.0,SNOMEDCT_US_2020_09_01:267467004,0,5,treat
oryza sativa,celiac disease,4530.0,SNOMEDCT_US_2020_09_01:197477005,0,2,treat
oryza sativa,diabetes,4530.0,SNOMEDCT_US_2020_09_01:267467004,0,3,treat
panax,alopecia,4054.0,SNOMEDCT_US_2020_09_01:270504008,0,2,treat
panax,amnesia,4054.0,SNOMEDCT_US_2020_09_01:247606008,0,2,treat
panax,diabetes,4054.0,SNOMEDCT_US_2020_09_01:267467004,0,2,treat
panax,hyperglycemia,4054.0,SNOMEDCT_US_2020_09_01:144187006,0,3,treat
panax,hypertension,4054.0,SNOMEDCT_US_2020_09_01:38341003,0,3,treat
panax,metabolic diseases,4054.0,SNOMEDCT_US_2020_09_01:75934005,0,2,treat
panax,migraine,4054.0,SNOMEDCT_US_2020_09_01:155046006,0,3,treat
panax,obesity,4054.0,SNOMEDCT_US_2020_09_01:5476005,0,2,treat
panax,stroke,4054.0,SNOMEDCT_US_2020_09_01:266312006,0,2,treat
papaya,prostate cancer,3649.0,SNOMEDCT_US_2020_09_01:93974005,0,15,treat
pear,diabetes mellitus,23211.0,SNOMEDCT_US_2020_09_01:267467004,0,2,treat
pear,metabolic diseases,23211.0,SNOMEDCT_US_2020_09_01:75934005,0,2,treat
piper nigrum,cancers,13216.0,SNOMEDCT_US_2020_09_01:269513004,0,15,treat
pisum sativum,anemia,3888.0,SNOMEDCT_US_2020_09_01:64593003,0,2,treat
pisum sativum,asthma,3888.0,SNOMEDCT_US_2020_09_01:187687003,0,2,treat
pisum sativum,measles,3888.0,SNOMEDCT_US_2020_09_01:154338006,0,2,treat
pisum sativum,syphilis,3888.0,SNOMEDCT_US_2020_09_01:736686006,0,2,treat
pisum sativum,yellow fever,3888.0,SNOMEDCT_US_2020_09_01:154345006,0,2,treat
pomegranate,colon cancer,22663.0,SNOMEDCT_US_2020_09_01:363406005,0,10,treat
pomegranate,liver cancer,22663.0,SNOMEDCT_US_2020_09_01:187771009,0,9,treat
pomegranate,prostate cancer,22663.0,SNOMEDCT_US_2020_09_01:93974005,0,5,treat
potato,renal cell carcinoma,4113.0,SNOMEDCT_US_2020_09_01:254915003,0,20,treat
prickly pear,diabetes,106975.0,SNOMEDCT_US_2020_09_01:267467004,0,3,treat
prunus,diarrhea,3754.0,SNOMEDCT_US_2020_09_01:154268000,0,3,treat
punica granatum,cystitis,22663.0,SNOMEDCT_US_2020_09_01:38822007,0,3,treat
punica granatum,diarrhea,22663.0,SNOMEDCT_US_2020_09_01:154268000,0,2,treat
punica granatum,psoriasis,22663.0,SNOMEDCT_US_2020_09_01:156369008,0,3,treat
raphanus sativus,anemia,3726.0,SNOMEDCT_US_2020_09_01:64593003,0,2,treat
raphanus sativus,asthma,3726.0,SNOMEDCT_US_2020_09_01:187687003,0,2,treat
raphanus sativus,measles,3726.0,SNOMEDCT_US_2020_09_01:154338006,0,2,treat
rice,atopic dermatitis,4530.0,SNOMEDCT_US_2020_09_01:156331003,0,3,treat
rice,celiac disease,4530.0,SNOMEDCT_US_2020_09_01:197477005,0,2,treat
rice,diabetes,4530.0,SNOMEDCT_US_2020_09_01:267467004,0,3,treat
saffron,asthma,82528.0,SNOMEDCT_US_2020_09_01:187687003,0,3,treat
saffron,cancers,82528.0,SNOMEDCT_US_2020_09_01:269513004,0,30,treat
sisymbrium,anemia,3729.0,SNOMEDCT_US_2020_09_01:64593003,0,2,treat
sisymbrium,asthma,3729.0,SNOMEDCT_US_2020_09_01:187687003,0,2,treat
sisymbrium,measles,3729.0,SNOMEDCT_US_2020_09_01:154338006,0,2,treat
sisymbrium,syphilis,3729.0,SNOMEDCT_US_2020_09_01:736686006,0,2,treat
sisymbrium,yellow fever,3729.0,SNOMEDCT_US_2020_09_01:154345006,0,2,treat
soy bean,pancreatitis,3847.0,SNOMEDCT_US_2020_09_01:393591004,0,4,treat
strawberry,hypertension,3747.0,SNOMEDCT_US_2020_09_01:38341003,0,2,treat
sweet potato,malignant tumor,4120.0,SNOMEDCT_US_2020_09_01:269513004,0,2,treat
sweet potato,renal cell carcinoma,4120.0,SNOMEDCT_US_2020_09_01:254915003,0,20,treat
tea,breast cancer,4442.0,SNOMEDCT_US_2020_09_01:254837009,0,10,treat
tea,colon cancer,4442.0,SNOMEDCT_US_2020_09_01:363406005,0,9,treat
tea,colorectal cancer,4442.0,SNOMEDCT_US_2020_09_01:93854002,0,3,treat
tea,coronary disease,4442.0,SNOMEDCT_US_2020_09_01:53741008,0,8,treat
tea,diabetes,4442.0,SNOMEDCT_US_2020_09_01:267467004,0,8,treat
tea,hypertension,4442.0,SNOMEDCT_US_2020_09_01:38341003,0,5,treat
tea,liver disease,4442.0,SNOMEDCT_US_2020_09_01:62857009,0,2,treat
tea,metabolic syndrome,4442.0,SNOMEDCT_US_2020_09_01:75934005,0,2,treat
tea,obesity,4442.0,SNOMEDCT_US_2020_09_01:5476005,0,13,treat
tea,osteoporosis,4442.0,SNOMEDCT_US_2020_09_01:156825006,0,2,treat
tea,stroke,4442.0,SNOMEDCT_US_2020_09_01:266312006,0,4,treat
thistle,Type 2 diabetes mellitus,41549.0,SNOMEDCT_US_2020_09_01:44054006,0,6,treat
thistle,liver diseases,41549.0,SNOMEDCT_US_2020_09_01:62857009,0,9,treat
trigonella foenum-graecum,diabetes,78534.0,SNOMEDCT_US_2020_09_01:267467004,0,14,treat
triticum aestivum,diarrhea,4565.0,SNOMEDCT_US_2020_09_01:154268000,0,2,treat
turmeric,liver cancer,136217.0,SNOMEDCT_US_2020_09_01:187771009,0,45,treat
vaccinium macrocarpon,psoriasis,13750.0,SNOMEDCT_US_2020_09_01:156369008,0,3,treat
vaccinium macrocarpon,urinary tract infections,13750.0,SNOMEDCT_US_2020_09_01:197833009,0,4,treat
vaccinium vitis-idaea,obesity,180772.0,SNOMEDCT_US_2020_09_01:5476005,0,4,treat
watermelon,hypertension,3654.0,SNOMEDCT_US_2020_09_01:38341003,0,8,treat
watermelon,prostate cancer,3654.0,SNOMEDCT_US_2020_09_01:93974005,0,5,treat
wheat,spina bifida,4564.0,SNOMEDCT_US_2020_09_01:156888006,0,2,treat
zea mays,celiac disease,4577.0,SNOMEDCT_US_2020_09_01:197477005,0,2,treat
zingiber officinale,arthritis,94328.0,SNOMEDCT_US_2020_09_01:372091005,0,4,treat
zingiber officinale,bronchitis,94328.0,SNOMEDCT_US_2020_09_01:155566007,0,3,treat
zingiber officinale,cancers,94328.0,SNOMEDCT_US_2020_09_01:269513004,0,16,treat
zingiber officinale,colorectal cancer,94328.0,SNOMEDCT_US_2020_09_01:93854002,0,5,treat
zingiber officinale,constipation,94328.0,SNOMEDCT_US_2020_09_01:363693003,0,7,treat
zingiber officinale,diabetes mellitus,94328.0,SNOMEDCT_US_2020_09_01:267467004,0,4,treat
zingiber officinale,diarrhea,94328.0,SNOMEDCT_US_2020_09_01:154268000,0,10,treat
zingiber officinale,diarrhoea,94328.0,SNOMEDCT_US_2020_09_01:154268000,0,2,treat
zingiber officinale,dysentery,94328.0,SNOMEDCT_US_2020_09_01:154268000,0,3,treat
zingiber officinale,gastrointestinal diseases,94328.0,SNOMEDCT_US_2020_09_01:53619000,0,2,treat
zingiber officinale,gastrointestinal disorders,94328.0,SNOMEDCT_US_2020_09_01:53619000,0,5,treat
zingiber officinale,helminthiasis,94328.0,SNOMEDCT_US_2020_09_01:187518006,0,4,treat
zingiber officinale,hepatoma,94328.0,SNOMEDCT_US_2019_09_01:109841003,0,2,treat
zingiber officinale,hyperglycemia,94328.0,SNOMEDCT_US_2020_09_01:144187006,0,6,treat
zingiber officinale,hypertension,94328.0,SNOMEDCT_US_2020_09_01:38341003,0,7,treat
zingiber officinale,motion sickness,94328.0,SNOMEDCT_US_2020_09_01:37031009,0,2,treat
zingiber officinale,obesity,94328.0,SNOMEDCT_US_2020_09_01:5476005,0,5,treat
zingiber officinale,type 2 diabetes mellitus,94328.0,SNOMEDCT_US_2020_09_01:44054006,0,3,treat
zingiber officinale,ulcerative colitis,94328.0,SNOMEDCT_US_2020_09_01:441971007,0,2,treat
