term1,term2,foodb_public_id,nci_disease,is_cause,is_treat,relation
fruits,carotenemia,FOOD00871,NCI:C26963,3,0,cause
fruits,dermatitis,FOOD00871,NCI:C2983,3,0,cause
fruits,hypersensitivity,FOOD00871,NCI:C3114,5,0,cause
garlic,dermatitis,FOOD00008,NCI:C2983,19,0,cause
garlic,hemolytic anemia,FOOD00008,NCI:C34376,5,0,cause
garlic,hypersensitivity,FOOD00008,NCI:C3114,10,0,cause
garlic,rhinitis,FOOD00008,NCI:C34986,18,0,cause
hordeum vulgare,asthma,FOOD00088,NCI:C28397,2,0,cause
horseradish,hypersensitivity,FOOD00018,NCI:C3114,50,0,cause
lemon,endophthalmitis,FOOD00054,NCI:C34586,3,0,cause
lemon,hypersensitivity,FOOD00054,NCI:C3114,5,0,cause
mustard,asthma,FOOD00654,NCI:C28397,2,0,cause
mustard,hypersensitivity,FOOD00654,NCI:C3114,13,0,cause
mustard,pancreatitis,FOOD00654,NCI:C3306,3,0,cause
papaya,hypersensitivity,FOOD00041,NCI:C3114,2,0,cause
pizza,allergic rhinitis,FOOD00637,NCI:C34987,6,0,cause
pizza,asthma,FOOD00637,NCI:C28397,6,0,cause
popcorn,bronchiolitis obliterans,FOOD00719,NCI:C62580,5,0,cause
potato,asthma,FOOD00175,NCI:C28397,2,0,cause
potato,dermatitis,FOOD00175,NCI:C2983,8,0,cause
red wine,breast cancer,FOOD00911,NCI:C9335,3,0,cause
red wine,irritable bowel syndrome,FOOD00911,NCI:C82343,4,0,cause
red wine,migraine,FOOD00911,NCI:C89715,4,0,cause
rice,asthma,FOOD00125,NCI:C28397,6,0,cause
rosemary,asthma,FOOD00159,NCI:C28397,3,0,cause
rye,Celiac Disease,FOOD00169,NCI:C26714,6,0,cause
rye,Celiac disease,FOOD00169,NCI:C26714,22,0,cause
rye,celiac disease,FOOD00169,NCI:C26714,13,0,cause
rye,coeliac disease,FOOD00169,NCI:C26714,6,0,cause
rye,dermatitis,FOOD00169,NCI:C2983,7,0,cause
salt,Metabolic diseases,FOOD00647,NCI:C3235,3,0,cause
salt,diabetes,FOOD00647,NCI:C2985,10,0,cause
salt,gastric cancer,FOOD00647,NCI:C3387,4,0,cause
soy milk,hyperphosphatemia,FOOD00736,NCI:C113750,2,0,cause
sugar,diabetes,FOOD00651,NCI:C2985,11,0,cause
triticum aestivum,Celiac disease,FOOD00187,NCI:C26714,5,0,cause
turkey,Gastric cancer,FOOD00494,NCI:C3387,7,0,cause
turkey,Hypertension,FOOD00494,NCI:C3117,7,0,cause
vanilla,telangiectasia,FOOD00195,NCI:C28194,3,0,cause
wasabi,hypersensitivity,FOOD00498,NCI:C3114,10,0,cause
water,gastroenteritis,FOOD00664,NCI:C34632,2,0,cause
water,lymphadenitis,FOOD00664,NCI:C26978,2,0,cause
wheat,Celiac Disease,FOOD00561,NCI:C26714,6,0,cause
wheat,Celiac disease,FOOD00561,NCI:C26714,60,0,cause
wheat,Coeliac disease,FOOD00561,NCI:C26714,6,0,cause
wheat,asthma,FOOD00561,NCI:C28397,2,0,cause
wheat,coeliac disease,FOOD00561,NCI:C26714,13,0,cause
wheat,dermatitis,FOOD00561,NCI:C2983,11,0,cause
wheat,eczema,FOOD00561,NCI:C2983,9,0,cause
wheat,irritable bowel syndrome,FOOD00561,NCI:C82343,2,0,cause
wheat,osteoporosis,FOOD00561,NCI:C3298,11,0,cause
white bread,diabetes,FOOD00987,NCI:C2985,4,0,cause
white wine,migraine,FOOD00917,NCI:C89715,4,0,cause
