term1,term2,foodb_public_id,entity_id_y,is_cause,is_treat,relation
rosemary,asthma,FOOD00159,DOID:2841,3,0,cause
rye,Celiac Disease,FOOD00169,DOID:10608,6,0,cause
rye,Celiac disease,FOOD00169,DOID:10608,22,0,cause
rye,autoimmune disorder,FOOD00169,DOID:417,2,0,cause
rye,celiac disease,FOOD00169,DOID:10608,13,0,cause
rye,coeliac disease,FOOD00169,DOID:10608,6,0,cause
rye,dermatitis,FOOD00169,DOID:2723,7,0,cause
salt,Metabolic diseases,FOOD00647,DOID:0014667,3,0,cause
salt,diabetes,FOOD00647,DOID:9351,10,0,cause
salt,gastric cancer,FOOD00647,DOID:10534,4,0,cause
soy milk,hyperphosphatemia,FOOD00736,DOID:0050459,2,0,cause
sugar,diabetes,FOOD00651,DOID:9351,11,0,cause
sugar,dyslipidemia,FOOD00651,DOID:3146,3,0,cause
sugar,nonalcoholic fatty liver disease,FOOD00651,DOID:0080208,3,0,cause
tea,acne,FOOD00038,DOID:6543,9,0,cause
triticum aestivum,Celiac disease,FOOD00187,DOID:10608,5,0,cause
turkey,Gastric cancer,FOOD00494,DOID:10534,7,0,cause
turkey,Hypertension,FOOD00494,DOID:10763,7,0,cause
vanilla,telangiectasia,FOOD00195,DOID:1272,3,0,cause
wasabi,hypersensitivity,FOOD00498,DOID:1205,10,0,cause
water,campylobacteriosis,FOOD00664,DOID:13622,5,0,cause
water,gastroenteritis,FOOD00664,DOID:2326,2,0,cause
water,lymphadenitis,FOOD00664,DOID:1602,2,0,cause
water,nephrosis,FOOD00664,DOID:2527,2,0,cause
water,tuberculosis,FOOD00664,DOID:399,3,0,cause
wheat,Celiac Disease,FOOD00561,DOID:10608,6,0,cause
wheat,Celiac disease,FOOD00561,DOID:10608,60,0,cause
wheat,Coeliac disease,FOOD00561,DOID:10608,6,0,cause
wheat,asthma,FOOD00561,DOID:2841,2,0,cause
wheat,autoimmune disease,FOOD00561,DOID:417,2,0,cause
wheat,autoimmune disorder,FOOD00561,DOID:417,26,0,cause
wheat,coeliac disease,FOOD00561,DOID:10608,13,0,cause
wheat,dermatitis,FOOD00561,DOID:2723,11,0,cause
wheat,eczema,FOOD00561,DOID:2723,9,0,cause
wheat,irritable bowel syndrome,FOOD00561,DOID:9778,2,0,cause
wheat,osteoporosis,FOOD00561,DOID:11476,11,0,cause
white bread,diabetes,FOOD00987,DOID:9351,4,0,cause
white wine,migraine,FOOD00917,DOID:6364,4,0,cause
