term1,term2,foodon,efo_disease,is_cause,is_treat,relation
fruit,renal cell carcinoma,http://purl.obolibrary.org/obo/PO_0009001,EFO:0000681,0,5,treat
fruit,stroke,http://purl.obolibrary.org/obo/PO_0009001,EFO:0000712,0,16,treat
fruit,type 2 diabetes,http://purl.obolibrary.org/obo/PO_0009001,EFO:0001360,0,2,treat
"fruits,",stroke,http://purl.obolibrary.org/obo/FOODON_03310387***http://purl.obolibrary.org/obo/FOODON_03301826,EFO:0000712,0,9,treat
garlic,atherosclerosis,http://purl.obolibrary.org/obo/CHEBI_33290,EFO:0003914,0,2,treat
garlic,atherosclerosis,http://purl.obolibrary.org/obo/NCBITaxon_4682,EFO:0003914,0,9,treat
garlic,hepatoma,http://purl.obolibrary.org/obo/NCBITaxon_4682,EFO:0000182,0,3,treat
garlic,hypertension,http://purl.obolibrary.org/obo/NCBITaxon_4682,EFO:0000537,0,16,treat
garlic,myocardial infarction,http://purl.obolibrary.org/obo/NCBITaxon_4682,EFO:0000612,0,2,treat
garlic,stroke,http://purl.obolibrary.org/obo/NCBITaxon_4682,EFO:0000712,0,6,treat
ginger,Alzheimer's disease,http://purl.obolibrary.org/obo/NCBITaxon_94328,EFO:0000249,0,6,treat
ginger,asthma,http://purl.obolibrary.org/obo/NCBITaxon_94328,EFO:0000270,0,4,treat
ginger,hypertension,http://purl.obolibrary.org/obo/FOODON_03303380,EFO:0000537,0,3,treat
ginger,hypertension,http://purl.obolibrary.org/obo/NCBITaxon_94328,EFO:0000537,0,6,treat
ginger,inflammatory bowel diseases,http://purl.obolibrary.org/obo/NCBITaxon_94328,EFO:0003767,0,2,treat
ginger,migraine,http://purl.obolibrary.org/obo/NCBITaxon_94328,EFO:0003821,0,7,treat
ginger,obesity,http://purl.obolibrary.org/obo/NCBITaxon_94328,EFO:0001073,0,9,treat
ginseng,type 2 diabetes,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,EFO:0001360,0,9,treat
grape juice,hypertension,http://purl.obolibrary.org/obo/FOODON_00001926***http://purl.obolibrary.org/obo/FOODON_03301127,EFO:0000537,0,3,treat
grapefruit,Parkinson's disease,http://purl.obolibrary.org/obo/FOODON_03301702***http://purl.obolibrary.org/obo/NCBITaxon_37656,EFO:0002508,0,3,treat
grapefruit,hypertension,http://purl.obolibrary.org/obo/FOODON_03301702***http://purl.obolibrary.org/obo/NCBITaxon_37656,EFO:0000537,0,5,treat
grapes,atherosclerosis,http://purl.obolibrary.org/obo/FOODON_03301072,EFO:0003914,0,4,treat
hawthorn,Hypertension,http://purl.obolibrary.org/obo/NCBITaxon_94328,EFO:0000537,0,11,treat
honey,psoriasis,http://purl.obolibrary.org/obo/UBERON_0036016,EFO:0000676,0,3,treat
honey,stroke,http://purl.obolibrary.org/obo/UBERON_0036016,EFO:0000712,0,2,treat
honey,type 2 diabetes,http://purl.obolibrary.org/obo/UBERON_0036016,EFO:0001360,0,4,treat
kiwi,hypertension,http://purl.obolibrary.org/obo/FOODON_03414363,EFO:0000537,0,8,treat
lemon,Alzheimer's disease,http://purl.obolibrary.org/obo/FOODON_03301441,EFO:0000249,0,3,treat
milk,gout,http://purl.obolibrary.org/obo/UBERON_0001913,EFO:0004274,0,3,treat
milk,stroke,http://purl.obolibrary.org/obo/UBERON_0001913,EFO:0000712,0,7,treat
milk,type 2 diabetes,http://purl.obolibrary.org/obo/UBERON_0001913,EFO:0001360,0,2,treat
milk products,hypertension,http://purl.obolibrary.org/obo/UBERON_0001913,EFO:0000537,0,4,treat
nuts,atherosclerosis,http://purl.obolibrary.org/obo/FOODON_03301072,EFO:0003914,0,4,treat
nuts,epilepsy,http://purl.obolibrary.org/obo/FOODON_03310387***http://purl.obolibrary.org/obo/FOODON_03301826,EFO:0000474,0,6,treat
nuts,stroke,http://purl.obolibrary.org/obo/FOODON_03310387***http://purl.obolibrary.org/obo/FOODON_03301826,EFO:0000712,0,6,treat
nuts,type 2 diabetes,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,EFO:0001360,0,3,treat
oats,celiac disease,http://purl.obolibrary.org/obo/FOODON_03315188***http://purl.obolibrary.org/obo/NCBITaxon_4498,EFO:0001060,0,5,treat
oats,coeliac disease,http://purl.obolibrary.org/obo/FOODON_03315188***http://purl.obolibrary.org/obo/NCBITaxon_4498,EFO:0001060,0,5,treat
oats,inflammatory bowel disease,http://purl.obolibrary.org/obo/FOODON_03315188***http://purl.obolibrary.org/obo/NCBITaxon_4498,EFO:0003767,0,5,treat
olive oil,Alzheimer's disease,http://purl.obolibrary.org/obo/FOODON_03310387***http://purl.obolibrary.org/obo/FOODON_03301826,EFO:0000249,0,3,treat
olive oil,atherosclerosis,http://purl.obolibrary.org/obo/FOODON_03310387***http://purl.obolibrary.org/obo/FOODON_03301826,EFO:0003914,0,3,treat
olive oil,coronary heart disease,http://purl.obolibrary.org/obo/FOODON_03310387***http://purl.obolibrary.org/obo/FOODON_03301826,EFO:0001645,0,16,treat
olive oil,epilepsy,http://purl.obolibrary.org/obo/FOODON_03310387***http://purl.obolibrary.org/obo/FOODON_03301826,EFO:0000474,0,6,treat
olive oil,hypertension,http://purl.obolibrary.org/obo/FOODON_03310387***http://purl.obolibrary.org/obo/FOODON_03301826,EFO:0000537,0,10,treat
olive oil,obesity,http://purl.obolibrary.org/obo/FOODON_03310387***http://purl.obolibrary.org/obo/FOODON_03301826,EFO:0001073,0,3,treat
olive oil,osteoporosis,http://purl.obolibrary.org/obo/FOODON_03310387***http://purl.obolibrary.org/obo/FOODON_03301826,EFO:0003882,0,4,treat
olive oil,stroke,http://purl.obolibrary.org/obo/FOODON_03310387***http://purl.obolibrary.org/obo/FOODON_03301826,EFO:0000712,0,16,treat
olive oil,type 2 diabetes,http://purl.obolibrary.org/obo/FOODON_03310387***http://purl.obolibrary.org/obo/FOODON_03301826,EFO:0001360,0,19,treat
olive oil mixture,psoriasis,http://purl.obolibrary.org/obo/UBERON_0036016,EFO:0000676,0,3,treat
onion,hypertension,http://purl.obolibrary.org/obo/FOODON_03316347***http://purl.obolibrary.org/obo/NCBITaxon_4679,EFO:0000537,0,8,treat
potato,renal cell carcinoma,http://purl.obolibrary.org/obo/NCBITaxon_4113,EFO:0000681,0,20,treat
pulses,type 2 diabetes,http://purl.obolibrary.org/obo/NCBITaxon_3888,EFO:0001360,0,4,treat
red wine,cerebrovascular disease,http://purl.obolibrary.org/obo/FOODON_03310272,EFO:0000712,0,3,treat
red wine,coronary heart disease,http://purl.obolibrary.org/obo/FOODON_03310272,EFO:0001645,0,11,treat
red wine,coronary heart diseases,http://purl.obolibrary.org/obo/FOODON_03310272,EFO:0001645,0,2,treat
red wine,type 2 diabetes,http://purl.obolibrary.org/obo/FOODON_03310272,EFO:0001360,0,4,treat
rice,atopic dermatitis,http://purl.obolibrary.org/obo/NCBITaxon_4530,EFO:0000274,0,3,treat
salt,stroke,http://purl.obolibrary.org/obo/CHEBI_24866,EFO:0000712,0,3,treat
sweet potato,renal cell carcinoma,http://purl.obolibrary.org/obo/NCBITaxon_4113***http://purl.obolibrary.org/obo/NCBITaxon_4120,EFO:0000681,0,20,treat
thistle,Type 2 diabetes mellitus,http://purl.obolibrary.org/obo/UBERON_0001913,EFO:0001360,0,6,treat
water,hypertension,http://purl.obolibrary.org/obo/ENVO_00002006,EFO:0000537,0,4,treat
water,obesity,http://purl.obolibrary.org/obo/ENVO_00002006,EFO:0001073,0,3,treat
well-known spice,hypertension,http://purl.obolibrary.org/obo/FOODON_03303380,EFO:0000537,0,3,treat
whey,type 2 diabetes,http://purl.obolibrary.org/obo/UBERON_0001913,EFO:0001360,0,7,treat
yogurt,type 2 diabetes,http://purl.obolibrary.org/obo/UBERON_0001913,EFO:0001360,0,7,treat
