term1,term2,itis_id,omim_disease,is_cause,is_treat,relation
hibiscus sabdariffa,obesity,503001.0,OMIM:601665,0,2,treat
ipomoea batatas,type 2 diabetes,30764.0,OMIM:601283,0,4,treat
ipomoea batatas,type 2 diabetes mellitus,30764.0,OMIM:601283,0,3,treat
lemon,allergic rhinitis,28885.0,OMIM:607154,0,2,treat
lemon,asthma,28885.0,OMIM:600807,0,2,treat
lemon,gastroesophageal reflux,28885.0,OMIM:109350,0,2,treat
lentils,type 2 diabetes,503364.0,OMIM:601283,0,4,treat
linum usitatissimum,migraine,29226.0,OMIM:157300,0,3,treat
lupinus albus,celiac disease,503572.0,OMIM:611598,0,2,treat
mangifera indica,asthma,28803.0,OMIM:600807,0,2,treat
mulberry,obesity,19064.0,OMIM:601665,0,3,treat
oryza sativa,celiac disease,41976.0,OMIM:611598,0,2,treat
panax,alopecia,29398.0,OMIM:PS203655,0,2,treat
panax,migraine,29398.0,OMIM:157300,0,3,treat
panax,obesity,29398.0,OMIM:601665,0,2,treat
papaya,prostate cancer,22324.0,OMIM:608658,0,15,treat
pisum sativum,asthma,26867.0,OMIM:600807,0,2,treat
pomegranate,prostate cancer,27278.0,OMIM:608658,0,5,treat
potato,renal cell carcinoma,505272.0,OMIM:300854,0,20,treat
punica granatum,psoriasis,27278.0,OMIM:PS177900,0,3,treat
raphanus sativus,asthma,23290.0,OMIM:600807,0,2,treat
rice,atopic dermatitis,41976.0,OMIM:603165,0,3,treat
rice,celiac disease,41976.0,OMIM:611598,0,2,treat
saffron,asthma,501794.0,OMIM:600807,0,3,treat
sisymbrium,asthma,23311.0,OMIM:600807,0,2,treat
soy bean,pancreatitis,26716.0,OMIM:167800,0,4,treat
sweet potato,renal cell carcinoma,30764.0,OMIM:300854,0,20,treat
tea,breast cancer,506801.0,OMIM:114480,0,10,treat
tea,colorectal cancer,506801.0,OMIM:114500,0,3,treat
tea,coronary disease,506801.0,OMIM:614293,0,8,treat
tea,obesity,506801.0,OMIM:601665,0,13,treat
tea,osteoporosis,506801.0,OMIM:166710,0,2,treat
thistle,Type 2 diabetes mellitus,36334.0,OMIM:601283,0,6,treat
vaccinium macrocarpon,psoriasis,23599.0,OMIM:PS177900,0,3,treat
vaccinium vitis-idaea,obesity,505637.0,OMIM:601665,0,4,treat
watermelon,prostate cancer,22356.0,OMIM:608658,0,5,treat
wheat,neural tube defects,42236.0,OMIM:301410,0,5,treat
zea mays,celiac disease,42269.0,OMIM:611598,0,2,treat
zingiber officinale,colorectal cancer,42402.0,OMIM:114500,0,5,treat
zingiber officinale,hepatoma,42402.0,OMIM:114550,0,2,treat
zingiber officinale,motion sickness,42402.0,OMIM:158280,0,2,treat
zingiber officinale,obesity,42402.0,OMIM:601665,0,5,treat
zingiber officinale,type 2 diabetes mellitus,42402.0,OMIM:601283,0,3,treat
