term1,term2,foodb_public_id,mesh_disease,is_cause,is_treat,relation
mustard,pancreatitis,FOOD00654,MESH:D010195,3,0,cause
papaya,hypersensitivity,FOOD00041,MESH:D006967,2,0,cause
peanut,atopic dermatitis,FOOD00016,MESH:D003876,3,0,cause
phaseolus vulgaris,diarrhoea,FOOD00134,MESH:D004403,2,0,cause
phaseolus vulgaris,diarrhoea,FOOD00882,MESH:D004403,2,0,cause
phaseolus vulgaris,diarrhoea,FOOD00883,MESH:D004403,2,0,cause
pizza,asthma,FOOD00637,MESH:D001249,6,0,cause
popcorn,bronchiolitis obliterans,FOOD00719,MESH:D001989,5,0,cause
potato,asthma,FOOD00175,MESH:D001249,2,0,cause
potato,dermatitis,FOOD00175,MESH:D003872,8,0,cause
rabbit,atopic dermatitis,FOOD00528,MESH:D003876,3,0,cause
red wine,breast cancer,FOOD00911,MESH:D001943,3,0,cause
red wine,diarrhea,FOOD00911,MESH:D004403,8,0,cause
red wine,diarrhoea,FOOD00911,MESH:D004403,5,0,cause
red wine,irritable bowel syndrome,FOOD00911,MESH:D043183,4,0,cause
red wine,migraine,FOOD00911,MESH:D008881,4,0,cause
rice,asthma,FOOD00125,MESH:D001249,6,0,cause
rosemary,asthma,FOOD00159,MESH:D001249,3,0,cause
rye,Celiac Disease,FOOD00169,MESH:D002446,6,0,cause
rye,Celiac disease,FOOD00169,MESH:D002446,22,0,cause
rye,celiac disease,FOOD00169,MESH:D002446,13,0,cause
rye,coeliac disease,FOOD00169,MESH:D002446,6,0,cause
rye,dermatitis,FOOD00169,MESH:D003872,7,0,cause
salt,Metabolic diseases,FOOD00647,MESH:D008659,3,0,cause
salt,diabetes,FOOD00647,MESH:D003920,10,0,cause
salt,gastric cancer,FOOD00647,MESH:D013274,4,0,cause
soy milk,hyperphosphatemia,FOOD00736,MESH:D054559,2,0,cause
sugar,diabetes,FOOD00651,MESH:D003920,11,0,cause
sugar,dyslipidemia,FOOD00651,MESH:D008052,3,0,cause
tea,acne,FOOD00038,MESH:D000152,9,0,cause
triticum aestivum,Celiac disease,FOOD00187,MESH:D002446,5,0,cause
turkey,Gastric cancer,FOOD00494,MESH:D013274,7,0,cause
turkey,Hypertension,FOOD00494,MESH:D006973,7,0,cause
vanilla,telangiectasia,FOOD00195,MESH:D013684,3,0,cause
wasabi,hypersensitivity,FOOD00498,MESH:D006967,10,0,cause
water,campylobacteriosis,FOOD00664,MESH:D002169,5,0,cause
water,gastroenteritis,FOOD00664,MESH:D005759,2,0,cause
water,lymphadenitis,FOOD00664,MESH:D008199,2,0,cause
water,nephrosis,FOOD00664,MESH:D009401,2,0,cause
water,tuberculosis,FOOD00664,MESH:D014375,3,0,cause
wheat,Celiac Disease,FOOD00561,MESH:D002446,6,0,cause
wheat,Celiac disease,FOOD00561,MESH:D002446,60,0,cause
wheat,Coeliac disease,FOOD00561,MESH:D002446,6,0,cause
wheat,asthma,FOOD00561,MESH:D001249,2,0,cause
wheat,coeliac disease,FOOD00561,MESH:D002446,13,0,cause
wheat,dermatitis,FOOD00561,MESH:D003872,11,0,cause
wheat,eczema,FOOD00561,MESH:D003872,9,0,cause
wheat,irritable bowel syndrome,FOOD00561,MESH:D043183,2,0,cause
wheat,osteoporosis,FOOD00561,MESH:D010024,11,0,cause
white bread,diabetes,FOOD00987,MESH:D003920,4,0,cause
white wine,migraine,FOOD00917,MESH:D008881,4,0,cause
