term1,term2,wikipedia_id,snomedct_disease,is_cause,is_treat,relation
rye,celiac disease,Rye,SNOMEDCT_US_2020_09_01:197477005,13,0,cause
rye,coeliac disease,Rye,SNOMEDCT_US_2020_09_01:197477005,6,0,cause
rye,dermatitis,Rye,SNOMEDCT_US_2020_09_01:238538009,7,0,cause
salt,Metabolic diseases,Salt,SNOMEDCT_US_2020_09_01:75934005,3,0,cause
salt,diabetes,Salt,SNOMEDCT_US_2020_09_01:267467004,10,0,cause
salt,gastric cancer,Salt,SNOMEDCT_US_2020_09_01:126824007,4,0,cause
soy milk,hyperphosphatemia,Soy_milk,SNOMEDCT_US_2020_09_01:20165001,2,0,cause
sugar,diabetes,Sugar,SNOMEDCT_US_2020_09_01:267467004,11,0,cause
tea,acne,Tea,SNOMEDCT_US_2020_09_01:11381005,9,0,cause
triticum aestivum,Celiac disease,Common wheat,SNOMEDCT_US_2020_09_01:197477005,5,0,cause
turkey,Gastric cancer,Meleagris_gallopavo,SNOMEDCT_US_2020_09_01:126824007,7,0,cause
turkey,Hypertension,Meleagris_gallopavo,SNOMEDCT_US_2020_09_01:38341003,7,0,cause
vanilla,telangiectasia,Vanilla,SNOMEDCT_US_2020_09_01:112641009,3,0,cause
wasabi,hypersensitivity,Wasabi,SNOMEDCT_US_2020_09_01:257550005,10,0,cause
water,campylobacteriosis,Water,SNOMEDCT_US_2020_09_01:86500004,5,0,cause
water,gastroenteritis,Water,SNOMEDCT_US_2020_09_01:154278002,2,0,cause
water,lymphadenitis,Water,SNOMEDCT_US_2020_09_01:19471005,2,0,cause
water,nephrosis,Water,SNOMEDCT_US_2020_09_01:90708001,2,0,cause
water,tuberculosis,Water,SNOMEDCT_US_2020_09_01:15202009,3,0,cause
wheat,Celiac Disease,Wheat,SNOMEDCT_US_2020_09_01:197477005,6,0,cause
wheat,Celiac disease,Wheat,SNOMEDCT_US_2020_09_01:197477005,60,0,cause
wheat,Coeliac disease,Wheat,SNOMEDCT_US_2020_09_01:197477005,6,0,cause
wheat,asthma,Wheat,SNOMEDCT_US_2020_09_01:187687003,2,0,cause
wheat,coeliac disease,Wheat,SNOMEDCT_US_2020_09_01:197477005,13,0,cause
wheat,dermatitis,Wheat,SNOMEDCT_US_2020_09_01:238538009,11,0,cause
wheat,eczema,Wheat,SNOMEDCT_US_2020_09_01:238538009,9,0,cause
wheat,irritable bowel syndrome,Wheat,SNOMEDCT_US_2020_09_01:155783000,2,0,cause
wheat,osteoporosis,Wheat,SNOMEDCT_US_2020_09_01:156825006,11,0,cause
