term1,term2,foodon,mesh_disease,is_cause,is_treat,relation
beverages,telangiectasia,http://purl.obolibrary.org/obo/NCBITaxon_51238***http://purl.obolibrary.org/obo/FOODON_03411355,MESH:D013684,3,0,cause
calcium,pericardial effusion,http://purl.obolibrary.org/obo/UBERON_0001913,MESH:D010490,3,0,cause
candy,stomatitis,http://purl.obolibrary.org/obo/FOODON_03301051,MESH:D013280,6,0,cause
carrot,dermatitis,http://purl.obolibrary.org/obo/NCBITaxon_4113,MESH:D003872,4,0,cause
cheese,Migraine,http://purl.obolibrary.org/obo/CHEBI_33290,MESH:D008881,2,0,cause
cheese,Migraine,http://purl.obolibrary.org/obo/FOODON_03307240,MESH:D008881,2,0,cause
cheese,migraine,http://purl.obolibrary.org/obo/CHEBI_33290,MESH:D008881,2,0,cause
cheese,migraine,http://purl.obolibrary.org/obo/FOODON_03307240,MESH:D008881,12,0,cause
chicken,obesity,http://purl.obolibrary.org/obo/NCBITaxon_9031***http://purl.obolibrary.org/obo/FOODON_03411457,MESH:D009765,2,0,cause
chocolate,Migraine,http://purl.obolibrary.org/obo/FOODON_03307240,MESH:D008881,2,0,cause
chocolate,Pertussis,http://purl.obolibrary.org/obo/FOODON_03307240,MESH:D001885,2,0,cause
chocolate,acne,http://purl.obolibrary.org/obo/FOODON_03307240,MESH:D000152,10,0,cause
chocolate,atrial fibrillation,http://purl.obolibrary.org/obo/FOODON_03307240,MESH:D001281,3,0,cause
chocolate,hyperglycemia,http://purl.obolibrary.org/obo/FOODON_03307240,MESH:D006943,4,0,cause
chocolate,migraine,http://purl.obolibrary.org/obo/FOODON_03307240,MESH:D008881,8,0,cause
chocolate,obesity,http://purl.obolibrary.org/obo/FOODON_03307240,MESH:D009765,9,0,cause
cinnamon,dermatitis,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,MESH:D003872,3,0,cause
cinnamon,hypersensitivity,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,MESH:D006967,10,0,cause
cinnamon,stomatitis,http://purl.obolibrary.org/obo/CHEBI_33290,MESH:D013280,6,0,cause
cinnamon,stomatitis,http://purl.obolibrary.org/obo/FOODON_03301051,MESH:D013280,6,0,cause
cinnamon,telangiectasia,http://purl.obolibrary.org/obo/NCBITaxon_51238***http://purl.obolibrary.org/obo/FOODON_03411355,MESH:D013684,3,0,cause
coffee,acne,http://purl.obolibrary.org/obo/FOODON_03307240,MESH:D000152,8,0,cause
corn,rhinitis,http://purl.obolibrary.org/obo/NCBITaxon_381124,MESH:D012220,3,0,cause
drinking beer,angioedema,http://purl.obolibrary.org/obo/FOODON_03301619,MESH:D000799,5,0,cause
eggs,acne,http://purl.obolibrary.org/obo/FOODON_03307240,MESH:D000152,8,0,cause
flour,asthma,http://purl.obolibrary.org/obo/FOODON_03301116,MESH:D001249,26,0,cause
flour,asthma,http://purl.obolibrary.org/obo/NCBITaxon_4513,MESH:D001249,2,0,cause
flour,asthma,http://purl.obolibrary.org/obo/NCBITaxon_89151***http://purl.obolibrary.org/obo/NCBITaxon_4641,MESH:D001249,2,0,cause
flour,hypersensitivity pneumonitis,http://purl.obolibrary.org/obo/FOODON_03301116,MESH:D000542,3,0,cause
flour,rhinitis,http://purl.obolibrary.org/obo/FOODON_03301116,MESH:D012220,6,0,cause
flour dust,asthma,http://purl.obolibrary.org/obo/FOODON_03500035***http://purl.obolibrary.org/obo/FOODON_03420309,MESH:D001249,2,0,cause
flour mill,bronchitis,http://purl.obolibrary.org/obo/FOODON_03301116,MESH:D001991,6,0,cause
food rich,diarrhoea,http://purl.obolibrary.org/obo/CHEBI_33290,MESH:D004403,3,0,cause
fruit,gastroesophageal reflux,http://purl.obolibrary.org/obo/PO_0009001,MESH:D005764,3,0,cause
fruit,hypersensitivity,http://purl.obolibrary.org/obo/PO_0009001,MESH:D006967,13,0,cause
fruit,uremia,http://purl.obolibrary.org/obo/PO_0009001,MESH:D014511,2,0,cause
fruits,allergic conjunctivitis,http://purl.obolibrary.org/obo/CHEBI_33290,MESH:D003233,3,0,cause
garlic,asthma,http://purl.obolibrary.org/obo/CHEBI_33290,MESH:D001249,6,0,cause
garlic,asthma,http://purl.obolibrary.org/obo/NCBITaxon_4682,MESH:D001249,19,0,cause
garlic,dermatitis,http://purl.obolibrary.org/obo/NCBITaxon_4682,MESH:D003872,6,0,cause
garlic,hemolytic anemia,http://purl.obolibrary.org/obo/NCBITaxon_4682,MESH:D000743,5,0,cause
garlic,hypersensitivity,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,MESH:D006967,10,0,cause
garlic,rhinitis,http://purl.obolibrary.org/obo/CHEBI_33290,MESH:D012220,6,0,cause
garlic,rhinitis,http://purl.obolibrary.org/obo/NCBITaxon_4682,MESH:D012220,12,0,cause
harmful effects,hypertension,http://purl.obolibrary.org/obo/FOODON_03310272,MESH:D006973,2,0,cause
horseradish,hypersensitivity,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,MESH:D006967,10,0,cause
horseradish,hypersensitivity,http://purl.obolibrary.org/obo/FOODON_03316284,MESH:D006967,10,0,cause
horseradish,hypersensitivity,http://purl.obolibrary.org/obo/FOODON_03316347***http://purl.obolibrary.org/obo/NCBITaxon_4679,MESH:D006967,10,0,cause
horseradish,hypersensitivity,http://purl.obolibrary.org/obo/NCBITaxon_4682,MESH:D006967,10,0,cause
lamb,asthma,http://purl.obolibrary.org/obo/FOODON_03411669,MESH:D001249,2,0,cause
lemon,endophthalmitis,http://purl.obolibrary.org/obo/FOODON_03301441,MESH:D009877,3,0,cause
liquid,dental caries,http://purl.obolibrary.org/obo/FOODON_03412974,MESH:D003731,3,0,cause
liver,Colorectal cancer,http://purl.obolibrary.org/obo/UBERON_0002107,MESH:D015179,5,0,cause
liver,Gaucher disease,http://purl.obolibrary.org/obo/UBERON_0002107,MESH:D005776,2,0,cause
liver,Obesity,http://purl.obolibrary.org/obo/UBERON_0002107,MESH:D009765,2,0,cause
liver,Wilson disease,http://purl.obolibrary.org/obo/UBERON_0002107,MESH:D006527,3,0,cause
liver,fatty liver syndrome,http://purl.obolibrary.org/obo/UBERON_0002107,MESH:D005235,2,0,cause
liver,portal hypertension,http://purl.obolibrary.org/obo/UBERON_0002107,MESH:D006975,2,0,cause
milk,Asthma,http://purl.obolibrary.org/obo/UBERON_0001913,MESH:D001249,3,0,cause
milk,Breast carcinoma,http://purl.obolibrary.org/obo/UBERON_0001913,MESH:D001943,10,0,cause
milk,Campylobacteriosis,http://purl.obolibrary.org/obo/UBERON_0001913,MESH:D002169,4,0,cause
milk,Eosinophilic esophagitis,http://purl.obolibrary.org/obo/UBERON_0001913,MESH:D057765,7,0,cause
milk,Hydatidosis,http://purl.obolibrary.org/obo/UBERON_0001913,MESH:D004443,2,0,cause
milk,Mastitis,http://purl.obolibrary.org/obo/UBERON_0001913,MESH:D008413,7,0,cause
milk,Rift Valley fever,http://purl.obolibrary.org/obo/UBERON_0001913,MESH:D012295,2,0,cause
milk,Tick-borne encephalitis,http://purl.obolibrary.org/obo/UBERON_0001913,MESH:D004675,4,0,cause
milk,acne,http://purl.obolibrary.org/obo/UBERON_0001913,MESH:D000152,2,0,cause
milk,amenorrhea,http://purl.obolibrary.org/obo/UBERON_0001913,MESH:D000568,5,0,cause
milk,campylobacteriosis,http://purl.obolibrary.org/obo/UBERON_0001913,MESH:D002169,2,0,cause
milk,coronary heart disease,http://purl.obolibrary.org/obo/UBERON_0001913,MESH:D003324,5,0,cause
milk,diabetic ketoacidosis,http://purl.obolibrary.org/obo/UBERON_0001913,MESH:D016883,4,0,cause
milk,diarrhea,http://purl.obolibrary.org/obo/UBERON_0001913,MESH:D004403,5,0,cause
milk,eczema,http://purl.obolibrary.org/obo/UBERON_0001913,MESH:D003872,2,0,cause
milk,hyperphosphatemia,http://purl.obolibrary.org/obo/UBERON_0001913,MESH:D054559,2,0,cause
milk,hyperprolactinemia,http://purl.obolibrary.org/obo/UBERON_0001913,MESH:D002640,2,0,cause
milk,invasive ductal carcinoma,http://purl.obolibrary.org/obo/UBERON_0001913,MESH:D018270,3,0,cause
milk,myocarditis,http://purl.obolibrary.org/obo/UBERON_0001913,MESH:D009205,2,0,cause
milk,ovarian cancer,http://purl.obolibrary.org/obo/UBERON_0001913,MESH:D010051,3,0,cause
milk,pancreatitis,http://purl.obolibrary.org/obo/UBERON_0001913,MESH:D010195,8,0,cause
milk products,campylobacteriosis,http://purl.obolibrary.org/obo/UBERON_0001913,MESH:D002169,3,0,cause
mustard,hypersensitivity,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,MESH:D006967,10,0,cause
oats,Celiac disease,http://purl.obolibrary.org/obo/FOODON_03315188***http://purl.obolibrary.org/obo/NCBITaxon_4498,MESH:D002446,15,0,cause
oats,dermatitis,http://purl.obolibrary.org/obo/FOODON_03315188***http://purl.obolibrary.org/obo/NCBITaxon_4498,MESH:D003872,11,0,cause
onion,asthma,http://purl.obolibrary.org/obo/FOODON_03316347***http://purl.obolibrary.org/obo/NCBITaxon_4679,MESH:D001249,5,0,cause
potato,dermatitis,http://purl.obolibrary.org/obo/NCBITaxon_4039,MESH:D003872,4,0,cause
potato,dermatitis,http://purl.obolibrary.org/obo/NCBITaxon_4113,MESH:D003872,4,0,cause
rabbit,atopic dermatitis,http://purl.obolibrary.org/obo/GAZ_00000558***http://purl.obolibrary.org/obo/NCBITaxon_9103,MESH:D003876,3,0,cause
red wine,breast cancer,http://purl.obolibrary.org/obo/FOODON_03310272,MESH:D001943,3,0,cause
red wine,diarrhea,http://purl.obolibrary.org/obo/FOODON_03310272,MESH:D004403,8,0,cause
red wine,diarrhoea,http://purl.obolibrary.org/obo/FOODON_03310272,MESH:D004403,5,0,cause
red wine,irritable bowel syndrome,http://purl.obolibrary.org/obo/FOODON_03310272,MESH:D043183,4,0,cause
red wine,migraine,http://purl.obolibrary.org/obo/FOODON_03310272,MESH:D008881,4,0,cause
rice,asthma,http://purl.obolibrary.org/obo/NCBITaxon_4530,MESH:D001249,6,0,cause
rye,Celiac Disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,MESH:D002446,6,0,cause
rye,Celiac disease,http://purl.obolibrary.org/obo/FOODON_03315188***http://purl.obolibrary.org/obo/NCBITaxon_4498,MESH:D002446,6,0,cause
salt,diabetes,http://purl.obolibrary.org/obo/CHEBI_24866,MESH:D003920,4,0,cause
salt,diabetes,http://purl.obolibrary.org/obo/FOODON_03420108,MESH:D003920,3,0,cause
salt,gastric cancer,http://purl.obolibrary.org/obo/CHEBI_24866,MESH:D013274,2,0,cause
salt,obesity,http://purl.obolibrary.org/obo/CHEBI_24866,MESH:D009765,2,0,cause
soy milk,hyperphosphatemia,http://purl.obolibrary.org/obo/UBERON_0001913,MESH:D054559,2,0,cause
sugar,diabetes,http://purl.obolibrary.org/obo/CHEBI_24866,MESH:D003920,3,0,cause
sugar,diabetes,http://purl.obolibrary.org/obo/FOODON_03420108,MESH:D003920,5,0,cause
sugar,dyslipidemia,http://purl.obolibrary.org/obo/FOODON_03420108,MESH:D008052,3,0,cause
sugar,obesity,http://purl.obolibrary.org/obo/FOODON_03307240,MESH:D009765,4,0,cause
thyme,asthma,http://purl.obolibrary.org/obo/NCBITaxon_49992,MESH:D001249,3,0,cause
trigger,asthma,http://purl.obolibrary.org/obo/CHEBI_33290,MESH:D001249,2,0,cause
turkey,Gastric cancer,http://purl.obolibrary.org/obo/GAZ_00000558***http://purl.obolibrary.org/obo/NCBITaxon_9103,MESH:D013274,7,0,cause
turkey,Hypertension,http://purl.obolibrary.org/obo/GAZ_00000558***http://purl.obolibrary.org/obo/NCBITaxon_9103,MESH:D006973,7,0,cause
unpasteurized animal milk,campylobacteriosis,http://purl.obolibrary.org/obo/UBERON_0001913,MESH:D002169,3,0,cause
vegetable oil,pneumonia,http://purl.obolibrary.org/obo/FOODON_03305263***http://purl.obolibrary.org/obo/FOODON_03310387,MESH:D011014,2,0,cause
wasabi,hypersensitivity,http://purl.obolibrary.org/obo/FOODON_03316284,MESH:D006967,10,0,cause
water,campylobacteriosis,http://purl.obolibrary.org/obo/ENVO_00002006,MESH:D002169,2,0,cause
water,campylobacteriosis,http://purl.obolibrary.org/obo/UBERON_0001913,MESH:D002169,3,0,cause
water,gastroenteritis,http://purl.obolibrary.org/obo/ENVO_00002006,MESH:D005759,2,0,cause
water,lymphadenitis,http://purl.obolibrary.org/obo/ENVO_00002006,MESH:D008199,2,0,cause
water,nephrosis,http://purl.obolibrary.org/obo/ENVO_00002006,MESH:D009401,2,0,cause
water,tuberculosis,http://purl.obolibrary.org/obo/ENVO_00002006,MESH:D014375,3,0,cause
wheat,Celiac Disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,MESH:D002446,6,0,cause
white bread,diabetes,http://purl.obolibrary.org/obo/FOODON_03301055,MESH:D003920,4,0,cause
white wine,migraine,http://purl.obolibrary.org/obo/FOODON_03310273,MESH:D008881,4,0,cause
wood,asthma,http://purl.obolibrary.org/obo/FOODON_03500035***http://purl.obolibrary.org/obo/FOODON_03420309,MESH:D001249,2,0,cause
