term1,term2,hansardClosest,nci_disease,is_cause,is_treat,relation
liver,portal hypertension,AE.08,NCI:C3119,2,0,cause
meat,Multiple Sclerosis,AG.01,NCI:C3243,3,0,cause
meat,colorectal cancer,AG.01,NCI:C4978,3,0,cause
meat,gout,AG.01,NCI:C34650,2,0,cause
milk,Asthma,AE.10,NCI:C28397,3,0,cause
milk,Breast carcinoma,AE.10,NCI:C4872,10,0,cause
milk,Eosinophilic esophagitis,AE.10,NCI:C27105,7,0,cause
milk,Hydatidosis,AE.10,NCI:C84682,2,0,cause
milk,Mastitis,AE.10,NCI:C53662,7,0,cause
milk,Rift Valley fever,AE.10,NCI:C128419,2,0,cause
milk,amenorrhea,AE.10,NCI:C61443,5,0,cause
milk,coronary heart disease,AE.10,NCI:C50625,5,0,cause
milk,diabetic ketoacidosis,AE.10,NCI:C50530,4,0,cause
milk,eczema,AE.10,NCI:C2983,2,0,cause
milk,hyperphosphatemia,AE.10,NCI:C113750,2,0,cause
milk,invasive ductal carcinoma,AE.10,NCI:C4017,3,0,cause
milk,myocarditis,AE.10,NCI:C34831,2,0,cause
milk,ovarian cancer,AE.10,NCI:C7431,3,0,cause
milk,pancreatitis,AE.10,NCI:C3306,8,0,cause
mustard,hypersensitivity,AE.13.a,NCI:C3114,10,0,cause
mustard,pancreatitis,AG.01.l.03,NCI:C3306,3,0,cause
oats,Celiac disease,AG.01.i,NCI:C26714,15,0,cause
oats,dermatitis,AG.01.i,NCI:C2983,11,0,cause
onion,asthma,AG.01.h.02.e,NCI:C28397,5,0,cause
potato,asthma,AG.01,NCI:C28397,2,0,cause
potato,dermatitis,AG.01.h.02.a,NCI:C2983,8,0,cause
red wine,breast cancer,AG.01,NCI:C9335,3,0,cause
red wine,irritable bowel syndrome,AG.01,NCI:C82343,4,0,cause
red wine,migraine,AG.01,NCI:C89715,4,0,cause
related cereal,Celiac disease,AG.01.i,NCI:C26714,8,0,cause
rice,asthma,AF.20.g,NCI:C28397,6,0,cause
rosemary,asthma,AF.28,NCI:C28397,3,0,cause
rye,Celiac Disease,AG.01.i,NCI:C26714,6,0,cause
rye,Celiac disease,AG.01.i,NCI:C26714,14,0,cause
rye flour,allergic rhinitis,AG.01.j,NCI:C34987,8,0,cause
salt,diabetes,AG.01,NCI:C2985,7,0,cause
salt,diabetes,AG.01.f,NCI:C2985,3,0,cause
salt,gastric cancer,AG.01,NCI:C3387,2,0,cause
salt,obesity,AG.01,NCI:C159658,2,0,cause
soy milk,hyperphosphatemia,AE.10,NCI:C113750,2,0,cause
sugar,diabetes,AG.01,NCI:C2985,8,0,cause
sugar,diabetes,AG.01.f,NCI:C2985,3,0,cause
thyme,asthma,AG.01.h.02.i,NCI:C28397,3,0,cause
tomatoes,dermatitis,AG.01.h.02.f,NCI:C2983,3,0,cause
trigger,asthma,AG.01,NCI:C28397,2,0,cause
turkey,Gastric cancer,AG.01.d.06,NCI:C3387,7,0,cause
turkey,Hypertension,AG.01.d.06,NCI:C3117,7,0,cause
vegetable oil,pneumonia,AF.02.a,NCI:C3333,2,0,cause
wasabi,hypersensitivity,AG.01,NCI:C3114,10,0,cause
water,gastroenteritis,AG.01.z,NCI:C34632,2,0,cause
water,lymphadenitis,AG.01.z,NCI:C26978,2,0,cause
wheat,Celiac Disease,AG.01.i,NCI:C26714,6,0,cause
white bread,diabetes,AG.01.n.11,NCI:C2985,4,0,cause
white wine,migraine,AG.01.y.01.a,NCI:C89715,4,0,cause
wood,asthma,AF.10.l,NCI:C28397,2,0,cause
