term1,term2,ncbi_taxonomy_id,mesh_disease,is_cause,is_treat,relation
ginseng,migraine,4054.0,MESH:D008881,0,3,treat
ginseng,obesity,4054.0,MESH:D009765,0,4,treat
ginseng,stroke,4054.0,MESH:D002561,0,2,treat
ginseng,type 2 diabetes,4054.0,MESH:D003924,0,22,treat
glycine max,osteoporosis,3847.0,MESH:D010024,0,2,treat
gossypium,diarrhea,3633.0,MESH:D004403,0,2,treat
grape,atherosclerosis,3603.0,MESH:D050197,0,3,treat
grape,colon cancer,3603.0,MESH:D003110,0,11,treat
grape,diabetes,3603.0,MESH:D003920,0,2,treat
grape,mammary tumor,3603.0,MESH:D001943,0,2,treat
grape,prostate cancer,3603.0,MESH:D011471,0,2,treat
grapefruit,Parkinson's disease,37656.0,MESH:D010300,0,3,treat
grapefruit,hypertension,37656.0,MESH:D006973,0,5,treat
hibiscus sabdariffa,diabetes,183260.0,MESH:D003920,0,3,treat
hibiscus sabdariffa,hypertension,183260.0,MESH:D006973,0,7,treat
hibiscus sabdariffa,obesity,183260.0,MESH:D009765,0,2,treat
ipomoea batatas,hyperglycemia,4120.0,MESH:D006943,0,4,treat
ipomoea batatas,type 2 diabetes,4120.0,MESH:D003924,0,4,treat
ipomoea batatas,type 2 diabetes mellitus,4120.0,MESH:D003924,0,3,treat
kiwi,hypertension,3625.0,MESH:D006973,0,8,treat
lemon,Alzheimer's disease,2708.0,MESH:D000544,0,3,treat
lemon,asthma,2708.0,MESH:D001249,0,2,treat
lemon,gastritis,2708.0,MESH:D005756,0,2,treat
lemon,gastroesophageal reflux,2708.0,MESH:D005764,0,2,treat
lemon,pneumonia,2708.0,MESH:D011014,0,10,treat
lemon,pulmonary fibrosis,2708.0,MESH:D011658,0,10,treat
lentils,type 2 diabetes,3864.0,MESH:D003924,0,4,treat
linum usitatissimum,migraine,4006.0,MESH:D008881,0,3,treat
lupinus albus,celiac disease,3870.0,MESH:D002446,0,2,treat
mangifera indica,asthma,29780.0,MESH:D001249,0,2,treat
millet,diabetes mellitus,4540.0,MESH:D003920,0,4,treat
momordica charantia,diabetes,3673.0,MESH:D003920,0,2,treat
momordica charantia,hyperglycemia,3673.0,MESH:D006943,0,4,treat
mulberry,dyslipidemia,3497.0,MESH:D008052,0,3,treat
mulberry,obesity,3497.0,MESH:D009765,0,3,treat
oat,diabetes,4498.0,MESH:D003920,0,16,treat
opuntia,diabetes,106975.0,MESH:D003920,0,2,treat
opuntia,diabetes mellitus,106975.0,MESH:D003920,0,5,treat
oryza sativa,celiac disease,4530.0,MESH:D002446,0,2,treat
oryza sativa,diabetes,4530.0,MESH:D003920,0,3,treat
panax,alopecia,4054.0,MESH:D000505,0,2,treat
panax,amnesia,4054.0,MESH:D000647,0,2,treat
panax,diabetes,4054.0,MESH:D003920,0,2,treat
panax,hyperglycemia,4054.0,MESH:D006943,0,3,treat
panax,hypertension,4054.0,MESH:D006973,0,3,treat
panax,metabolic diseases,4054.0,MESH:D008659,0,2,treat
panax,migraine,4054.0,MESH:D008881,0,3,treat
panax,obesity,4054.0,MESH:D009765,0,2,treat
panax,stroke,4054.0,MESH:D002561,0,2,treat
papaya,prostate cancer,3649.0,MESH:D011471,0,15,treat
pear,diabetes mellitus,23211.0,MESH:D003920,0,2,treat
pear,metabolic diseases,23211.0,MESH:D008659,0,2,treat
piper nigrum,cancers,13216.0,MESH:D009369,0,15,treat
pisum sativum,anemia,3888.0,MESH:D000740,0,2,treat
pisum sativum,asthma,3888.0,MESH:D001249,0,2,treat
pisum sativum,measles,3888.0,MESH:D008457,0,2,treat
pisum sativum,syphilis,3888.0,MESH:D002601,0,2,treat
pisum sativum,yellow fever,3888.0,MESH:D015004,0,2,treat
pomegranate,colon cancer,22663.0,MESH:D003110,0,10,treat
pomegranate,liver cancer,22663.0,MESH:D008113,0,9,treat
pomegranate,prostate cancer,22663.0,MESH:D011471,0,5,treat
potato,renal cell carcinoma,4113.0,MESH:D002292,0,20,treat
prickly pear,diabetes,106975.0,MESH:D003920,0,3,treat
prunus,diarrhea,3754.0,MESH:D004403,0,3,treat
punica granatum,cystitis,22663.0,MESH:D003556,0,3,treat
punica granatum,diarrhea,22663.0,MESH:D004403,0,2,treat
punica granatum,psoriasis,22663.0,MESH:D011565,0,3,treat
raphanus sativus,anemia,3726.0,MESH:D000740,0,2,treat
raphanus sativus,asthma,3726.0,MESH:D001249,0,2,treat
raphanus sativus,measles,3726.0,MESH:D008457,0,2,treat
rice,atopic dermatitis,4530.0,MESH:D003876,0,3,treat
rice,celiac disease,4530.0,MESH:D002446,0,2,treat
rice,diabetes,4530.0,MESH:D003920,0,3,treat
saffron,asthma,82528.0,MESH:D001249,0,3,treat
saffron,cancers,82528.0,MESH:D009369,0,30,treat
sisymbrium,anemia,3729.0,MESH:D000740,0,2,treat
sisymbrium,asthma,3729.0,MESH:D001249,0,2,treat
sisymbrium,measles,3729.0,MESH:D008457,0,2,treat
sisymbrium,syphilis,3729.0,MESH:D002601,0,2,treat
sisymbrium,yellow fever,3729.0,MESH:D015004,0,2,treat
soy bean,pancreatitis,3847.0,MESH:D010195,0,4,treat
strawberry,hypertension,3747.0,MESH:D006973,0,2,treat
sweet potato,malignant tumor,4120.0,MESH:D009369,0,2,treat
sweet potato,renal cell carcinoma,4120.0,MESH:D002292,0,20,treat
tea,breast cancer,4442.0,MESH:D001943,0,10,treat
tea,colon cancer,4442.0,MESH:D003110,0,9,treat
tea,colorectal cancer,4442.0,MESH:D015179,0,3,treat
tea,coronary disease,4442.0,MESH:D003324,0,8,treat
tea,diabetes,4442.0,MESH:D003920,0,8,treat
tea,hypertension,4442.0,MESH:D006973,0,5,treat
tea,liver disease,4442.0,MESH:D008107,0,2,treat
tea,metabolic syndrome,4442.0,MESH:D008659,0,2,treat
tea,obesity,4442.0,MESH:D009765,0,13,treat
tea,osteoporosis,4442.0,MESH:D010024,0,2,treat
tea,stroke,4442.0,MESH:D002561,0,4,treat
thistle,Type 2 diabetes mellitus,41549.0,MESH:D003924,0,6,treat
thistle,liver diseases,41549.0,MESH:D008107,0,9,treat
trigonella foenum-graecum,diabetes,78534.0,MESH:D003920,0,14,treat
triticum aestivum,diarrhea,4565.0,MESH:D004403,0,2,treat
turmeric,liver cancer,136217.0,MESH:D008113,0,45,treat
vaccinium macrocarpon,psoriasis,13750.0,MESH:D011565,0,3,treat
vaccinium vitis-idaea,obesity,180772.0,MESH:D009765,0,4,treat
watermelon,hypertension,3654.0,MESH:D006973,0,8,treat
watermelon,prostate cancer,3654.0,MESH:D011471,0,5,treat
wheat,spina bifida,4564.0,MESH:D016135,0,2,treat
zea mays,celiac disease,4577.0,MESH:D002446,0,2,treat
zingiber officinale,arthritis,94328.0,MESH:D001168,0,4,treat
zingiber officinale,bronchitis,94328.0,MESH:D001991,0,3,treat
zingiber officinale,cancers,94328.0,MESH:D009369,0,16,treat
zingiber officinale,colorectal cancer,94328.0,MESH:D015179,0,5,treat
zingiber officinale,constipation,94328.0,MESH:D003248,0,7,treat
zingiber officinale,diabetes mellitus,94328.0,MESH:D003920,0,4,treat
zingiber officinale,diarrhea,94328.0,MESH:D004403,0,10,treat
zingiber officinale,diarrhoea,94328.0,MESH:D004403,0,2,treat
zingiber officinale,dysentery,94328.0,MESH:D004403,0,3,treat
zingiber officinale,gastrointestinal diseases,94328.0,MESH:D004066,0,2,treat
zingiber officinale,gastrointestinal disorders,94328.0,MESH:D004066,0,5,treat
zingiber officinale,helminthiasis,94328.0,MESH:D006373,0,4,treat
zingiber officinale,hyperglycemia,94328.0,MESH:D006943,0,6,treat
zingiber officinale,hypertension,94328.0,MESH:D006973,0,7,treat
zingiber officinale,motion sickness,94328.0,MESH:D009041,0,2,treat
zingiber officinale,obesity,94328.0,MESH:D009765,0,5,treat
zingiber officinale,type 2 diabetes mellitus,94328.0,MESH:D003924,0,3,treat
zingiber officinale,ulcerative colitis,94328.0,MESH:D003093,0,2,treat
