term1,term2,itis_id,mesh_disease,is_cause,is_treat,relation
capsicum annuum,measles,30492.0,MESH:D008457,0,12,treat
capsicum annuum,syphilis,30492.0,MESH:D002601,0,12,treat
cauliflower,arthritis,530957.0,MESH:D001168,0,2,treat
chives,colorectal cancer,42636.0,MESH:D015179,0,5,treat
chives,prostate cancer,42636.0,MESH:D011471,0,18,treat
cichorium intybus,type 2 diabetes mellitus,36763.0,MESH:D003924,0,3,treat
cinnamomum,diabetes,18174.0,MESH:D003920,0,2,treat
cinnamomum,gastritis,18174.0,MESH:D005756,0,2,treat
cinnamomum,type 2 diabetes mellitus,18174.0,MESH:D003924,0,6,treat
cinnamon,Alzheimer's disease,18174.0,MESH:D000544,0,10,treat
cinnamon,diabetes,18174.0,MESH:D003920,0,34,treat
cinnamon,diabetes mellitus,18174.0,MESH:D003920,0,18,treat
cinnamon,diarrhea,18174.0,MESH:D004403,0,3,treat
cinnamon,gastric diseases,18174.0,MESH:D013272,0,3,treat
cinnamon,glucose intolerance,18174.0,MESH:D018149,0,6,treat
cinnamon,metabolic syndrome,18174.0,MESH:D008659,0,21,treat
cinnamon,neurodegenerative diseases,18174.0,MESH:D019636,0,40,treat
cinnamon,obesity,18174.0,MESH:D009765,0,6,treat
cinnamon,type 2 diabetes,18174.0,MESH:D003924,0,63,treat
cinnamon,type 2 diabetes mellitus,18174.0,MESH:D003924,0,6,treat
cinnamon,type-2 diabetes,18174.0,MESH:D003924,0,7,treat
citrus,gastric cancer,28882.0,MESH:D013274,0,4,treat
citrus maxima,hypertension,501574.0,MESH:D006973,0,2,treat
coconut,atopic dermatitis,42451.0,MESH:D003876,0,10,treat
coffee,adenomas,35189.0,MESH:D000236,0,2,treat
coffee,alcoholic liver cirrhosis,35189.0,MESH:D008104,0,2,treat
coffee,atherosclerosis,35189.0,MESH:D050197,0,12,treat
coffee,diabetes,35189.0,MESH:D003920,0,5,treat
coffee,gastric cancer,35189.0,MESH:D013274,0,4,treat
coffee,gout,35189.0,MESH:D015210,0,3,treat
coffee,hyperuricemia,35189.0,MESH:D033461,0,2,treat
coffee,liver disease,35189.0,MESH:D008107,0,4,treat
coffee,obesity,35189.0,MESH:D009765,0,4,treat
coffee,type 2 diabetes,35189.0,MESH:D003924,0,4,treat
coriander,neurodegenerative diseases,29622.0,MESH:D019636,0,8,treat
corn,celiac disease,42269.0,MESH:D002446,0,6,treat
corn,hypertension,42269.0,MESH:D006973,0,8,treat
crocus sativus,asthma,501794.0,MESH:D001249,0,2,treat
crocus sativus,cancers,501794.0,MESH:D009369,0,15,treat
cucurbita,alopecia,22365.0,MESH:D000505,0,2,treat
curcuma longa,asthma,42394.0,MESH:D001249,0,4,treat
curcuma longa,cancers,42394.0,MESH:D009369,0,15,treat
curcuma longa,diabetes,42394.0,MESH:D003920,0,10,treat
curcuma longa,heart diseases,42394.0,MESH:D006331,0,4,treat
curcuma longa,hepatic disorders,42394.0,MESH:D008107,0,5,treat
curcuma longa,hyperglycemia,42394.0,MESH:D006943,0,5,treat
curcuma longa,neurodegenerative diseases,42394.0,MESH:D019636,0,2,treat
curcuma longa,obesity,42394.0,MESH:D009765,0,5,treat
curcuma longa,rheumatoid arthritis,42394.0,MESH:D001172,0,2,treat
fenugreek,diabetes,505590.0,MESH:D003920,0,5,treat
fenugreek,type 2 diabetes,505590.0,MESH:D003924,0,9,treat
ficus carica,constipation,19093.0,MESH:D003248,0,3,treat
garcinia mangostana,diarrhea,21484.0,MESH:D004403,0,2,treat
garlic,arteriosclerosis,42652.0,MESH:D001161,0,4,treat
garlic,atherosclerosis,42652.0,MESH:D050197,0,23,treat
garlic,breast cancer,42652.0,MESH:D001943,0,17,treat
garlic,cancers,42652.0,MESH:D009369,0,50,treat
garlic,colon cancer,42652.0,MESH:D003110,0,10,treat
garlic,colorectal cancer,42652.0,MESH:D015179,0,8,treat
garlic,diabetes,42652.0,MESH:D003920,0,20,treat
garlic,dyslipidemia,42652.0,MESH:D008052,0,3,treat
garlic,eclampsia,42652.0,MESH:D004461,0,2,treat
garlic,gastric cancer,42652.0,MESH:D013274,0,8,treat
garlic,gingivitis,42652.0,MESH:D005891,0,3,treat
garlic,hyperglycemia,42652.0,MESH:D006943,0,2,treat
garlic,hypertension,42652.0,MESH:D006973,0,29,treat
garlic,kidney diseases,42652.0,MESH:D007674,0,4,treat
garlic,liver cancer,42652.0,MESH:D008113,0,18,treat
garlic,liver diseases,42652.0,MESH:D008107,0,4,treat
garlic,malaria,42652.0,MESH:D008288,0,4,treat
garlic,mammary cancer,42652.0,MESH:D001943,0,14,treat
garlic,metabolic diseases,42652.0,MESH:D008659,0,3,treat
garlic,myocardial infarction,42652.0,MESH:D009203,0,2,treat
garlic,neurodegenerative diseases,42652.0,MESH:D019636,0,8,treat
garlic,periodontal diseases,42652.0,MESH:D010510,0,3,treat
garlic,prostate cancer,42652.0,MESH:D011471,0,19,treat
garlic,renal hypertension,42652.0,MESH:D006977,0,2,treat
garlic,stroke,42652.0,MESH:D002561,0,6,treat
garlic,thrombosis,42652.0,MESH:D013927,0,3,treat
ginger,Alzheimer's disease,42402.0,MESH:D000544,0,9,treat
ginger,CRF,42402.0,MESH:D007676,0,3,treat
ginger,adenomas,42402.0,MESH:D000236,0,5,treat
ginger,arthritis,42402.0,MESH:D001168,0,4,treat
ginger,asthma,42402.0,MESH:D001249,0,7,treat
ginger,bronchitis,42402.0,MESH:D001991,0,3,treat
ginger,cancers,42402.0,MESH:D009369,0,33,treat
ginger,chronic kidney diseases,42402.0,MESH:D007676,0,3,treat
ginger,colon cancer,42402.0,MESH:D003110,0,2,treat
ginger,colorectal cancer,42402.0,MESH:D015179,0,9,treat
ginger,constipation,42402.0,MESH:D003248,0,14,treat
ginger,diabetes,42402.0,MESH:D003920,0,26,treat
ginger,diabetes mellitus,42402.0,MESH:D003920,0,6,treat
ginger,diarrhea,42402.0,MESH:D004403,0,17,treat
ginger,diarrhoea,42402.0,MESH:D004403,0,9,treat
ginger,dysentery,42402.0,MESH:D004403,0,3,treat
ginger,gastrointestinal disease,42402.0,MESH:D004066,0,3,treat
ginger,gastrointestinal diseases,42402.0,MESH:D004066,0,2,treat
ginger,gastrointestinal disorders,42402.0,MESH:D004066,0,3,treat
ginger,heart diseases,42402.0,MESH:D006331,0,4,treat
ginger,hepatic disorders,42402.0,MESH:D008107,0,5,treat
ginger,hyperglycemia,42402.0,MESH:D006943,0,5,treat
ginger,hypertension,42402.0,MESH:D006973,0,13,treat
ginger,inflammatory bowel diseases,42402.0,MESH:D015212,0,2,treat
ginger,irritable bowel syndrome,42402.0,MESH:D043183,0,9,treat
ginger,liver cancer,42402.0,MESH:D008113,0,9,treat
ginger,migraine,42402.0,MESH:D008881,0,8,treat
ginger,motion sickness,42402.0,MESH:D009041,0,12,treat
ginger,mucositis,42402.0,MESH:D052016,0,3,treat
ginger,neurodegenerative diseases,42402.0,MESH:D019636,0,32,treat
ginger,obesity,42402.0,MESH:D009765,0,14,treat
ginkgo biloba,asthma,183269.0,MESH:D001249,0,4,treat
ginseng,amnesia,29398.0,MESH:D000647,0,2,treat
ginseng,diabetes,29398.0,MESH:D003920,0,15,treat
ginseng,hyperglycemia,29398.0,MESH:D006943,0,2,treat
ginseng,hypertension,29398.0,MESH:D006973,0,3,treat
ginseng,metabolic diseases,29398.0,MESH:D008659,0,2,treat
ginseng,migraine,29398.0,MESH:D008881,0,3,treat
ginseng,obesity,29398.0,MESH:D009765,0,4,treat
ginseng,stroke,29398.0,MESH:D002561,0,2,treat
ginseng,type 2 diabetes,29398.0,MESH:D003924,0,22,treat
glycine max,osteoporosis,26716.0,MESH:D010024,0,2,treat
gossypium,diarrhea,21709.0,MESH:D004403,0,2,treat
grape,atherosclerosis,28606.0,MESH:D050197,0,3,treat
grape,colon cancer,28606.0,MESH:D003110,0,11,treat
grape,diabetes,28606.0,MESH:D003920,0,2,treat
grape,mammary tumor,28606.0,MESH:D001943,0,2,treat
grape,prostate cancer,28606.0,MESH:D011471,0,2,treat
grapefruit,Parkinson's disease,28887.0,MESH:D010300,0,3,treat
grapefruit,hypertension,28887.0,MESH:D006973,0,5,treat
hibiscus sabdariffa,diabetes,503001.0,MESH:D003920,0,3,treat
hibiscus sabdariffa,hypertension,503001.0,MESH:D006973,0,7,treat
hibiscus sabdariffa,obesity,503001.0,MESH:D009765,0,2,treat
ipomoea batatas,hyperglycemia,30764.0,MESH:D006943,0,4,treat
ipomoea batatas,type 2 diabetes,30764.0,MESH:D003924,0,4,treat
ipomoea batatas,type 2 diabetes mellitus,30764.0,MESH:D003924,0,3,treat
kiwi,hypertension,506775.0,MESH:D006973,0,8,treat
lemon,Alzheimer's disease,28885.0,MESH:D000544,0,3,treat
lemon,asthma,28885.0,MESH:D001249,0,2,treat
lemon,gastritis,28885.0,MESH:D005756,0,2,treat
lemon,gastroesophageal reflux,28885.0,MESH:D005764,0,2,treat
lemon,pneumonia,28885.0,MESH:D011014,0,10,treat
lemon,pulmonary fibrosis,28885.0,MESH:D011658,0,10,treat
lentils,type 2 diabetes,503364.0,MESH:D003924,0,4,treat
linum usitatissimum,migraine,29226.0,MESH:D008881,0,3,treat
lupinus albus,celiac disease,503572.0,MESH:D002446,0,2,treat
mangifera indica,asthma,28803.0,MESH:D001249,0,2,treat
millet,diabetes mellitus,40946.0,MESH:D003920,0,4,treat
momordica charantia,diabetes,22399.0,MESH:D003920,0,2,treat
momordica charantia,hyperglycemia,22399.0,MESH:D006943,0,4,treat
mulberry,dyslipidemia,19064.0,MESH:D008052,0,3,treat
mulberry,obesity,19064.0,MESH:D009765,0,3,treat
oat,diabetes,41459.0,MESH:D003920,0,16,treat
opuntia,diabetes,19686.0,MESH:D003920,0,2,treat
opuntia,diabetes mellitus,19686.0,MESH:D003920,0,5,treat
oryza sativa,celiac disease,41976.0,MESH:D002446,0,2,treat
oryza sativa,diabetes,41976.0,MESH:D003920,0,3,treat
panax,alopecia,29398.0,MESH:D000505,0,2,treat
panax,amnesia,29398.0,MESH:D000647,0,2,treat
panax,diabetes,29398.0,MESH:D003920,0,2,treat
panax,hyperglycemia,29398.0,MESH:D006943,0,3,treat
panax,hypertension,29398.0,MESH:D006973,0,3,treat
panax,metabolic diseases,29398.0,MESH:D008659,0,2,treat
panax,migraine,29398.0,MESH:D008881,0,3,treat
panax,obesity,29398.0,MESH:D009765,0,2,treat
panax,stroke,29398.0,MESH:D002561,0,2,treat
papaya,prostate cancer,22324.0,MESH:D011471,0,15,treat
pear,diabetes mellitus,25295.0,MESH:D003920,0,2,treat
pear,metabolic diseases,25295.0,MESH:D008659,0,2,treat
piper nigrum,cancers,18310.0,MESH:D009369,0,15,treat
pisum sativum,anemia,26867.0,MESH:D000740,0,2,treat
pisum sativum,asthma,26867.0,MESH:D001249,0,2,treat
pisum sativum,measles,26867.0,MESH:D008457,0,2,treat
pisum sativum,syphilis,26867.0,MESH:D002601,0,2,treat
pisum sativum,yellow fever,26867.0,MESH:D015004,0,2,treat
pomegranate,colon cancer,27278.0,MESH:D003110,0,10,treat
pomegranate,liver cancer,27278.0,MESH:D008113,0,9,treat
pomegranate,prostate cancer,27278.0,MESH:D011471,0,5,treat
potato,renal cell carcinoma,505272.0,MESH:D002292,0,20,treat
prickly pear,diabetes,19686.0,MESH:D003920,0,3,treat
prunus,diarrhea,24762.0,MESH:D004403,0,3,treat
punica granatum,cystitis,27278.0,MESH:D003556,0,3,treat
punica granatum,diarrhea,27278.0,MESH:D004403,0,2,treat
punica granatum,psoriasis,27278.0,MESH:D011565,0,3,treat
raphanus sativus,anemia,23290.0,MESH:D000740,0,2,treat
raphanus sativus,asthma,23290.0,MESH:D001249,0,2,treat
raphanus sativus,measles,23290.0,MESH:D008457,0,2,treat
rice,atopic dermatitis,41976.0,MESH:D003876,0,3,treat
rice,celiac disease,41976.0,MESH:D002446,0,2,treat
rice,diabetes,41976.0,MESH:D003920,0,3,treat
saffron,asthma,501794.0,MESH:D001249,0,3,treat
saffron,cancers,501794.0,MESH:D009369,0,30,treat
sisymbrium,anemia,23311.0,MESH:D000740,0,2,treat
sisymbrium,asthma,23311.0,MESH:D001249,0,2,treat
sisymbrium,measles,23311.0,MESH:D008457,0,2,treat
sisymbrium,syphilis,23311.0,MESH:D002601,0,2,treat
sisymbrium,yellow fever,23311.0,MESH:D015004,0,2,treat
soy bean,pancreatitis,26716.0,MESH:D010195,0,4,treat
strawberry,hypertension,24630.0,MESH:D006973,0,2,treat
sweet potato,malignant tumor,30764.0,MESH:D009369,0,2,treat
sweet potato,renal cell carcinoma,30764.0,MESH:D002292,0,20,treat
tea,breast cancer,506801.0,MESH:D001943,0,10,treat
tea,colon cancer,506801.0,MESH:D003110,0,9,treat
tea,colorectal cancer,506801.0,MESH:D015179,0,3,treat
tea,coronary disease,506801.0,MESH:D003324,0,8,treat
tea,diabetes,506801.0,MESH:D003920,0,8,treat
tea,hypertension,506801.0,MESH:D006973,0,5,treat
tea,liver disease,506801.0,MESH:D008107,0,2,treat
tea,metabolic syndrome,506801.0,MESH:D008659,0,2,treat
tea,obesity,506801.0,MESH:D009765,0,13,treat
tea,osteoporosis,506801.0,MESH:D010024,0,2,treat
tea,stroke,506801.0,MESH:D002561,0,4,treat
thistle,Type 2 diabetes mellitus,36334.0,MESH:D003924,0,6,treat
thistle,liver diseases,36334.0,MESH:D008107,0,9,treat
trigonella foenum-graecum,diabetes,505590.0,MESH:D003920,0,14,treat
triticum aestivum,diarrhea,42237.0,MESH:D004403,0,2,treat
turmeric,liver cancer,42394.0,MESH:D008113,0,45,treat
vaccinium macrocarpon,psoriasis,23599.0,MESH:D011565,0,3,treat
vaccinium vitis-idaea,obesity,505637.0,MESH:D009765,0,4,treat
watermelon,hypertension,22356.0,MESH:D006973,0,8,treat
watermelon,prostate cancer,22356.0,MESH:D011471,0,5,treat
wheat,spina bifida,42236.0,MESH:D016135,0,2,treat
zea mays,celiac disease,42269.0,MESH:D002446,0,2,treat
zingiber officinale,arthritis,42402.0,MESH:D001168,0,4,treat
zingiber officinale,bronchitis,42402.0,MESH:D001991,0,3,treat
zingiber officinale,cancers,42402.0,MESH:D009369,0,16,treat
zingiber officinale,colorectal cancer,42402.0,MESH:D015179,0,5,treat
zingiber officinale,constipation,42402.0,MESH:D003248,0,7,treat
zingiber officinale,diabetes mellitus,42402.0,MESH:D003920,0,4,treat
zingiber officinale,diarrhea,42402.0,MESH:D004403,0,10,treat
zingiber officinale,diarrhoea,42402.0,MESH:D004403,0,2,treat
zingiber officinale,dysentery,42402.0,MESH:D004403,0,3,treat
zingiber officinale,gastrointestinal diseases,42402.0,MESH:D004066,0,2,treat
zingiber officinale,gastrointestinal disorders,42402.0,MESH:D004066,0,5,treat
zingiber officinale,helminthiasis,42402.0,MESH:D006373,0,4,treat
zingiber officinale,hyperglycemia,42402.0,MESH:D006943,0,6,treat
zingiber officinale,hypertension,42402.0,MESH:D006973,0,7,treat
zingiber officinale,motion sickness,42402.0,MESH:D009041,0,2,treat
zingiber officinale,obesity,42402.0,MESH:D009765,0,5,treat
zingiber officinale,type 2 diabetes mellitus,42402.0,MESH:D003924,0,3,treat
zingiber officinale,ulcerative colitis,42402.0,MESH:D003093,0,2,treat
