term1,term2,wikipedia_id,umls_disease,is_cause,is_treat,relation
vanilla,telangiectasia,Vanilla,UMLS_CUI:C0039446,3,0,cause
wasabi,hypersensitivity,Wasabi,UMLS_CUI:C0020517,10,0,cause
water,campylobacteriosis,Water,UMLS_CUI:C0006818,5,0,cause
water,gastroenteritis,Water,UMLS_CUI:C0017160,2,0,cause
water,lymphadenitis,Water,UMLS_CUI:C0024205,2,0,cause
water,nephrosis,Water,UMLS_CUI:C0027720,2,0,cause
water,tuberculosis,Water,UMLS_CUI:C0041295,3,0,cause
wheat,Celiac Disease,Wheat,UMLS_CUI:C0007570,6,0,cause
wheat,Celiac disease,Wheat,UMLS_CUI:C0007570,60,0,cause
wheat,Coeliac disease,Wheat,UMLS_CUI:C0007570,6,0,cause
wheat,asthma,Wheat,UMLS_CUI:C0004096,2,0,cause
wheat,autoimmune disease,Wheat,UMLS_CUI:C0003089,2,0,cause
wheat,autoimmune disorder,Wheat,UMLS_CUI:C0003089,26,0,cause
wheat,coeliac disease,Wheat,UMLS_CUI:C0007570,13,0,cause
wheat,dermatitis,Wheat,UMLS_CUI:C0011603,11,0,cause
wheat,eczema,Wheat,UMLS_CUI:C0011603,9,0,cause
wheat,irritable bowel syndrome,Wheat,UMLS_CUI:C0022104,2,0,cause
wheat,osteoporosis,Wheat,UMLS_CUI:C0029456,11,0,cause
