term1,term2,foodb_public_id,snomedct_disease,is_cause,is_treat,relation
garlic,rhinitis,FOOD00008,SNOMEDCT_US_2020_09_01:70076002,18,0,cause
hordeum vulgare,asthma,FOOD00088,SNOMEDCT_US_2020_09_01:187687003,2,0,cause
horseradish,hypersensitivity,FOOD00018,SNOMEDCT_US_2020_09_01:257550005,50,0,cause
lemon,endophthalmitis,FOOD00054,SNOMEDCT_US_2020_09_01:1847009,3,0,cause
lemon,hypersensitivity,FOOD00054,SNOMEDCT_US_2020_09_01:257550005,5,0,cause
lemon,urticaria,FOOD00054,SNOMEDCT_US_2020_09_01:267817001,3,0,cause
mustard,asthma,FOOD00654,SNOMEDCT_US_2020_09_01:187687003,2,0,cause
mustard,hypersensitivity,FOOD00654,SNOMEDCT_US_2020_09_01:257550005,13,0,cause
mustard,pancreatitis,FOOD00654,SNOMEDCT_US_2020_09_01:393591004,3,0,cause
papaya,hypersensitivity,FOOD00041,SNOMEDCT_US_2020_09_01:257550005,2,0,cause
peach,urticaria,FOOD00149,SNOMEDCT_US_2020_09_01:267817001,12,0,cause
peanut,atopic dermatitis,FOOD00016,SNOMEDCT_US_2020_09_01:156331003,3,0,cause
phaseolus vulgaris,diarrhoea,FOOD00134,SNOMEDCT_US_2020_09_01:154268000,2,0,cause
phaseolus vulgaris,diarrhoea,FOOD00882,SNOMEDCT_US_2020_09_01:154268000,2,0,cause
phaseolus vulgaris,diarrhoea,FOOD00883,SNOMEDCT_US_2020_09_01:154268000,2,0,cause
pizza,allergic rhinitis,FOOD00637,SNOMEDCT_US_2020_09_01:38103000,6,0,cause
pizza,asthma,FOOD00637,SNOMEDCT_US_2020_09_01:187687003,6,0,cause
popcorn,bronchiolitis obliterans,FOOD00719,SNOMEDCT_US_2020_09_01:40100001,5,0,cause
potato,asthma,FOOD00175,SNOMEDCT_US_2020_09_01:187687003,2,0,cause
potato,dermatitis,FOOD00175,SNOMEDCT_US_2020_09_01:238538009,8,0,cause
rabbit,atopic dermatitis,FOOD00528,SNOMEDCT_US_2020_09_01:156331003,3,0,cause
red wine,breast cancer,FOOD00911,SNOMEDCT_US_2020_09_01:254837009,3,0,cause
red wine,diarrhea,FOOD00911,SNOMEDCT_US_2020_09_01:154268000,8,0,cause
red wine,diarrhoea,FOOD00911,SNOMEDCT_US_2020_09_01:154268000,5,0,cause
red wine,irritable bowel syndrome,FOOD00911,SNOMEDCT_US_2020_09_01:155783000,4,0,cause
red wine,migraine,FOOD00911,SNOMEDCT_US_2020_09_01:155046006,4,0,cause
rice,asthma,FOOD00125,SNOMEDCT_US_2020_09_01:187687003,6,0,cause
rice,urticaria,FOOD00125,SNOMEDCT_US_2020_09_01:267817001,6,0,cause
rosemary,asthma,FOOD00159,SNOMEDCT_US_2020_09_01:187687003,3,0,cause
rye,Celiac Disease,FOOD00169,SNOMEDCT_US_2020_09_01:197477005,6,0,cause
rye,Celiac disease,FOOD00169,SNOMEDCT_US_2020_09_01:197477005,22,0,cause
rye,celiac disease,FOOD00169,SNOMEDCT_US_2020_09_01:197477005,13,0,cause
rye,coeliac disease,FOOD00169,SNOMEDCT_US_2020_09_01:197477005,6,0,cause
rye,dermatitis,FOOD00169,SNOMEDCT_US_2020_09_01:238538009,7,0,cause
salt,Metabolic diseases,FOOD00647,SNOMEDCT_US_2020_09_01:75934005,3,0,cause
salt,diabetes,FOOD00647,SNOMEDCT_US_2020_09_01:267467004,10,0,cause
salt,gastric cancer,FOOD00647,SNOMEDCT_US_2020_09_01:126824007,4,0,cause
soy milk,hyperphosphatemia,FOOD00736,SNOMEDCT_US_2020_09_01:20165001,2,0,cause
sugar,diabetes,FOOD00651,SNOMEDCT_US_2020_09_01:267467004,11,0,cause
tea,acne,FOOD00038,SNOMEDCT_US_2020_09_01:11381005,9,0,cause
triticum aestivum,Celiac disease,FOOD00187,SNOMEDCT_US_2020_09_01:197477005,5,0,cause
turkey,Gastric cancer,FOOD00494,SNOMEDCT_US_2020_09_01:126824007,7,0,cause
turkey,Hypertension,FOOD00494,SNOMEDCT_US_2020_09_01:38341003,7,0,cause
vanilla,telangiectasia,FOOD00195,SNOMEDCT_US_2020_09_01:112641009,3,0,cause
wasabi,hypersensitivity,FOOD00498,SNOMEDCT_US_2020_09_01:257550005,10,0,cause
water,campylobacteriosis,FOOD00664,SNOMEDCT_US_2020_09_01:86500004,5,0,cause
water,gastroenteritis,FOOD00664,SNOMEDCT_US_2020_09_01:154278002,2,0,cause
water,lymphadenitis,FOOD00664,SNOMEDCT_US_2020_09_01:19471005,2,0,cause
water,nephrosis,FOOD00664,SNOMEDCT_US_2020_09_01:90708001,2,0,cause
water,tuberculosis,FOOD00664,SNOMEDCT_US_2020_09_01:15202009,3,0,cause
wheat,Celiac Disease,FOOD00561,SNOMEDCT_US_2020_09_01:197477005,6,0,cause
wheat,Celiac disease,FOOD00561,SNOMEDCT_US_2020_09_01:197477005,60,0,cause
wheat,Coeliac disease,FOOD00561,SNOMEDCT_US_2020_09_01:197477005,6,0,cause
wheat,asthma,FOOD00561,SNOMEDCT_US_2020_09_01:187687003,2,0,cause
wheat,coeliac disease,FOOD00561,SNOMEDCT_US_2020_09_01:197477005,13,0,cause
wheat,dermatitis,FOOD00561,SNOMEDCT_US_2020_09_01:238538009,11,0,cause
wheat,eczema,FOOD00561,SNOMEDCT_US_2020_09_01:238538009,9,0,cause
wheat,irritable bowel syndrome,FOOD00561,SNOMEDCT_US_2020_09_01:155783000,2,0,cause
wheat,osteoporosis,FOOD00561,SNOMEDCT_US_2020_09_01:156825006,11,0,cause
white bread,diabetes,FOOD00987,SNOMEDCT_US_2020_09_01:267467004,4,0,cause
white wine,migraine,FOOD00917,SNOMEDCT_US_2020_09_01:155046006,4,0,cause
