term1,term2,foodb_public_id,mesh_disease,is_cause,is_treat,relation
cinnamomum,type 2 diabetes mellitus,FOOD00572,MESH:D003924,0,6,treat
cinnamon,Alzheimer's disease,FOOD00572,MESH:D000544,0,10,treat
cinnamon,diabetes,FOOD00572,MESH:D003920,0,34,treat
cinnamon,diabetes mellitus,FOOD00572,MESH:D003920,0,18,treat
cinnamon,diarrhea,FOOD00572,MESH:D004403,0,3,treat
cinnamon,gastric diseases,FOOD00572,MESH:D013272,0,3,treat
cinnamon,glucose intolerance,FOOD00572,MESH:D018149,0,6,treat
cinnamon,metabolic syndrome,FOOD00572,MESH:D008659,0,21,treat
cinnamon,neurodegenerative diseases,FOOD00572,MESH:D019636,0,40,treat
cinnamon,obesity,FOOD00572,MESH:D009765,0,6,treat
cinnamon,type 2 diabetes,FOOD00572,MESH:D003924,0,63,treat
cinnamon,type 2 diabetes mellitus,FOOD00572,MESH:D003924,0,6,treat
cinnamon,type-2 diabetes,FOOD00572,MESH:D003924,0,7,treat
citrus,gastric cancer,FOOD00859,MESH:D013274,0,4,treat
citrus maxima,hypertension,FOOD00055,MESH:D006973,0,2,treat
cocktail,anemia,FOOD00739,MESH:D000740,0,2,treat
cocktail,degenerative diseases,FOOD00739,MESH:D019636,0,2,treat
coconut,atopic dermatitis,FOOD00336,MESH:D003876,0,10,treat
coconut oil,Alzheimer's disease,FOOD00941,MESH:D000544,0,6,treat
coconut oil,atopic dermatitis,FOOD00941,MESH:D003876,0,3,treat
coffee,adenomas,FOOD00058,MESH:D000236,0,2,treat
coffee,alcoholic liver cirrhosis,FOOD00058,MESH:D008104,0,2,treat
coffee,atherosclerosis,FOOD00058,MESH:D050197,0,12,treat
coffee,diabetes,FOOD00058,MESH:D003920,0,5,treat
coffee,gastric cancer,FOOD00058,MESH:D013274,0,4,treat
coffee,gout,FOOD00058,MESH:D015210,0,3,treat
coffee,hyperuricemia,FOOD00058,MESH:D033461,0,2,treat
coffee,liver disease,FOOD00058,MESH:D008107,0,4,treat
coffee,obesity,FOOD00058,MESH:D009765,0,4,treat
coffee,type 2 diabetes,FOOD00058,MESH:D003924,0,4,treat
coriander,neurodegenerative diseases,FOOD00061,MESH:D019636,0,8,treat
corn,celiac disease,FOOD00205,MESH:D002446,0,6,treat
corn,hypertension,FOOD00205,MESH:D006973,0,8,treat
crataegus,congestive heart failure,FOOD00985,MESH:D006333,0,4,treat
crataegus,hypertension,FOOD00985,MESH:D006973,0,2,treat
cream,peptic ulcer disease,FOOD00650,MESH:D010437,0,3,treat
crocus sativus,asthma,FOOD00063,MESH:D001249,0,2,treat
crocus sativus,cancers,FOOD00063,MESH:D009369,0,15,treat
cucurbita,alopecia,FOOD00066,MESH:D000505,0,2,treat
curcuma longa,asthma,FOOD00068,MESH:D001249,0,4,treat
curcuma longa,cancers,FOOD00068,MESH:D009369,0,15,treat
curcuma longa,diabetes,FOOD00068,MESH:D003920,0,10,treat
curcuma longa,heart diseases,FOOD00068,MESH:D006331,0,4,treat
curcuma longa,hepatic disorders,FOOD00068,MESH:D008107,0,5,treat
curcuma longa,hyperglycemia,FOOD00068,MESH:D006943,0,5,treat
curcuma longa,neurodegenerative diseases,FOOD00068,MESH:D019636,0,2,treat
curcuma longa,obesity,FOOD00068,MESH:D009765,0,5,treat
curcuma longa,rheumatoid arthritis,FOOD00068,MESH:D001172,0,2,treat
egg yolk,chronic kidney disease,FOOD00919,MESH:D007676,0,3,treat
eggs,cancers,FOOD00619,MESH:D009369,0,9,treat
eggs,diabetes,FOOD00619,MESH:D003920,0,27,treat
eggs,metabolic syndrome,FOOD00619,MESH:D008659,0,4,treat
eggs,neurodegenerative diseases,FOOD00619,MESH:D019636,0,9,treat
eggs,type 2 diabetes,FOOD00619,MESH:D003924,0,9,treat
fenugreek,diabetes,FOOD00186,MESH:D003920,0,5,treat
fenugreek,type 2 diabetes,FOOD00186,MESH:D003924,0,9,treat
ficus carica,constipation,FOOD00081,MESH:D003248,0,3,treat
flour,spina bifida,FOOD00799,MESH:D016135,0,6,treat
fruit juice,Metabolic Syndrome,FOOD00763,MESH:D008659,0,6,treat
fruit juice,dyslipidemia,FOOD00763,MESH:D008052,0,6,treat
fruits,Alzheimer's disease,FOOD00871,MESH:D000544,0,4,treat
fruits,Breast Cancer,FOOD00871,MESH:D001943,0,5,treat
fruits,Colon cancer,FOOD00871,MESH:D003110,0,2,treat
fruits,Parkinson's disease,FOOD00871,MESH:D010300,0,3,treat
fruits,adenomas,FOOD00871,MESH:D000236,0,4,treat
fruits,amnesia,FOOD00871,MESH:D000647,0,2,treat
fruits,anemia,FOOD00871,MESH:D000740,0,2,treat
fruits,asthma,FOOD00871,MESH:D001249,0,18,treat
fruits,atherosclerosis,FOOD00871,MESH:D050197,0,3,treat
fruits,bladder cancer,FOOD00871,MESH:D001749,0,5,treat
fruits,breast cancer,FOOD00871,MESH:D001943,0,7,treat
fruits,cancers,FOOD00871,MESH:D009369,0,41,treat
fruits,carcinomas,FOOD00871,MESH:D009375,0,2,treat
fruits,cerebrovascular diseases,FOOD00871,MESH:D002561,0,2,treat
fruits,chronic obstructive pulmonary disease,FOOD00871,MESH:D029424,0,5,treat
fruits,colon cancer,FOOD00871,MESH:D003110,0,3,treat
fruits,colorectal cancer,FOOD00871,MESH:D015179,0,6,treat
fruits,coronary heart disease,FOOD00871,MESH:D003324,0,25,treat
fruits,degenerative diseases,FOOD00871,MESH:D019636,0,6,treat
fruits,diabetes mellitus,FOOD00871,MESH:D003920,0,4,treat
fruits,diarrhea,FOOD00871,MESH:D004403,0,5,treat
fruits,diarrhoea,FOOD00871,MESH:D004403,0,4,treat
fruits,dysentery,FOOD00871,MESH:D004403,0,2,treat
fruits,gastric cancer,FOOD00871,MESH:D013274,0,6,treat
fruits,heart attacks,FOOD00871,MESH:D009203,0,2,treat
fruits,heart disease,FOOD00871,MESH:D006331,0,9,treat
fruits,hyperlipidaemia,FOOD00871,MESH:D006949,0,6,treat
fruits,hyperphosphatemia,FOOD00871,MESH:D054559,0,2,treat
fruits,hypertension,FOOD00871,MESH:D006973,0,40,treat
fruits,kidney disease,FOOD00871,MESH:D007674,0,2,treat
fruits,metabolic syndrome,FOOD00871,MESH:D008659,0,2,treat
fruits,muscle wasting,FOOD00871,MESH:D009133,0,4,treat
fruits,neurodegenerative diseases,FOOD00871,MESH:D019636,0,26,treat
fruits,obesity,FOOD00871,MESH:D009765,0,7,treat
fruits,osteoporosis,FOOD00871,MESH:D010024,0,3,treat
fruits,ovarian cancer,FOOD00871,MESH:D010051,0,4,treat
fruits,prostate cancer,FOOD00871,MESH:D011471,0,4,treat
fruits,skin cancer,FOOD00871,MESH:D012878,0,2,treat
fruits,stroke,FOOD00871,MESH:D002561,0,19,treat
garcinia mangostana,diarrhea,FOOD00406,MESH:D004403,0,2,treat
garlic,arteriosclerosis,FOOD00008,MESH:D001161,0,4,treat
garlic,atherosclerosis,FOOD00008,MESH:D050197,0,23,treat
garlic,breast cancer,FOOD00008,MESH:D001943,0,17,treat
garlic,cancers,FOOD00008,MESH:D009369,0,50,treat
garlic,colon cancer,FOOD00008,MESH:D003110,0,10,treat
garlic,colorectal cancer,FOOD00008,MESH:D015179,0,8,treat
garlic,diabetes,FOOD00008,MESH:D003920,0,20,treat
garlic,dyslipidemia,FOOD00008,MESH:D008052,0,3,treat
garlic,eclampsia,FOOD00008,MESH:D004461,0,2,treat
garlic,gastric cancer,FOOD00008,MESH:D013274,0,8,treat
garlic,gingivitis,FOOD00008,MESH:D005891,0,3,treat
garlic,hyperglycemia,FOOD00008,MESH:D006943,0,2,treat
garlic,hypertension,FOOD00008,MESH:D006973,0,29,treat
garlic,kidney diseases,FOOD00008,MESH:D007674,0,4,treat
garlic,liver cancer,FOOD00008,MESH:D008113,0,18,treat
garlic,liver diseases,FOOD00008,MESH:D008107,0,4,treat
garlic,malaria,FOOD00008,MESH:D008288,0,4,treat
garlic,mammary cancer,FOOD00008,MESH:D001943,0,14,treat
garlic,metabolic diseases,FOOD00008,MESH:D008659,0,3,treat
garlic,myocardial infarction,FOOD00008,MESH:D009203,0,2,treat
garlic,neurodegenerative diseases,FOOD00008,MESH:D019636,0,8,treat
garlic,periodontal diseases,FOOD00008,MESH:D010510,0,3,treat
garlic,prostate cancer,FOOD00008,MESH:D011471,0,19,treat
garlic,renal hypertension,FOOD00008,MESH:D006977,0,2,treat
garlic,stroke,FOOD00008,MESH:D002561,0,6,treat
garlic,thrombosis,FOOD00008,MESH:D013927,0,3,treat
ginger,Alzheimer's disease,FOOD00206,MESH:D000544,0,9,treat
ginger,CRF,FOOD00206,MESH:D007676,0,3,treat
ginger,adenomas,FOOD00206,MESH:D000236,0,5,treat
ginger,arthritis,FOOD00206,MESH:D001168,0,4,treat
ginger,asthma,FOOD00206,MESH:D001249,0,7,treat
ginger,bronchitis,FOOD00206,MESH:D001991,0,3,treat
ginger,cancers,FOOD00206,MESH:D009369,0,33,treat
ginger,chronic kidney diseases,FOOD00206,MESH:D007676,0,3,treat
ginger,colon cancer,FOOD00206,MESH:D003110,0,2,treat
ginger,colorectal cancer,FOOD00206,MESH:D015179,0,9,treat
ginger,constipation,FOOD00206,MESH:D003248,0,14,treat
ginger,diabetes,FOOD00206,MESH:D003920,0,26,treat
ginger,diabetes mellitus,FOOD00206,MESH:D003920,0,6,treat
ginger,diarrhea,FOOD00206,MESH:D004403,0,17,treat
ginger,diarrhoea,FOOD00206,MESH:D004403,0,9,treat
ginger,dysentery,FOOD00206,MESH:D004403,0,3,treat
ginger,gastrointestinal disease,FOOD00206,MESH:D004066,0,3,treat
ginger,gastrointestinal diseases,FOOD00206,MESH:D004066,0,2,treat
ginger,gastrointestinal disorders,FOOD00206,MESH:D004066,0,3,treat
ginger,heart diseases,FOOD00206,MESH:D006331,0,4,treat
ginger,hepatic disorders,FOOD00206,MESH:D008107,0,5,treat
ginger,hyperglycemia,FOOD00206,MESH:D006943,0,5,treat
ginger,hypertension,FOOD00206,MESH:D006973,0,13,treat
ginger,inflammatory bowel diseases,FOOD00206,MESH:D015212,0,2,treat
ginger,irritable bowel syndrome,FOOD00206,MESH:D043183,0,9,treat
ginger,liver cancer,FOOD00206,MESH:D008113,0,9,treat
ginger,migraine,FOOD00206,MESH:D008881,0,8,treat
ginger,motion sickness,FOOD00206,MESH:D009041,0,12,treat
ginger,mucositis,FOOD00206,MESH:D052016,0,3,treat
ginger,neurodegenerative diseases,FOOD00206,MESH:D019636,0,32,treat
ginger,obesity,FOOD00206,MESH:D009765,0,14,treat
ginkgo biloba,asthma,FOOD00367,MESH:D001249,0,4,treat
ginseng,amnesia,FOOD00219,MESH:D000647,0,2,treat
ginseng,diabetes,FOOD00219,MESH:D003920,0,15,treat
ginseng,hyperglycemia,FOOD00219,MESH:D006943,0,2,treat
ginseng,hypertension,FOOD00219,MESH:D006973,0,3,treat
ginseng,metabolic diseases,FOOD00219,MESH:D008659,0,2,treat
ginseng,migraine,FOOD00219,MESH:D008881,0,3,treat
ginseng,obesity,FOOD00219,MESH:D009765,0,4,treat
ginseng,stroke,FOOD00219,MESH:D002561,0,2,treat
ginseng,type 2 diabetes,FOOD00219,MESH:D003924,0,22,treat
glycine max,osteoporosis,FOOD00085,MESH:D010024,0,2,treat
gossypium,diarrhea,FOOD00341,MESH:D004403,0,2,treat
grape,atherosclerosis,FOOD00369,MESH:D050197,0,3,treat
grape,colon cancer,FOOD00369,MESH:D003110,0,11,treat
grape,diabetes,FOOD00369,MESH:D003920,0,2,treat
grape,mammary tumor,FOOD00369,MESH:D001943,0,2,treat
grape,prostate cancer,FOOD00369,MESH:D011471,0,2,treat
grapefruit,Parkinson's disease,FOOD00256,MESH:D010300,0,3,treat
grapefruit,hypertension,FOOD00256,MESH:D006973,0,5,treat
green tea,cancers,FOOD00908,MESH:D009369,0,2,treat
green tea,colorectal cancer,FOOD00908,MESH:D015179,0,7,treat
green tea,diabetes,FOOD00908,MESH:D003920,0,15,treat
green tea,diabetes mellitus,FOOD00908,MESH:D003920,0,4,treat
green tea,hypertension,FOOD00908,MESH:D006973,0,2,treat
green tea,obesity,FOOD00908,MESH:D009765,0,7,treat
green tea,prostate cancer,FOOD00908,MESH:D011471,0,41,treat
green tea,uterine fibroids,FOOD00908,MESH:D007889,0,2,treat
hawthorn,Hypertension,FOOD00985,MESH:D006973,0,11,treat
hawthorn,hypertension,FOOD00985,MESH:D006973,0,8,treat
herbal tea,colon cancer,FOOD00989,MESH:D003110,0,4,treat
herbal tea,diarrhea,FOOD00989,MESH:D004403,0,2,treat
herbal tea,high blood pressure,FOOD00989,MESH:D006973,0,2,treat
hibiscus sabdariffa,diabetes,FOOD00447,MESH:D003920,0,3,treat
hibiscus sabdariffa,hypertension,FOOD00447,MESH:D006973,0,7,treat
hibiscus sabdariffa,obesity,FOOD00447,MESH:D009765,0,2,treat
honey,amnesia,FOOD00626,MESH:D000647,0,2,treat
honey,colorectal cancer,FOOD00626,MESH:D015179,0,5,treat
honey,eczema,FOOD00626,MESH:D003872,0,3,treat
honey,metabolic syndrome,FOOD00626,MESH:D008659,0,6,treat
honey,psoriasis,FOOD00626,MESH:D011565,0,3,treat
honey,stroke,FOOD00626,MESH:D002561,0,2,treat
honey,type 2 diabetes,FOOD00626,MESH:D003924,0,4,treat
ipomoea batatas,hyperglycemia,FOOD00092,MESH:D006943,0,4,treat
ipomoea batatas,type 2 diabetes,FOOD00092,MESH:D003924,0,4,treat
ipomoea batatas,type 2 diabetes mellitus,FOOD00092,MESH:D003924,0,3,treat
kefir,metabolic syndrome,FOOD00691,MESH:D008659,0,2,treat
kiwi,hypertension,FOOD00004,MESH:D006973,0,8,treat
lemon,Alzheimer's disease,FOOD00054,MESH:D000544,0,3,treat
lemon,asthma,FOOD00054,MESH:D001249,0,2,treat
lemon,gastritis,FOOD00054,MESH:D005756,0,2,treat
lemon,gastroesophageal reflux,FOOD00054,MESH:D005764,0,2,treat
lemon,pneumonia,FOOD00054,MESH:D011014,0,10,treat
lemon,pulmonary fibrosis,FOOD00054,MESH:D011658,0,10,treat
lentils,type 2 diabetes,FOOD00098,MESH:D003924,0,4,treat
linum usitatissimum,migraine,FOOD00101,MESH:D008881,0,3,treat
liquor,coronary disease,FOOD00616,MESH:D003324,0,8,treat
lupinus albus,celiac disease,FOOD00403,MESH:D002446,0,2,treat
mangifera indica,asthma,FOOD00106,MESH:D001249,0,2,treat
millet,diabetes mellitus,FOOD00126,MESH:D003920,0,4,treat
momordica charantia,diabetes,FOOD00115,MESH:D003920,0,2,treat
momordica charantia,hyperglycemia,FOOD00115,MESH:D006943,0,4,treat
mulberry,dyslipidemia,FOOD00116,MESH:D008052,0,3,treat
mulberry,obesity,FOOD00116,MESH:D009765,0,3,treat
mushrooms,prostate cancer,FOOD00853,MESH:D011471,0,5,treat
nuts,atherosclerosis,FOOD00869,MESH:D050197,0,12,treat
nuts,epilepsy,FOOD00869,MESH:D004827,0,6,treat
nuts,stroke,FOOD00869,MESH:D002561,0,6,treat
nuts,type 2 diabetes,FOOD00869,MESH:D003924,0,3,treat
oat,diabetes,FOOD00022,MESH:D003920,0,16,treat
olive oil,Alzheimer's disease,FOOD00909,MESH:D000544,0,3,treat
olive oil,Breast Cancer,FOOD00909,MESH:D001943,0,5,treat
olive oil,atherosclerosis,FOOD00909,MESH:D050197,0,3,treat
olive oil,breast cancer,FOOD00909,MESH:D001943,0,22,treat
olive oil,breast tumor,FOOD00909,MESH:D001943,0,4,treat
olive oil,cancers,FOOD00909,MESH:D009369,0,16,treat
olive oil,coronary heart disease,FOOD00909,MESH:D003324,0,16,treat
olive oil,diabetes,FOOD00909,MESH:D003920,0,17,treat
olive oil,epilepsy,FOOD00909,MESH:D004827,0,6,treat
olive oil,gastric cancer,FOOD00909,MESH:D013274,0,4,treat
olive oil,hypertension,FOOD00909,MESH:D006973,0,10,treat
olive oil,metabolic diseases,FOOD00909,MESH:D008659,0,3,treat
olive oil,metabolic syndrome,FOOD00909,MESH:D008659,0,10,treat
olive oil,myocardial infarction,FOOD00909,MESH:D009203,0,5,treat
olive oil,neurodegenerative disease,FOOD00909,MESH:D019636,0,7,treat
olive oil,neurodegenerative diseases,FOOD00909,MESH:D019636,0,37,treat
olive oil,obesity,FOOD00909,MESH:D009765,0,3,treat
olive oil,osteoporosis,FOOD00909,MESH:D010024,0,4,treat
olive oil,stroke,FOOD00909,MESH:D002561,0,36,treat
olive oil,type 2 diabetes,FOOD00909,MESH:D003924,0,19,treat
opuntia,diabetes,FOOD00440,MESH:D003920,0,2,treat
opuntia,diabetes mellitus,FOOD00440,MESH:D003920,0,5,treat
oryza sativa,celiac disease,FOOD00125,MESH:D002446,0,2,treat
oryza sativa,diabetes,FOOD00125,MESH:D003920,0,3,treat
panax,alopecia,FOOD00219,MESH:D000505,0,2,treat
panax,amnesia,FOOD00219,MESH:D000647,0,2,treat
panax,diabetes,FOOD00219,MESH:D003920,0,2,treat
panax,hyperglycemia,FOOD00219,MESH:D006943,0,3,treat
panax,hypertension,FOOD00219,MESH:D006973,0,3,treat
panax,metabolic diseases,FOOD00219,MESH:D008659,0,2,treat
panax,migraine,FOOD00219,MESH:D008881,0,3,treat
panax,obesity,FOOD00219,MESH:D009765,0,2,treat
panax,stroke,FOOD00219,MESH:D002561,0,2,treat
papaya,prostate cancer,FOOD00041,MESH:D011471,0,15,treat
pear,diabetes mellitus,FOOD00152,MESH:D003920,0,2,treat
pear,metabolic diseases,FOOD00152,MESH:D008659,0,2,treat
piper nigrum,cancers,FOOD00139,MESH:D009369,0,15,treat
pisum sativum,anemia,FOOD00141,MESH:D000740,0,2,treat
pisum sativum,asthma,FOOD00141,MESH:D001249,0,2,treat
pisum sativum,measles,FOOD00141,MESH:D008457,0,2,treat
pisum sativum,syphilis,FOOD00141,MESH:D002601,0,2,treat
pisum sativum,yellow fever,FOOD00141,MESH:D015004,0,2,treat
pomegranate,colon cancer,FOOD00151,MESH:D003110,0,10,treat
pomegranate,liver cancer,FOOD00151,MESH:D008113,0,9,treat
pomegranate,prostate cancer,FOOD00151,MESH:D011471,0,5,treat
potato,renal cell carcinoma,FOOD00175,MESH:D002292,0,20,treat
prickly pear,diabetes,FOOD00440,MESH:D003920,0,3,treat
prunus,diarrhea,FOOD00143,MESH:D004403,0,3,treat
pulses,diabetes,FOOD00867,MESH:D003920,0,2,treat
pulses,type 2 diabetes,FOOD00867,MESH:D003924,0,12,treat
punica granatum,cystitis,FOOD00151,MESH:D003556,0,3,treat
punica granatum,diarrhea,FOOD00151,MESH:D004403,0,2,treat
punica granatum,psoriasis,FOOD00151,MESH:D011565,0,3,treat
raphanus sativus,anemia,FOOD00153,MESH:D000740,0,2,treat
raphanus sativus,asthma,FOOD00153,MESH:D001249,0,2,treat
raphanus sativus,measles,FOOD00153,MESH:D008457,0,2,treat
red onion,ovarian cancer,FOOD00962,MESH:D010051,0,4,treat
red wine,Breast Cancer,FOOD00911,MESH:D001943,0,20,treat
red wine,cerebrovascular disease,FOOD00911,MESH:D002561,0,3,treat
red wine,coronary heart disease,FOOD00911,MESH:D003324,0,18,treat
red wine,coronary heart diseases,FOOD00911,MESH:D003324,0,2,treat
red wine,diabetes,FOOD00911,MESH:D003920,0,9,treat
red wine,heart disease,FOOD00911,MESH:D006331,0,3,treat
red wine,mammary tumors,FOOD00911,MESH:D001943,0,3,treat
red wine,type 2 diabetes,FOOD00911,MESH:D003924,0,4,treat
red wine,vascular diseases,FOOD00911,MESH:D020760,0,2,treat
rice,atopic dermatitis,FOOD00125,MESH:D003876,0,3,treat
rice,celiac disease,FOOD00125,MESH:D002446,0,2,treat
rice,diabetes,FOOD00125,MESH:D003920,0,3,treat
saffron,asthma,FOOD00063,MESH:D001249,0,3,treat
saffron,cancers,FOOD00063,MESH:D009369,0,30,treat
salt,stroke,FOOD00647,MESH:D002561,0,3,treat
sisymbrium,anemia,FOOD00475,MESH:D000740,0,2,treat
sisymbrium,asthma,FOOD00475,MESH:D001249,0,2,treat
sisymbrium,measles,FOOD00475,MESH:D008457,0,2,treat
sisymbrium,syphilis,FOOD00475,MESH:D002601,0,2,treat
sisymbrium,yellow fever,FOOD00475,MESH:D015004,0,2,treat
soy bean,pancreatitis,FOOD00085,MESH:D010195,0,4,treat
strawberry,hypertension,FOOD00083,MESH:D006973,0,2,treat
sweet potato,malignant tumor,FOOD00092,MESH:D009369,0,2,treat
sweet potato,renal cell carcinoma,FOOD00092,MESH:D002292,0,20,treat
tea,breast cancer,FOOD00038,MESH:D001943,0,10,treat
tea,colon cancer,FOOD00038,MESH:D003110,0,9,treat
tea,colorectal cancer,FOOD00038,MESH:D015179,0,3,treat
tea,coronary disease,FOOD00038,MESH:D003324,0,8,treat
tea,diabetes,FOOD00038,MESH:D003920,0,8,treat
tea,hypertension,FOOD00038,MESH:D006973,0,5,treat
tea,liver disease,FOOD00038,MESH:D008107,0,2,treat
tea,metabolic syndrome,FOOD00038,MESH:D008659,0,2,treat
tea,obesity,FOOD00038,MESH:D009765,0,13,treat
tea,osteoporosis,FOOD00038,MESH:D010024,0,2,treat
tea,stroke,FOOD00038,MESH:D002561,0,4,treat
thistle,Type 2 diabetes mellitus,FOOD00606,MESH:D003924,0,6,treat
thistle,liver diseases,FOOD00606,MESH:D008107,0,9,treat
tofu,prostate cancer,FOOD00696,MESH:D011471,0,2,treat
