term1,term2,hansardClosest,efo_disease,is_cause,is_treat,relation
fruits,stroke,AG.01.h,EFO:0000712,0,19,treat
"fruits,",stroke,AG.01.f,EFO:0000712,0,9,treat
garlic,atherosclerosis,AG.01,EFO:0003914,0,2,treat
garlic,atherosclerosis,AG.01.h.02.e,EFO:0003914,0,9,treat
garlic,hepatoma,AG.01.h.02.e,EFO:0000182,0,3,treat
garlic,hypertension,AG.01.h.02.e,EFO:0000537,0,16,treat
garlic,myocardial infarction,AG.01.h.02.e,EFO:0000612,0,2,treat
garlic,stroke,AG.01.h.02.e,EFO:0000712,0,6,treat
ginger,Alzheimer's disease,AG.01.l.03,EFO:0000249,0,6,treat
ginger,asthma,AG.01.l.03,EFO:0000270,0,4,treat
ginger,hypertension,AG.01.h.01,EFO:0000537,0,3,treat
ginger,hypertension,AG.01.l.03,EFO:0000537,0,6,treat
ginger,inflammatory bowel diseases,AG.01.l.03,EFO:0003767,0,2,treat
ginger,migraine,AG.01.l.03,EFO:0003821,0,7,treat
ginger,obesity,AG.01.l.03,EFO:0001073,0,9,treat
ginseng,type 2 diabetes,AE.13.a,EFO:0001360,0,9,treat
grape juice,hypertension,AG.01.ab,EFO:0000537,0,3,treat
grapefruit,Parkinson's disease,AG.01.h.01.a,EFO:0002508,0,3,treat
grapefruit,hypertension,AG.01.h.01.a,EFO:0000537,0,5,treat
grapes,atherosclerosis,AG.01,EFO:0003914,0,4,treat
hawthorn,Hypertension,AG.01.l.03,EFO:0000537,0,11,treat
high-fat,asthma,AG.01.f,EFO:0000270,0,4,treat
honey,psoriasis,AG.01.m,EFO:0000676,0,3,treat
honey,stroke,AG.01.m,EFO:0000712,0,2,treat
honey,type 2 diabetes,AG.01.m,EFO:0001360,0,4,treat
indicate,hypertension,AG.01.h,EFO:0000537,0,2,treat
kiwi,hypertension,AG.01,EFO:0000537,0,8,treat
lemon,Alzheimer's disease,AG.01.ab,EFO:0000249,0,3,treat
lentils,type 2 diabetes,AG.01.h.02.g,EFO:0001360,0,4,treat
low salt,stroke,AG.01.h,EFO:0000712,0,3,treat
meat,Hypertension,AG.01,EFO:0000537,0,11,treat
meat,hypertension,AG.01,EFO:0000537,0,7,treat
milk,gout,AE.10,EFO:0004274,0,3,treat
milk,stroke,AE.10,EFO:0000712,0,7,treat
milk,type 2 diabetes,AE.10,EFO:0001360,0,2,treat
milk products,hypertension,AE.10,EFO:0000537,0,4,treat
nuts,atherosclerosis,AG.01,EFO:0003914,0,4,treat
nuts,atherosclerosis,AG.01.h.01.b,EFO:0003914,0,4,treat
nuts,atherosclerosis,AG.01.r,EFO:0003914,0,4,treat
nuts,epilepsy,AG.01.f,EFO:0000474,0,6,treat
nuts,stroke,AG.01.f,EFO:0000712,0,6,treat
nuts,type 2 diabetes,AE.13.a,EFO:0001360,0,3,treat
oatmeal,atopic dermatitis,AG.01.j,EFO:0000274,0,3,treat
oats,celiac disease,AG.01.i,EFO:0001060,0,5,treat
oats,coeliac disease,AG.01.i,EFO:0001060,0,5,treat
oats,inflammatory bowel disease,AG.01.i,EFO:0003767,0,5,treat
olive oil,Alzheimer's disease,AG.01.f,EFO:0000249,0,3,treat
olive oil,atherosclerosis,AG.01.f,EFO:0003914,0,3,treat
olive oil,coronary heart disease,AG.01.f,EFO:0001645,0,16,treat
olive oil,epilepsy,AG.01.f,EFO:0000474,0,6,treat
olive oil,hypertension,AG.01.f,EFO:0000537,0,10,treat
olive oil,obesity,AG.01.f,EFO:0001073,0,3,treat
olive oil,osteoporosis,AG.01.f,EFO:0003882,0,4,treat
olive oil,stroke,AG.01.f,EFO:0000712,0,16,treat
olive oil,stroke,AG.01.h,EFO:0000712,0,10,treat
olive oil,type 2 diabetes,AG.01.f,EFO:0001360,0,19,treat
olive oil mixture,psoriasis,AG.01.m,EFO:0000676,0,3,treat
onion,hypertension,AG.01.h.02.e,EFO:0000537,0,8,treat
other dairy,hypertension,AG.01,EFO:0000537,0,6,treat
other dairy,obesity,AG.01,EFO:0001073,0,6,treat
other dairy,type 2 diabetes,AG.01,EFO:0001360,0,6,treat
potato,renal cell carcinoma,AG.01.h.02.a,EFO:0000681,0,20,treat
pulses,type 2 diabetes,AG.01,EFO:0001360,0,4,treat
pulses,type 2 diabetes,AG.01.h.02.g,EFO:0001360,0,8,treat
red wine,cerebrovascular disease,AG.01,EFO:0000712,0,3,treat
red wine,coronary heart disease,AG.01,EFO:0001645,0,11,treat
red wine,coronary heart disease,AG.01.y.01.a,EFO:0001645,0,2,treat
red wine,coronary heart diseases,AG.01,EFO:0001645,0,2,treat
red wine,type 2 diabetes,AG.01,EFO:0001360,0,4,treat
rice,atopic dermatitis,AF.20.g,EFO:0000274,0,3,treat
saffron,asthma,AE.08.i,EFO:0000270,0,3,treat
salt,stroke,AG.01,EFO:0000712,0,3,treat
sweet potato,renal cell carcinoma,AG.01.z,EFO:0000681,0,20,treat
tea,hypertension,AG.01.r,EFO:0000537,0,5,treat
tea,obesity,AG.01.r,EFO:0001073,0,7,treat
tea,obesity,AG.01.y.01.a,EFO:0001073,0,4,treat
tea,osteoporosis,AG.01.r,EFO:0003882,0,2,treat
tea,stroke,AG.01.r,EFO:0000712,0,4,treat
thistle,Type 2 diabetes mellitus,AE.10,EFO:0001360,0,6,treat
water,hypertension,AG.01.z,EFO:0000537,0,4,treat
water,obesity,AG.01.z,EFO:0001073,0,3,treat
watermelon,hypertension,AG.01.z,EFO:0000537,0,8,treat
well-known spice,hypertension,AG.01.h.01,EFO:0000537,0,3,treat
whey,type 2 diabetes,AE.10,EFO:0001360,0,7,treat
whey,type 2 diabetes,AG.01,EFO:0001360,0,7,treat
whey,type 2 diabetes,AG.01.e.02,EFO:0001360,0,7,treat
wine,atherosclerosis,AG.01.y.01.a,EFO:0003914,0,3,treat
wine,coronary disease,AG.01.y.01.a,EFO:0001645,0,8,treat
wine,obesity,AG.01.y.01.a,EFO:0001073,0,4,treat
yogurt,hypertension,AG.01,EFO:0000537,0,6,treat
yogurt,obesity,AG.01,EFO:0001073,0,6,treat
yogurt,type 2 diabetes,AE.10,EFO:0001360,0,7,treat
yogurt,type 2 diabetes,AG.01,EFO:0001360,0,14,treat
yogurt,type 2 diabetes,AG.01.e.02,EFO:0001360,0,7,treat
