term1,term2,foodb_public_id,umls_disease,is_cause,is_treat,relation
fruits,gastric cancer,FOOD00871,UMLS_CUI:C0024623,0,6,treat
fruits,heart attacks,FOOD00871,UMLS_CUI:C0027051,0,2,treat
fruits,heart disease,FOOD00871,UMLS_CUI:C0018799,0,9,treat
fruits,hyperlipidaemia,FOOD00871,UMLS_CUI:C0020473,0,6,treat
fruits,hyperphosphatemia,FOOD00871,UMLS_CUI:C0085681,0,2,treat
fruits,hypertension,FOOD00871,UMLS_CUI:C0020538,0,40,treat
fruits,kidney disease,FOOD00871,UMLS_CUI:C0022658,0,2,treat
fruits,kidney stones,FOOD00871,UMLS_CUI:C0156257,0,2,treat
fruits,lung cancer,FOOD00871,UMLS_CUI:C0024624,0,4,treat
fruits,metabolic syndrome,FOOD00871,UMLS_CUI:C0025517,0,2,treat
fruits,muscle wasting,FOOD00871,UMLS_CUI:C0026846,0,4,treat
fruits,neurodegenerative diseases,FOOD00871,UMLS_CUI:C1285162,0,26,treat
fruits,obesity,FOOD00871,UMLS_CUI:C0028754,0,7,treat
fruits,osteoporosis,FOOD00871,UMLS_CUI:C0029456,0,3,treat
fruits,ovarian cancer,FOOD00871,UMLS_CUI:C1299247,0,4,treat
fruits,prostate cancer,FOOD00871,UMLS_CUI:C0033578,0,4,treat
fruits,schistosomiasis,FOOD00871,UMLS_CUI:C0029827,0,2,treat
fruits,skin cancer,FOOD00871,UMLS_CUI:C0007114,0,2,treat
fruits,stroke,FOOD00871,UMLS_CUI:C0007820,0,19,treat
garcinia mangostana,diarrhea,FOOD00406,UMLS_CUI:C0013369,0,2,treat
garlic,arteriosclerosis,FOOD00008,UMLS_CUI:C0003850,0,4,treat
garlic,atherosclerosis,FOOD00008,UMLS_CUI:C0004153,0,23,treat
garlic,breast cancer,FOOD00008,UMLS_CUI:C0006142,0,17,treat
garlic,cancers,FOOD00008,UMLS_CUI:C0006826,0,50,treat
garlic,colon cancer,FOOD00008,UMLS_CUI:C0007102,0,10,treat
garlic,colorectal adenocarcinoma,FOOD00008,UMLS_CUI:C1319315,0,4,treat
garlic,colorectal cancer,FOOD00008,UMLS_CUI:C0346629,0,8,treat
garlic,diabetes,FOOD00008,UMLS_CUI:C0011849,0,20,treat
garlic,dyslipidemia,FOOD00008,UMLS_CUI:C0023772,0,3,treat
garlic,eclampsia,FOOD00008,UMLS_CUI:C0013537,0,2,treat
garlic,gastric cancer,FOOD00008,UMLS_CUI:C0024623,0,8,treat
garlic,gingivitis,FOOD00008,UMLS_CUI:C0008684,0,3,treat
garlic,hyperglycemia,FOOD00008,UMLS_CUI:C0020456,0,2,treat
garlic,hypertension,FOOD00008,UMLS_CUI:C0020538,0,29,treat
garlic,kidney diseases,FOOD00008,UMLS_CUI:C0022658,0,4,treat
garlic,liver cancer,FOOD00008,UMLS_CUI:C0854795,0,18,treat
garlic,liver diseases,FOOD00008,UMLS_CUI:C0023895,0,4,treat
garlic,malaria,FOOD00008,UMLS_CUI:C0024530,0,4,treat
garlic,mammary cancer,FOOD00008,UMLS_CUI:C0006142,0,14,treat
garlic,metabolic diseases,FOOD00008,UMLS_CUI:C0025517,0,3,treat
garlic,myocardial infarction,FOOD00008,UMLS_CUI:C0027051,0,2,treat
garlic,neurodegenerative diseases,FOOD00008,UMLS_CUI:C1285162,0,8,treat
garlic,periodontal diseases,FOOD00008,UMLS_CUI:C0031090,0,3,treat
garlic,prostate cancer,FOOD00008,UMLS_CUI:C0033578,0,19,treat
garlic,renal hypertension,FOOD00008,UMLS_CUI:C0020544,0,2,treat
garlic,stroke,FOOD00008,UMLS_CUI:C0007820,0,6,treat
ginger,Alzheimer's disease,FOOD00206,UMLS_CUI:C0002395,0,9,treat
ginger,CRF,FOOD00206,UMLS_CUI:C0022661,0,3,treat
ginger,adenomas,FOOD00206,UMLS_CUI:C0334389,0,5,treat
ginger,arthritis,FOOD00206,UMLS_CUI:C0003864,0,4,treat
ginger,asthma,FOOD00206,UMLS_CUI:C0004096,0,7,treat
ginger,bronchitis,FOOD00206,UMLS_CUI:C0149514,0,3,treat
ginger,cancers,FOOD00206,UMLS_CUI:C0006826,0,33,treat
ginger,chronic kidney diseases,FOOD00206,UMLS_CUI:C0022661,0,3,treat
ginger,colon cancer,FOOD00206,UMLS_CUI:C0007102,0,2,treat
ginger,colorectal cancer,FOOD00206,UMLS_CUI:C0346629,0,9,treat
ginger,constipation,FOOD00206,UMLS_CUI:C0009806,0,14,treat
ginger,diabetes,FOOD00206,UMLS_CUI:C0011849,0,26,treat
ginger,diabetes mellitus,FOOD00206,UMLS_CUI:C0011849,0,6,treat
ginger,diarrhea,FOOD00206,UMLS_CUI:C0013369,0,17,treat
ginger,diarrhoea,FOOD00206,UMLS_CUI:C0013369,0,9,treat
ginger,dysentery,FOOD00206,UMLS_CUI:C0013369,0,3,treat
ginger,gastrointestinal disease,FOOD00206,UMLS_CUI:C0012242,0,3,treat
ginger,gastrointestinal diseases,FOOD00206,UMLS_CUI:C0012242,0,2,treat
ginger,gastrointestinal disorders,FOOD00206,UMLS_CUI:C0012242,0,3,treat
ginger,heart diseases,FOOD00206,UMLS_CUI:C0018799,0,4,treat
ginger,hepatic disorders,FOOD00206,UMLS_CUI:C0023895,0,5,treat
ginger,hyperglycemia,FOOD00206,UMLS_CUI:C0020456,0,5,treat
ginger,hypertension,FOOD00206,UMLS_CUI:C0020538,0,13,treat
ginger,infectious diseases,FOOD00206,UMLS_CUI:C0001485,0,4,treat
ginger,inflammatory bowel diseases,FOOD00206,UMLS_CUI:C0021390,0,2,treat
ginger,irritable bowel syndrome,FOOD00206,UMLS_CUI:C0022104,0,9,treat
ginger,liver cancer,FOOD00206,UMLS_CUI:C0854795,0,9,treat
ginger,migraine,FOOD00206,UMLS_CUI:C0149931,0,8,treat
ginger,motion sickness,FOOD00206,UMLS_CUI:C0026603,0,12,treat
ginger,neurodegenerative diseases,FOOD00206,UMLS_CUI:C1285162,0,32,treat
ginger,obesity,FOOD00206,UMLS_CUI:C0028754,0,14,treat
ginger,sinusitis,FOOD00206,UMLS_CUI:C0149512,0,5,treat
ginkgo biloba,asthma,FOOD00367,UMLS_CUI:C0004096,0,4,treat
ginseng,amnesia,FOOD00219,UMLS_CUI:C0002625,0,2,treat
ginseng,dementia,FOOD00219,UMLS_CUI:C0154319,0,2,treat
ginseng,diabetes,FOOD00219,UMLS_CUI:C0011849,0,15,treat
ginseng,hyperglycemia,FOOD00219,UMLS_CUI:C0020456,0,2,treat
ginseng,hypertension,FOOD00219,UMLS_CUI:C0020538,0,3,treat
ginseng,metabolic diseases,FOOD00219,UMLS_CUI:C0025517,0,2,treat
ginseng,migraine,FOOD00219,UMLS_CUI:C0149931,0,3,treat
ginseng,obesity,FOOD00219,UMLS_CUI:C0028754,0,4,treat
ginseng,stroke,FOOD00219,UMLS_CUI:C0007820,0,2,treat
ginseng,type 2 diabetes,FOOD00219,UMLS_CUI:C0011860,0,22,treat
glycine max,osteoporosis,FOOD00085,UMLS_CUI:C0029456,0,2,treat
gossypium,diarrhea,FOOD00341,UMLS_CUI:C0013369,0,2,treat
grape,atherosclerosis,FOOD00369,UMLS_CUI:C0004153,0,3,treat
grape,colon cancer,FOOD00369,UMLS_CUI:C0007102,0,11,treat
grape,diabetes,FOOD00369,UMLS_CUI:C0011849,0,2,treat
grape,mammary tumor,FOOD00369,UMLS_CUI:C0006142,0,2,treat
grape,prostate cancer,FOOD00369,UMLS_CUI:C0033578,0,2,treat
grapefruit,Parkinson's disease,FOOD00256,UMLS_CUI:C0030567,0,3,treat
grapefruit,hypertension,FOOD00256,UMLS_CUI:C0020538,0,5,treat
green tea,cancers,FOOD00908,UMLS_CUI:C0006826,0,2,treat
green tea,colorectal cancer,FOOD00908,UMLS_CUI:C0346629,0,7,treat
green tea,diabetes,FOOD00908,UMLS_CUI:C0011849,0,15,treat
green tea,diabetes mellitus,FOOD00908,UMLS_CUI:C0011849,0,4,treat
green tea,hypertension,FOOD00908,UMLS_CUI:C0020538,0,2,treat
green tea,obesity,FOOD00908,UMLS_CUI:C0028754,0,7,treat
green tea,prostate cancer,FOOD00908,UMLS_CUI:C0033578,0,41,treat
green tea,uterine fibroids,FOOD00908,UMLS_CUI:C0042133,0,2,treat
hawthorn,Hypertension,FOOD00985,UMLS_CUI:C0020538,0,11,treat
hawthorn,hypertension,FOOD00985,UMLS_CUI:C0020538,0,8,treat
herbal tea,colon cancer,FOOD00989,UMLS_CUI:C0007102,0,4,treat
herbal tea,diarrhea,FOOD00989,UMLS_CUI:C0013369,0,2,treat
herbal tea,high blood pressure,FOOD00989,UMLS_CUI:C0020538,0,2,treat
hibiscus sabdariffa,diabetes,FOOD00447,UMLS_CUI:C0011849,0,3,treat
hibiscus sabdariffa,hypertension,FOOD00447,UMLS_CUI:C0020538,0,7,treat
hibiscus sabdariffa,obesity,FOOD00447,UMLS_CUI:C0028754,0,2,treat
honey,amnesia,FOOD00626,UMLS_CUI:C0002625,0,2,treat
honey,colorectal cancer,FOOD00626,UMLS_CUI:C0346629,0,5,treat
honey,eczema,FOOD00626,UMLS_CUI:C0011603,0,3,treat
honey,metabolic syndrome,FOOD00626,UMLS_CUI:C0025517,0,6,treat
honey,psoriasis,FOOD00626,UMLS_CUI:C0033860,0,3,treat
honey,stroke,FOOD00626,UMLS_CUI:C0007820,0,2,treat
honey,type 2 diabetes,FOOD00626,UMLS_CUI:C0011860,0,4,treat
honey,urinary tract infections,FOOD00626,UMLS_CUI:C0149523,0,3,treat
ipomoea batatas,hyperglycemia,FOOD00092,UMLS_CUI:C0020456,0,4,treat
ipomoea batatas,type 2 diabetes,FOOD00092,UMLS_CUI:C0011860,0,4,treat
ipomoea batatas,type 2 diabetes mellitus,FOOD00092,UMLS_CUI:C0011860,0,3,treat
kefir,metabolic syndrome,FOOD00691,UMLS_CUI:C0025517,0,2,treat
kiwi,hypertension,FOOD00004,UMLS_CUI:C0020538,0,8,treat
lemon,Alzheimer's disease,FOOD00054,UMLS_CUI:C0002395,0,3,treat
lemon,allergic rhinitis,FOOD00054,UMLS_CUI:C0002103,0,2,treat
lemon,asthma,FOOD00054,UMLS_CUI:C0004096,0,2,treat
lemon,gastritis,FOOD00054,UMLS_CUI:C0017152,0,2,treat
lemon,gastroesophageal reflux,FOOD00054,UMLS_CUI:C0017168,0,2,treat
lemon,pneumonia,FOOD00054,UMLS_CUI:C0032285,0,10,treat
lemon,pulmonary fibrosis,FOOD00054,UMLS_CUI:C0034069,0,10,treat
lentils,type 2 diabetes,FOOD00098,UMLS_CUI:C0011860,0,4,treat
linum usitatissimum,migraine,FOOD00101,UMLS_CUI:C0149931,0,3,treat
liquor,coronary disease,FOOD00616,UMLS_CUI:C0151744,0,8,treat
lupinus albus,celiac disease,FOOD00403,UMLS_CUI:C0007570,0,2,treat
mangifera indica,asthma,FOOD00106,UMLS_CUI:C0004096,0,2,treat
millet,diabetes mellitus,FOOD00126,UMLS_CUI:C0011849,0,4,treat
momordica charantia,diabetes,FOOD00115,UMLS_CUI:C0011849,0,2,treat
momordica charantia,hyperglycemia,FOOD00115,UMLS_CUI:C0020456,0,4,treat
mulberry,dyslipidemia,FOOD00116,UMLS_CUI:C0023772,0,3,treat
mulberry,obesity,FOOD00116,UMLS_CUI:C0028754,0,3,treat
mushrooms,prostate cancer,FOOD00853,UMLS_CUI:C0033578,0,5,treat
nuts,atherosclerosis,FOOD00869,UMLS_CUI:C0004153,0,12,treat
nuts,epilepsy,FOOD00869,UMLS_CUI:C0014544,0,6,treat
nuts,stroke,FOOD00869,UMLS_CUI:C0007820,0,6,treat
nuts,type 2 diabetes,FOOD00869,UMLS_CUI:C0011860,0,3,treat
oat,diabetes,FOOD00022,UMLS_CUI:C0011849,0,16,treat
olive oil,Alzheimer's disease,FOOD00909,UMLS_CUI:C0002395,0,3,treat
olive oil,Breast Cancer,FOOD00909,UMLS_CUI:C0006142,0,5,treat
olive oil,atherosclerosis,FOOD00909,UMLS_CUI:C0004153,0,3,treat
olive oil,breast cancer,FOOD00909,UMLS_CUI:C0006142,0,22,treat
olive oil,breast tumor,FOOD00909,UMLS_CUI:C0006142,0,4,treat
olive oil,cancers,FOOD00909,UMLS_CUI:C0006826,0,16,treat
olive oil,coronary heart disease,FOOD00909,UMLS_CUI:C0151744,0,16,treat
olive oil,dementia,FOOD00909,UMLS_CUI:C0154319,0,11,treat
olive oil,diabetes,FOOD00909,UMLS_CUI:C0011849,0,17,treat
olive oil,epilepsy,FOOD00909,UMLS_CUI:C0014544,0,6,treat
olive oil,gastric cancer,FOOD00909,UMLS_CUI:C0024623,0,4,treat
olive oil,hypertension,FOOD00909,UMLS_CUI:C0020538,0,10,treat
olive oil,metabolic diseases,FOOD00909,UMLS_CUI:C0025517,0,3,treat
olive oil,metabolic syndrome,FOOD00909,UMLS_CUI:C0025517,0,10,treat
olive oil,myocardial infarction,FOOD00909,UMLS_CUI:C0027051,0,5,treat
olive oil,neurodegenerative disease,FOOD00909,UMLS_CUI:C1285162,0,7,treat
olive oil,neurodegenerative diseases,FOOD00909,UMLS_CUI:C1285162,0,37,treat
olive oil,obesity,FOOD00909,UMLS_CUI:C0028754,0,3,treat
olive oil,osteoporosis,FOOD00909,UMLS_CUI:C0029456,0,4,treat
