term1,term2,foodon,umls_disease,is_cause,is_treat,relation
milk,diarrhea,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0013369,5,0,cause
milk,eczema,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0011603,2,0,cause
milk,hyperphosphatemia,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0085681,2,0,cause
milk,hyperprolactinemia,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0008043,2,0,cause
milk,infectious disease,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0001485,4,0,cause
milk,invasive ductal carcinoma,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C1527349,3,0,cause
milk,myocarditis,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0027059,2,0,cause
milk,ovarian cancer,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C1299247,3,0,cause
milk,ovarian carcinoma,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0677886,5,0,cause
milk,pancreatitis,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0030305,8,0,cause
milk,urticaria,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0029839,2,0,cause
milk products,campylobacteriosis,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0006818,3,0,cause
mustard,hypersensitivity,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,UMLS_CUI:C0020517,10,0,cause
oats,Celiac disease,http://purl.obolibrary.org/obo/FOODON_03315188***http://purl.obolibrary.org/obo/NCBITaxon_4498,UMLS_CUI:C0007570,15,0,cause
oats,dermatitis,http://purl.obolibrary.org/obo/FOODON_03315188***http://purl.obolibrary.org/obo/NCBITaxon_4498,UMLS_CUI:C0011603,11,0,cause
onion,asthma,http://purl.obolibrary.org/obo/FOODON_03316347***http://purl.obolibrary.org/obo/NCBITaxon_4679,UMLS_CUI:C0004096,5,0,cause
peach,urticaria,http://purl.obolibrary.org/obo/NCBITaxon_3760***http://purl.obolibrary.org/obo/FOODON_03315502***http://purl.obolibrary.org/obo/FOODON_03301719,UMLS_CUI:C0029839,12,0,cause
potato,dermatitis,http://purl.obolibrary.org/obo/NCBITaxon_4039,UMLS_CUI:C0011603,4,0,cause
potato,dermatitis,http://purl.obolibrary.org/obo/NCBITaxon_4113,UMLS_CUI:C0011603,4,0,cause
rabbit,atopic dermatitis,http://purl.obolibrary.org/obo/GAZ_00000558***http://purl.obolibrary.org/obo/NCBITaxon_9103,UMLS_CUI:C0011615,3,0,cause
red wine,breast cancer,http://purl.obolibrary.org/obo/FOODON_03310272,UMLS_CUI:C0006142,3,0,cause
red wine,diarrhea,http://purl.obolibrary.org/obo/FOODON_03310272,UMLS_CUI:C0013369,8,0,cause
red wine,diarrhoea,http://purl.obolibrary.org/obo/FOODON_03310272,UMLS_CUI:C0013369,5,0,cause
red wine,irritable bowel syndrome,http://purl.obolibrary.org/obo/FOODON_03310272,UMLS_CUI:C0022104,4,0,cause
red wine,migraine,http://purl.obolibrary.org/obo/FOODON_03310272,UMLS_CUI:C0149931,4,0,cause
rice,asthma,http://purl.obolibrary.org/obo/NCBITaxon_4530,UMLS_CUI:C0004096,6,0,cause
rice,urticaria,http://purl.obolibrary.org/obo/NCBITaxon_4530,UMLS_CUI:C0029839,6,0,cause
rye,Celiac Disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,UMLS_CUI:C0007570,6,0,cause
rye,Celiac disease,http://purl.obolibrary.org/obo/FOODON_03315188***http://purl.obolibrary.org/obo/NCBITaxon_4498,UMLS_CUI:C0007570,6,0,cause
rye flour,allergic rhinitis,http://purl.obolibrary.org/obo/FOODON_03301116,UMLS_CUI:C0002103,8,0,cause
salt,diabetes,http://purl.obolibrary.org/obo/CHEBI_24866,UMLS_CUI:C0011849,4,0,cause
salt,diabetes,http://purl.obolibrary.org/obo/FOODON_03420108,UMLS_CUI:C0011849,3,0,cause
salt,gastric cancer,http://purl.obolibrary.org/obo/CHEBI_24866,UMLS_CUI:C0024623,2,0,cause
salt,obesity,http://purl.obolibrary.org/obo/CHEBI_24866,UMLS_CUI:C0028754,2,0,cause
soy milk,hyperphosphatemia,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0085681,2,0,cause
sugar,diabetes,http://purl.obolibrary.org/obo/CHEBI_24866,UMLS_CUI:C0011849,3,0,cause
sugar,diabetes,http://purl.obolibrary.org/obo/FOODON_03420108,UMLS_CUI:C0011849,5,0,cause
sugar,dyslipidemia,http://purl.obolibrary.org/obo/FOODON_03420108,UMLS_CUI:C0023772,3,0,cause
sugar,obesity,http://purl.obolibrary.org/obo/FOODON_03307240,UMLS_CUI:C0028754,4,0,cause
thyme,asthma,http://purl.obolibrary.org/obo/NCBITaxon_49992,UMLS_CUI:C0004096,3,0,cause
trigger,asthma,http://purl.obolibrary.org/obo/CHEBI_33290,UMLS_CUI:C0004096,2,0,cause
turkey,Gastric cancer,http://purl.obolibrary.org/obo/GAZ_00000558***http://purl.obolibrary.org/obo/NCBITaxon_9103,UMLS_CUI:C0024623,7,0,cause
turkey,Hypertension,http://purl.obolibrary.org/obo/GAZ_00000558***http://purl.obolibrary.org/obo/NCBITaxon_9103,UMLS_CUI:C0020538,7,0,cause
unpasteurized animal milk,campylobacteriosis,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0006818,3,0,cause
vegetable oil,pneumonia,http://purl.obolibrary.org/obo/FOODON_03305263***http://purl.obolibrary.org/obo/FOODON_03310387,UMLS_CUI:C0032285,2,0,cause
wasabi,hypersensitivity,http://purl.obolibrary.org/obo/FOODON_03316284,UMLS_CUI:C0020517,10,0,cause
water,campylobacteriosis,http://purl.obolibrary.org/obo/ENVO_00002006,UMLS_CUI:C0006818,2,0,cause
water,campylobacteriosis,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0006818,3,0,cause
water,gastroenteritis,http://purl.obolibrary.org/obo/ENVO_00002006,UMLS_CUI:C0017160,2,0,cause
water,lymphadenitis,http://purl.obolibrary.org/obo/ENVO_00002006,UMLS_CUI:C0024205,2,0,cause
water,nephrosis,http://purl.obolibrary.org/obo/ENVO_00002006,UMLS_CUI:C0027720,2,0,cause
water,tuberculosis,http://purl.obolibrary.org/obo/ENVO_00002006,UMLS_CUI:C0041295,3,0,cause
wheat,Celiac Disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,UMLS_CUI:C0007570,6,0,cause
white bread,diabetes,http://purl.obolibrary.org/obo/FOODON_03301055,UMLS_CUI:C0011849,4,0,cause
white wine,migraine,http://purl.obolibrary.org/obo/FOODON_03310273,UMLS_CUI:C0149931,4,0,cause
wood,asthma,http://purl.obolibrary.org/obo/FOODON_03500035***http://purl.obolibrary.org/obo/FOODON_03420309,UMLS_CUI:C0004096,2,0,cause
