term1,term2,snomedct,umls_disease,is_cause,is_treat,relation
barley,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,UMLS_CUI:C0011603,18,0,cause
barley,osteoporosis,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,UMLS_CUI:C0029456,11,0,cause
beef,campylobacteriosis,http://purl.bioontology.org/ontology/SNOMEDCT/226916002,UMLS_CUI:C0006818,2,0,cause
beer,Korsakoff's psychosis,http://purl.bioontology.org/ontology/SNOMEDCT/53410008,UMLS_CUI:C0349464,4,0,cause
beer,Wernicke's encephalopathy,http://purl.bioontology.org/ontology/SNOMEDCT/53410008,UMLS_CUI:C0043121,4,0,cause
beer,Wernicke-Korsakoff syndrome,http://purl.bioontology.org/ontology/SNOMEDCT/53410008,UMLS_CUI:C0349464,3,0,cause
beer,lactic acidosis,http://purl.bioontology.org/ontology/SNOMEDCT/53410008,UMLS_CUI:C0001125,4,0,cause
beer,urticaria,http://purl.bioontology.org/ontology/SNOMEDCT/53410008,UMLS_CUI:C0029839,3,0,cause
beverages,telangiectasia,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,UMLS_CUI:C0039446,3,0,cause
beverages,telangiectasia,http://purl.bioontology.org/ontology/SNOMEDCT/412070003,UMLS_CUI:C0039446,3,0,cause
cake prepared,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/226639005,UMLS_CUI:C0020517,5,0,cause
calcium,pericardial effusion,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,UMLS_CUI:C0031039,3,0,cause
candy,stomatitis,http://purl.bioontology.org/ontology/SNOMEDCT/227607007,UMLS_CUI:C0038362,6,0,cause
carrot,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/735053000,UMLS_CUI:C0011603,4,0,cause
celery,urticaria,http://purl.bioontology.org/ontology/SNOMEDCT/256326004,UMLS_CUI:C0029839,3,0,cause
cereal,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/23182003,UMLS_CUI:C0004096,4,0,cause
cereal,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/23182003,UMLS_CUI:C0011603,4,0,cause
cereal,eczema,http://purl.bioontology.org/ontology/SNOMEDCT/23182003,UMLS_CUI:C0011603,4,0,cause
cereal flour,Asthma,http://purl.bioontology.org/ontology/SNOMEDCT/23182003,UMLS_CUI:C0004096,2,0,cause
cheese,Migraine,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,UMLS_CUI:C0149931,2,0,cause
cheese,Migraine,http://purl.bioontology.org/ontology/SNOMEDCT/102264005,UMLS_CUI:C0149931,2,0,cause
cheese,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/102264005,UMLS_CUI:C0020538,3,0,cause
cheese,insulin-dependent diabetes mellitus,http://purl.bioontology.org/ontology/SNOMEDCT/102264005,UMLS_CUI:C0011854,2,0,cause
cheese,migraine,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,UMLS_CUI:C0149931,12,0,cause
cheese,migraine,http://purl.bioontology.org/ontology/SNOMEDCT/102264005,UMLS_CUI:C0149931,6,0,cause
chicken,obesity,http://purl.bioontology.org/ontology/SNOMEDCT/226955001,UMLS_CUI:C0028754,2,0,cause
chocolate,Migraine,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,UMLS_CUI:C0149931,2,0,cause
chocolate,Pertussis,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,UMLS_CUI:C0006015,2,0,cause
chocolate,acne,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,UMLS_CUI:C0152249,10,0,cause
chocolate,acne,http://purl.bioontology.org/ontology/SNOMEDCT/29263009,UMLS_CUI:C0152249,8,0,cause
chocolate,atrial fibrillation,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,UMLS_CUI:C0004238,3,0,cause
chocolate,hyperglycemia,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,UMLS_CUI:C0020456,4,0,cause
chocolate,migraine,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,UMLS_CUI:C0149931,8,0,cause
chocolate,migraine,http://purl.bioontology.org/ontology/SNOMEDCT/102264005,UMLS_CUI:C0149931,7,0,cause
chocolate,obesity,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,UMLS_CUI:C0028754,9,0,cause
chocolate milk,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/70813002***http://purl.bioontology.org/ontology/SNOMEDCT/46329000***http://purl.bioontology.org/ontology/SNOMEDCT/102262009,UMLS_CUI:C0011849,2,0,cause
cinnamon,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,UMLS_CUI:C0011603,3,0,cause
cinnamon,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,UMLS_CUI:C0020517,10,0,cause
cinnamon,stomatitis,http://purl.bioontology.org/ontology/SNOMEDCT/227607007,UMLS_CUI:C0038362,6,0,cause
cinnamon,telangiectasia,http://purl.bioontology.org/ontology/SNOMEDCT/412070003,UMLS_CUI:C0039446,3,0,cause
coffee,acne,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,UMLS_CUI:C0152249,8,0,cause
coffee,acne,http://purl.bioontology.org/ontology/SNOMEDCT/29263009,UMLS_CUI:C0152249,9,0,cause
corn,rhinitis,http://purl.bioontology.org/ontology/SNOMEDCT/412357001,UMLS_CUI:C0035455,3,0,cause
drinking beer,angioedema,http://purl.bioontology.org/ontology/SNOMEDCT/53410008,UMLS_CUI:C0002994,5,0,cause
drinking beer,urticaria,http://purl.bioontology.org/ontology/SNOMEDCT/53410008,UMLS_CUI:C0029839,5,0,cause
eggs,acne,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,UMLS_CUI:C0152249,8,0,cause
eggs,acne,http://purl.bioontology.org/ontology/SNOMEDCT/29263009,UMLS_CUI:C0152249,8,0,cause
flour,allergic rhinitis,http://purl.bioontology.org/ontology/SNOMEDCT/63766005,UMLS_CUI:C0002103,4,0,cause
flour,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/256307007,UMLS_CUI:C0004096,2,0,cause
flour,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/63766005,UMLS_CUI:C0004096,26,0,cause
flour,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,UMLS_CUI:C0004096,2,0,cause
flour,hypersensitivity pneumonitis,http://purl.bioontology.org/ontology/SNOMEDCT/63766005,UMLS_CUI:C0002390,3,0,cause
flour,rhinitis,http://purl.bioontology.org/ontology/SNOMEDCT/63766005,UMLS_CUI:C0035455,6,0,cause
flour mill,bronchitis,http://purl.bioontology.org/ontology/SNOMEDCT/63766005,UMLS_CUI:C0149514,6,0,cause
"flour,",asthma,http://purl.bioontology.org/ontology/SNOMEDCT/229944000***http://purl.bioontology.org/ontology/SNOMEDCT/63766005***http://purl.bioontology.org/ontology/SNOMEDCT/412071004,UMLS_CUI:C0004096,4,0,cause
fruit,gastroesophageal reflux,http://purl.bioontology.org/ontology/SNOMEDCT/72511004,UMLS_CUI:C0017168,3,0,cause
fruit,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/72511004,UMLS_CUI:C0020517,13,0,cause
fruit,uremia,http://purl.bioontology.org/ontology/SNOMEDCT/72511004,UMLS_CUI:C0041948,2,0,cause
garlic,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,UMLS_CUI:C0004096,19,0,cause
garlic,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,UMLS_CUI:C0011603,6,0,cause
garlic,hemolytic anemia,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,UMLS_CUI:C0002878,5,0,cause
garlic,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,UMLS_CUI:C0020517,10,0,cause
garlic,rhinitis,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,UMLS_CUI:C0035455,12,0,cause
harmful effects,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,UMLS_CUI:C0020538,2,0,cause
horseradish,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,UMLS_CUI:C0020517,10,0,cause
horseradish,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/51905005,UMLS_CUI:C0020517,10,0,cause
horseradish,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,UMLS_CUI:C0020517,10,0,cause
horseradish,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/735040003,UMLS_CUI:C0020517,10,0,cause
horseradish,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/735047000,UMLS_CUI:C0020517,10,0,cause
lamb,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/226942002,UMLS_CUI:C0004096,2,0,cause
lemon,endophthalmitis,http://purl.bioontology.org/ontology/SNOMEDCT/735340006,UMLS_CUI:C0014236,3,0,cause
lemon,urticaria,http://purl.bioontology.org/ontology/SNOMEDCT/735340006,UMLS_CUI:C0029839,3,0,cause
meat,Multiple Sclerosis,http://purl.bioontology.org/ontology/SNOMEDCT/28647000,UMLS_CUI:C0026769,3,0,cause
meat,colorectal cancer,http://purl.bioontology.org/ontology/SNOMEDCT/28647000,UMLS_CUI:C0346629,3,0,cause
meat,gout,http://purl.bioontology.org/ontology/SNOMEDCT/28647000,UMLS_CUI:C0018099,2,0,cause
milk,Asthma,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,UMLS_CUI:C0004096,3,0,cause
milk,Breast carcinoma,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,UMLS_CUI:C0678222,10,0,cause
milk,Campylobacteriosis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,UMLS_CUI:C0006818,4,0,cause
milk,Eosinophilic esophagitis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,UMLS_CUI:C0341106,7,0,cause
milk,Hydatidosis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,UMLS_CUI:C0013502,2,0,cause
milk,Mastitis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,UMLS_CUI:C0024894,7,0,cause
milk,Rift Valley fever,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,UMLS_CUI:C0035613,2,0,cause
milk,Tick-borne encephalitis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,UMLS_CUI:C0014054,4,0,cause
milk,acne,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,UMLS_CUI:C0152249,2,0,cause
milk,amenorrhea,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,UMLS_CUI:C0002453,5,0,cause
milk,campylobacteriosis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,UMLS_CUI:C0006818,2,0,cause
milk,coronary heart disease,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,UMLS_CUI:C0151744,5,0,cause
milk,diabetic ketoacidosis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,UMLS_CUI:C0011880,4,0,cause
milk,diarrhea,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,UMLS_CUI:C0013369,5,0,cause
milk,eczema,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,UMLS_CUI:C0011603,2,0,cause
milk,hyperphosphatemia,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,UMLS_CUI:C0085681,2,0,cause
milk,hyperprolactinemia,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,UMLS_CUI:C0008043,2,0,cause
milk,infectious disease,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,UMLS_CUI:C0001485,4,0,cause
milk,invasive ductal carcinoma,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,UMLS_CUI:C1527349,3,0,cause
milk,myocarditis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,UMLS_CUI:C0027059,2,0,cause
milk,ovarian cancer,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,UMLS_CUI:C1299247,3,0,cause
milk,ovarian carcinoma,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,UMLS_CUI:C0677886,5,0,cause
milk,pancreatitis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,UMLS_CUI:C0030305,8,0,cause
milk,urticaria,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,UMLS_CUI:C0029839,2,0,cause
milk products,campylobacteriosis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,UMLS_CUI:C0006818,3,0,cause
mustard,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,UMLS_CUI:C0020517,10,0,cause
mustard,pancreatitis,http://purl.bioontology.org/ontology/SNOMEDCT/51905005,UMLS_CUI:C0030305,3,0,cause
oats,Celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/9424004***http://purl.bioontology.org/ontology/SNOMEDCT/418504009,UMLS_CUI:C0007570,15,0,cause
oats,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/9424004***http://purl.bioontology.org/ontology/SNOMEDCT/418504009,UMLS_CUI:C0011603,11,0,cause
onion,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/735047000,UMLS_CUI:C0004096,5,0,cause
other meat,campylobacteriosis,http://purl.bioontology.org/ontology/SNOMEDCT/28647000,UMLS_CUI:C0006818,2,0,cause
peach,urticaria,http://purl.bioontology.org/ontology/SNOMEDCT/735049002,UMLS_CUI:C0029839,12,0,cause
potato,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/227282006,UMLS_CUI:C0004096,2,0,cause
potato,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/256319004,UMLS_CUI:C0011603,4,0,cause
potato,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/735053000,UMLS_CUI:C0011603,4,0,cause
red wine,breast cancer,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,UMLS_CUI:C0006142,3,0,cause
red wine,diarrhea,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,UMLS_CUI:C0013369,8,0,cause
red wine,diarrhoea,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,UMLS_CUI:C0013369,5,0,cause
red wine,irritable bowel syndrome,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,UMLS_CUI:C0022104,4,0,cause
red wine,migraine,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,UMLS_CUI:C0149931,4,0,cause
related cereal,Celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/23182003,UMLS_CUI:C0007570,8,0,cause
rice,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/67324005,UMLS_CUI:C0004096,6,0,cause
rice,urticaria,http://purl.bioontology.org/ontology/SNOMEDCT/67324005,UMLS_CUI:C0029839,6,0,cause
rosemary,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/227410007,UMLS_CUI:C0004096,3,0,cause
rye,Celiac Disease,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,UMLS_CUI:C0007570,6,0,cause
rye,Celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/23182003,UMLS_CUI:C0007570,8,0,cause
rye,Celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/9424004***http://purl.bioontology.org/ontology/SNOMEDCT/418504009,UMLS_CUI:C0007570,6,0,cause
rye flour,allergic rhinitis,http://purl.bioontology.org/ontology/SNOMEDCT/63766005,UMLS_CUI:C0002103,8,0,cause
soy milk,hyperphosphatemia,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,UMLS_CUI:C0085681,2,0,cause
sugar,obesity,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,UMLS_CUI:C0028754,4,0,cause
tea,acne,http://purl.bioontology.org/ontology/SNOMEDCT/29263009,UMLS_CUI:C0152249,8,0,cause
thyme,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/227413009,UMLS_CUI:C0004096,3,0,cause
unpasteurized animal milk,campylobacteriosis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,UMLS_CUI:C0006818,3,0,cause
vegetable oil,pneumonia,http://purl.bioontology.org/ontology/SNOMEDCT/22836000***http://purl.bioontology.org/ontology/SNOMEDCT/412552006,UMLS_CUI:C0032285,2,0,cause
wasabi,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/735040003,UMLS_CUI:C0020517,10,0,cause
water,campylobacteriosis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,UMLS_CUI:C0006818,3,0,cause
wheat,Celiac Disease,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,UMLS_CUI:C0007570,6,0,cause
wheat flour,urticaria,http://purl.bioontology.org/ontology/SNOMEDCT/229944000***http://purl.bioontology.org/ontology/SNOMEDCT/63766005***http://purl.bioontology.org/ontology/SNOMEDCT/412071004,UMLS_CUI:C0029839,7,0,cause
white bread,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/226559002***http://purl.bioontology.org/ontology/SNOMEDCT/226590000,UMLS_CUI:C0011849,4,0,cause
white wine,migraine,http://purl.bioontology.org/ontology/SNOMEDCT/67990004***http://purl.bioontology.org/ontology/SNOMEDCT/35748005,UMLS_CUI:C0149931,4,0,cause
wine,diarrhea,http://purl.bioontology.org/ontology/SNOMEDCT/35748005,UMLS_CUI:C0013369,4,0,cause
