term1,term2,snomedct,entity_id_y,is_cause,is_treat,relation
"flour,",asthma,http://purl.bioontology.org/ontology/SNOMEDCT/229944000***http://purl.bioontology.org/ontology/SNOMEDCT/63766005***http://purl.bioontology.org/ontology/SNOMEDCT/412071004,DOID:2841,4,0,cause
fruit,OAS,http://purl.bioontology.org/ontology/SNOMEDCT/72511004,DOID:0060861,14,0,cause
fruit,gastroesophageal reflux,http://purl.bioontology.org/ontology/SNOMEDCT/72511004,DOID:8534,3,0,cause
fruit,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/72511004,DOID:1205,13,0,cause
fruit,uremia,http://purl.bioontology.org/ontology/SNOMEDCT/72511004,DOID:4676,2,0,cause
garlic,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,DOID:2841,19,0,cause
garlic,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,DOID:2723,6,0,cause
garlic,hemolytic anemia,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,DOID:583,5,0,cause
garlic,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,DOID:1205,10,0,cause
garlic,rhinitis,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,DOID:4483,12,0,cause
harmful effects,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,DOID:10763,2,0,cause
hazelnut,OAS,http://purl.bioontology.org/ontology/SNOMEDCT/256353000,DOID:0060861,2,0,cause
horseradish,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,DOID:1205,10,0,cause
horseradish,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/51905005,DOID:1205,10,0,cause
horseradish,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,DOID:1205,10,0,cause
horseradish,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/735040003,DOID:1205,10,0,cause
horseradish,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/735047000,DOID:1205,10,0,cause
lamb,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/226942002,DOID:2841,2,0,cause
lemon,endophthalmitis,http://purl.bioontology.org/ontology/SNOMEDCT/735340006,DOID:4692,3,0,cause
lemon,urticaria,http://purl.bioontology.org/ontology/SNOMEDCT/735340006,DOID:1555,3,0,cause
meat,Multiple Sclerosis,http://purl.bioontology.org/ontology/SNOMEDCT/28647000,DOID:2377,3,0,cause
meat,colorectal cancer,http://purl.bioontology.org/ontology/SNOMEDCT/28647000,DOID:9256,3,0,cause
meat,gout,http://purl.bioontology.org/ontology/SNOMEDCT/28647000,DOID:13189,2,0,cause
milk,Asthma,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,DOID:2841,3,0,cause
milk,Breast carcinoma,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,DOID:3459,10,0,cause
milk,Campylobacteriosis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,DOID:13622,4,0,cause
milk,Eosinophilic esophagitis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,DOID:13922,7,0,cause
milk,Hydatidosis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,DOID:1496,2,0,cause
milk,Mastitis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,DOID:10690,7,0,cause
milk,Rift Valley fever,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,DOID:1328,2,0,cause
milk,Tick-borne encephalitis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,DOID:0050175,4,0,cause
milk,acne,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,DOID:6543,2,0,cause
milk,amenorrhea,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,DOID:13938,5,0,cause
milk,autosomal recessive disorder,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,DOID:0050737,3,0,cause
milk,campylobacteriosis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,DOID:13622,2,0,cause
milk,coronary heart disease,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,DOID:3393,5,0,cause
milk,diabetic ketoacidosis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,DOID:1837,4,0,cause
milk,diarrhea,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,DOID:13250,5,0,cause
milk,eczema,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,DOID:2723,2,0,cause
milk,hyperphosphatemia,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,DOID:0050459,2,0,cause
milk,hyperprolactinemia,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,DOID:12700,2,0,cause
milk,infectious disease,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,DOID:0050117,4,0,cause
milk,invasive ductal carcinoma,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,DOID:3008,3,0,cause
milk,myocarditis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,DOID:820,2,0,cause
milk,ovarian cancer,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,DOID:2394,3,0,cause
milk,ovarian carcinoma,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,DOID:4001,5,0,cause
milk,pancreatitis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,DOID:4989,8,0,cause
milk,urticaria,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,DOID:1555,2,0,cause
milk products,campylobacteriosis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,DOID:13622,3,0,cause
mustard,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,DOID:1205,10,0,cause
mustard,pancreatitis,http://purl.bioontology.org/ontology/SNOMEDCT/51905005,DOID:4989,3,0,cause
oats,Celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/9424004***http://purl.bioontology.org/ontology/SNOMEDCT/418504009,DOID:10608,15,0,cause
oats,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/9424004***http://purl.bioontology.org/ontology/SNOMEDCT/418504009,DOID:2723,11,0,cause
onion,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/735047000,DOID:2841,5,0,cause
other meat,campylobacteriosis,http://purl.bioontology.org/ontology/SNOMEDCT/28647000,DOID:13622,2,0,cause
peach,OAS,http://purl.bioontology.org/ontology/SNOMEDCT/735049002,DOID:0060861,6,0,cause
peach,urticaria,http://purl.bioontology.org/ontology/SNOMEDCT/735049002,DOID:1555,12,0,cause
potato,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/227282006,DOID:2841,2,0,cause
potato,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/256319004,DOID:2723,4,0,cause
potato,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/735053000,DOID:2723,4,0,cause
red wine,breast cancer,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,DOID:1612,3,0,cause
red wine,diarrhea,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,DOID:13250,8,0,cause
red wine,diarrhoea,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,DOID:13250,5,0,cause
red wine,irritable bowel syndrome,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,DOID:9778,4,0,cause
red wine,migraine,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,DOID:6364,4,0,cause
related cereal,Celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/23182003,DOID:10608,8,0,cause
rice,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/67324005,DOID:2841,6,0,cause
rice,urticaria,http://purl.bioontology.org/ontology/SNOMEDCT/67324005,DOID:1555,6,0,cause
rosemary,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/227410007,DOID:2841,3,0,cause
rye,Celiac Disease,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,DOID:10608,6,0,cause
rye,Celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/23182003,DOID:10608,8,0,cause
rye,Celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/9424004***http://purl.bioontology.org/ontology/SNOMEDCT/418504009,DOID:10608,6,0,cause
rye flour,allergic rhinitis,http://purl.bioontology.org/ontology/SNOMEDCT/63766005,DOID:4481,8,0,cause
soy milk,hyperphosphatemia,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,DOID:0050459,2,0,cause
sugar,obesity,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,DOID:9970,4,0,cause
tea,acne,http://purl.bioontology.org/ontology/SNOMEDCT/29263009,DOID:6543,8,0,cause
thyme,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/227413009,DOID:2841,3,0,cause
unpasteurized animal milk,campylobacteriosis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,DOID:13622,3,0,cause
vegetable oil,pneumonia,http://purl.bioontology.org/ontology/SNOMEDCT/22836000***http://purl.bioontology.org/ontology/SNOMEDCT/412552006,DOID:552,2,0,cause
wasabi,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/735040003,DOID:1205,10,0,cause
water,campylobacteriosis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,DOID:13622,3,0,cause
wheat,Celiac Disease,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,DOID:10608,6,0,cause
wheat flour,urticaria,http://purl.bioontology.org/ontology/SNOMEDCT/229944000***http://purl.bioontology.org/ontology/SNOMEDCT/63766005***http://purl.bioontology.org/ontology/SNOMEDCT/412071004,DOID:1555,7,0,cause
white bread,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/226559002***http://purl.bioontology.org/ontology/SNOMEDCT/226590000,DOID:9351,4,0,cause
white wine,migraine,http://purl.bioontology.org/ontology/SNOMEDCT/67990004***http://purl.bioontology.org/ontology/SNOMEDCT/35748005,DOID:6364,4,0,cause
wine,diarrhea,http://purl.bioontology.org/ontology/SNOMEDCT/35748005,DOID:13250,4,0,cause
